character	number	Freq.	Unicode	syllables	viet	English	VietOnly	thaiCognate	thaiMeaning	etymology
㛪	573	92	U+36EA	1	em	younger sibling	TRUE			
一	581	93	U+4E00	1	nhất	first; most (adverb for superlatives)	FALSE			
𠓀	590	94	U+204C0	1	trước	before; ahead (of)	TRUE			
伴	597	95	U+4F34	1	bạn	friend; fellow; comrade	FALSE			
意	601	96	U+610F	1	ý	idea, opinion, thought; Italy; italian	FALSE			
影	613	97	U+5F71	1	ảnh	image, photo	FALSE			
凭	618	98	U+51ED	1	bằng	with, by means of, using; diploma, certificate; evidence, proof	FALSE			
平	620	98	U+5E73	1	bình	equal, 【flat, even, level; peaceful】*	FALSE			
朋	627	98	U+670B	1	bằng	【friend, comrade, pal】*	FALSE			
芇	629	99	U+8287	1	nào	which; any	TRUE			
頭	636	100	U+982D	1	đầu	head; top (of a multitude)	FALSE			
投	647	100	U+6295	1	đầu	【to throw, to fling, to send】*	FALSE			
阮	649	101	U+962E	1	nguyễn	(surname Nguyen)	FALSE			
哴	651	102	U+54F4	1	rằng	that; so that	TRUE			
格	653	103	U+683C	1	cách	way; method; manner	FALSE			
革	655	103	U+9769	1	cách	【reform; revolution】*	FALSE			
曰	658	104	U+66F0	1	viết	to write, to record; pen	FALSE			
尋	662	105	U+5C0B	1	tìm	to search, to look for	FALSE			
𣅶	664	106	U+23176	1	lúc	moment, time	TRUE			
李	667	107	U+674E	1	lý	(surname)	FALSE			
理	668	107	U+7406	1	lý	logic; reason	FALSE			
作品	3041	108		2	tác phẩm	work (art or literature)				
作品	3268	108		2	tác phẩm	work (art or literature)				
正	677	109	U+6B63	1	chính	main	FALSE			
政	680	109	U+653F	1	chính	government; political affairs	FALSE			
𧘇	689	110	U+27607	1	ấy	that	TRUE	เอ้ย	vocative particle	1. (chiefly Northern Vietnam) sentence-ending intensifying particle          Synonym: đó
𣎃	690	111	U+23383	1	tháng	month	TRUE			
會	695	112	U+6703	1	hội	to meet; meeting	FALSE			
憢	701	113	U+61A2	1	nhau	one another, each another, together	TRUE			
𣗓	705	114	U+235D3	1	chưa	not yet; already (used in questions)	TRUE			
吝	708	116	U+541D	1	lần	time, times	FALSE			
由	712	117	U+7531	1	do	reason; cause	FALSE			
𣃣	717	118	U+230E3	1	vừa	suitable, fitting	TRUE			
㦖	719	119	U+3996	1	muốn	to desire, to want, to wish	TRUE			
文	720	120	U+6587	1	văn	literature; culture	FALSE			
工	729	121	U+5DE5	1	công	work; labour	FALSE			
卷	737	122	U+5377	1	quyển	book, volume (publishing)	FALSE			
捲	739	122	U+6372	1	cuốn	to roll up, to curl up, to convolve	FALSE			
調	742	123	U+8ABF	1	đều	even; equally	FALSE			
條	746	123	U+689D	1	điều	occurrence; condition; terms	FALSE			
花	751	124	U+82B1	1	hoa	flower	FALSE			
華	757	124	U+83EF	1	hoa	chinese	FALSE			
𡘯	759	125	U+2162F	1	lớn	big; large	TRUE			
埃	763	126	U+57C3	1	ai	who; someone, somebody	FALSE			
𠀧	770	127	U+20027	1	ba	three	TRUE	พ่อ	father	Non-Sino-Vietnamese reading of Chinese 爸 (“father”, SV: bả).
爸	773	127	U+7238	1	ba	father	FALSE	พ่อ	father	Non-Sino-Vietnamese reading of Chinese 爸 (“father”, SV: bả).
㗂	775	128	U+35C2	1	tiếng	sound; noise; language	TRUE	เสียง	sound / voice	From Middle Vietnamese tiếng, ultimately from Chinese 聲 (MC ɕiᴇŋ), likely through a Tai language (compare Thai เสียง (sǐiang)) since the tonal correspondence is atypical for a direct borrowing. Cognate with Muong thiểng.
塘	788	129	U+5858	1	đường	street; road; way; route	FALSE			
糖	795	129	U+7CD6	1	đường	sugar	FALSE			
堂	797	129	U+5802	1	đường	【house, bureau, palace】*	FALSE			
世	805	130	U+4E16	1	thế	world; era	FALSE			
替	811	130	U+66FF	1	thế	to substitute; to replace	FALSE			
勢	813	130	U+52E2	1	thế	such, so; 【condition, appearance; position, influence, impetus, power】*	FALSE			
曾	821	131	U+66FE	1	từng	【ever; already】*	FALSE			
𫢩	826	132	U+2B8A9	1	nay	this (year or day); now; today	TRUE			
坭	830	133	U+576D	1	nơi	place, location, site	TRUE			
形	834	134	U+5F62	1	hình	appearance, shape; picture, photo	FALSE			
前	843	135	U+524D	1	tiền	front	FALSE			
錢	851	135	U+9322	1	tiền	money, currency	FALSE			
些	855	136	U+4E9B	1	ta	we, us	FALSE			
文化	721	137		2	văn hoá	culture, civilization				
文化	2489	137		2	văn hoá	culture, civilization				
南	859	138	U+5357	1	nam	south; southern	FALSE			
越	872	139	U+8D8A	1	việt	vietnamese	FALSE			
中	878	140	U+4E2D	1	trung	center; central; Chinese	FALSE			
𠮩	892	141	U+20BA9	1	nếu	if	TRUE			
𥘷	894	142	U+25637	1	trẻ	young; children	TRUE			
家庭	2231	143		2	gia đình	family				
家庭	2575	143		2	gia đình	family				
𠸜	901	144	U+20E1C	1	tên	name	TRUE			
𥏌	907	144	U+253CC	1	tên	arrow	TRUE			
實	909	145	U+5BE6	1	thật	true, real, actual	FALSE			
媄	914	146	U+5A84	1	mẹ	mother; mom	FALSE	แม่	mother	From Proto-Vietic *meːʔ ~ *mɛːʔ, from Proto-Mon-Khmer *meeʔ ~ *ʔmeeʔ (“mother”) ; cognate with Bahnar mĕ, Khmer ម៉ែ (mae), Mon မိ (mìˀ), Khasi mei. Ultimately a nursery word, compare Old Chinese 母 (*məʔ) (B-S) and Proto-Tai *meːᴮ (whence Thai แม่ (mɛ̂ɛ)). Related to mái.
勤	917	147	U+52E4	1	cần	to need	FALSE			
𡀯	921	148	U+2102F	1	chuyện	matter; talk, story	TRUE			
每	926	149	U+6BCF	1	mỗi	each, every	FALSE			
組織	3184	150		2	tổ chức	to organize				
組織	3217	150		2	tổ chức	to organize				
芒	927	151	U+8292	1	mang	to carry; to wear	FALSE			
城庯	466	153		2	thành phố	city, town				
城庯	2711	153		2	thành phố	city, town				
姉	929	154	U+59C9	1	chị	sister; young woman	FALSE			
車	933	155	U+8ECA	1	xe	vehicle; car	FALSE			
禮	934	156	U+79AE	1	lễ	holiday; festival; 【manners, courtesy, etiquette】*	FALSE			
迻	941	157	U+8FFB	1	đưa	to give	FALSE			
𥆾	942	158	U+251BE	1	nhìn	to look	TRUE			
國	945	159	U+570B	1	quốc	【country, nation】*	FALSE			
添	961	160	U+6DFB	1	thêm	to add, to increase; additional	FALSE			
世界	806	161		2	thế giới	world				
世界	2513	161		2	thế giới	world				
高	962	162	U+9AD8	1	cao	high; tall	FALSE			
步	974	163	U+6B65	1	bộ	【to step, to walk】*	FALSE			
部	979	163	U+90E8	1	bộ	set; part, section, division	FALSE			
隻	985	164	U+96BB	1	chiếc	unit, entity, object; (classifier for vehicles or certain objects)	FALSE			
𤞦	986	165	U+247A6	1	mọi	each, every	TRUE			
書	988	166	U+66F8	1	thư	letter; 【book】*	FALSE			
爭	997	167	U+722D	1	tranh	to compete, to fight	FALSE			
幀	1003	167	U+5E40	1	tranh	picture, painting, scroll	FALSE			
𢬣	1006	168	U+22B23	1	tay	arm; hand; side	TRUE			
𢝙	1013	170	U+22759	1	vui	amusing, funny, merry, joyful, gay	TRUE			
信	1015	171	U+4FE1	1	tin	to believe; news, information	FALSE			
眾碎	96	172		2	chúng tôi	we, us (not including person addressed)				
眾碎	1789	172		2	chúng tôi	we, us (not including person addressed)				
吀	1019	173	U+5400	1	xin	to beg; to ask for	TRUE			
民	1023	174	U+6C11	1	dân	people; citizen	FALSE			
省	1035	175	U+7701	1	tỉnh	province	FALSE			
過	1037	176	U+904E	1	quá	very; too (much); to exceed, to pass	FALSE			
咹	1041	177	U+54B9	1	ăn	to eat	TRUE			
𢞅	1053	178	U+22785	1	yêu	to love	TRUE			
要	1055	178	U+8981	1	yêu	【to need, to require, to demand; necessary】*	FALSE			
𡨌	1066	179	U+21A0C	1	giữa	between, in the middle of, amid	TRUE			
𡞕	1067	180	U+21795	1	vợ	wife	TRUE			
讀	1069	181	U+8B80	1	đọc	to read	FALSE			
作者	3223	182		2	tác giả	author				
作者	3269	182		2	tác giả	author				
𣩂	1072	183	U+23A42	1	chết	death; to die	TRUE			
場	1077	184	U+5834	1	trường	school; field; ground	FALSE			
長	1089	184	U+9577	1	trưởng	leader	FALSE			
行	1102	185	U+884C	1	hàng	line, row; rank, order; goods, wares, merchandise	FALSE			
航	1117	185	U+822A	1	hàng	【sail; navigate】*	FALSE			
𥙩	1121	186	U+25669	1	lấy	to take	TRUE			
𦖑	1122	187	U+26591	1	nghe	to hear	TRUE			
茹文	250	188		2	nhà văn	knight of the pen, man of letters, author, littérateur				
茹文	722	188		2	nhà văn	knight of the pen, man of letters, author, littérateur				
𢢲	1125	189	U+228B2	1	đẹp	beautyful	TRUE			
字	1133	190	U+5B57	1	tự	character; letter; word	FALSE			
𠢞	1136	191	U+2089E	1	giúp	to help, to assist	TRUE			
𡮈	1138	192	U+21B88	1	nhỏ	small	TRUE			
朱别	87	194		2	cho biết	to tell; to inform, to notify				
朱别	448	194		2	cho biết	to tell; to inform, to notify				
藝術	2043	195		2	nghệ thuật	art				
藝術	2373	195		2	nghệ thuật	art				
姅	1143	196	U+59C5	1	nửa	half	TRUE			
𠯆	1146	196	U+20BC6	1	nữa	more, further	TRUE			
女𖿱	1413	196		2	nữa	half; again, more				
女𖿱	3921	196		2	nữa	half; again, more				
常	1149	197	U+5E38	1	thường	frequent; common, normal, usual	FALSE			
時間	219	198		2	thời gian	time				
時間	3615	198		2	thời gian	time				
學	1163	199	U+5B78	1	học	to learn, to study	FALSE			
東	1203	200	U+6771	1	đông	east; eastern	FALSE			
𠅍	1210	201	U+2014D	1	mất	to lose; lost; to die, to vanish	TRUE	หมด	finished / exhausted	From Proto-Vietic *ɓǝt; cognate with Arem bʉt. Cognate with Northern Thai ᩉ᩠ᨾᩫᨯ, Lao ໝົດ (mot), Lü ᦷᦖᧆ (ṁod), Shan မူတ်း (múut). Compare Middle Chinese 歿 (MC muət̚) 歿 to die Alternative form of 沒／没. to sink, to have no.
𨑜	1213	202	U+2845C	1	xuống	to descend; to go down	TRUE			
坦	1215	203	U+5766	1	đất	earth; soil; land; ground	FALSE			
𧸝	1222	204	U+27E1D	1	bán	to sell	TRUE			
半	1224	204	U+534A	1	bán	【half, semi-】*	FALSE			
併	1228	205	U+4F75	1	tính	to calculate; to plan	FALSE			
對	1230	206	U+5C0D	1	đối	facing, opposing	FALSE			
類	1232	207	U+985E	1	loại	class, group, kind, category	FALSE			
或	1238	208	U+6216	1	hoặc	or; either	FALSE			
𩈘	1240	209	U+29218	1	mặt	face	TRUE			
䀡	1254	210	U+4021	1	xem	to see, to observe	TRUE			
情	1256	211	U+60C5	1	tình	feeling, emotion	FALSE			
外	1266	212	U+5916	1	ngoài	out; outside; external	FALSE			
边	1274	213	U+8FB9	1	bên	side; edge	FALSE			
牢	1280	214	U+7262	1	sao	how	FALSE	ดาว	star	From Middle Vietnamese ſao, from Proto-Vietic *k-raːw. Cognate with Muong khao. Might represent a Kra-Dai or Austronesian substratum, compare Proto-Tai *t.naːwᴬ (“star”), Proto-Hlai *ɾaːw (“star”) and Proto-Austronesian *qajaw (“ day”).  It is a semantic loan from English star, in the senses of “celebrity; actor”.
𣋀	1289	214	U+232C0	1	sao	star	TRUE	ดาว	star	From Middle Vietnamese ſao, from Proto-Vietic *k-raːw. Cognate with Muong khao. Might represent a Kra-Dai or Austronesian substratum, compare Proto-Tai *t.naːwᴬ (“star”), Proto-Hlai *ɾaːw (“star”) and Proto-Austronesian *qajaw (“ day”).  It is a semantic loan from English star, in the senses of “celebrity; actor”.
𤀘	1301	215	U+24018	1	vùng	region, area	TRUE			
丕	1303	216	U+4E15	1	vậy	so; thus	FALSE			
張	1307	217	U+5F35	1	trương	(surname); 【to open up, to spread, to extend】*	FALSE			
妝	1309	217	U+599D	1	trang	【to dress up, to make up】*	FALSE			
𠳒	1311	218	U+20CD2	1	lời	word	TRUE			
歇	1320	219	U+6B47	1	hết	to be over; to end; to expire; to be used up	FALSE			
眾些	856	220		2	chúng ta	we, us (including person addressed)				
眾些	1790	220		2	chúng ta	we, us (including person addressed)				
陳	1325	221	U+9673	1	trần	(surname Tran)	FALSE			
認	1326	223	U+8A8D	1	nhận	to agree, to accept; to recognize	FALSE			
兜	1332	224	U+515C	1	đâu	where; somewhere	FALSE			
聲	1337	225	U+8072	1	thanh	sound, voice, noise	FALSE			
青	1341	225	U+9752	1	thanh	juvenile; 【green, blue】*	FALSE			
清	1345	225	U+6E05	1	thanh	pure, clear, clean	FALSE			
古	1349	226	U+53E4	1	cổ	old, ancient, antique	FALSE			
𤳄	1357	227	U+24CC4	1	bởi	because	TRUE			
𢚸	1359	228	U+226B8	1	lòng	soul, mind, heart; feeling	TRUE			
幅	1369	229	U+5E45	1	bức	painting, photograph, piece	FALSE			
兆	1371	230	U+5146	1	triệu	million	FALSE			
𣦍	1373	231	U+2398D	1	ngay	straight, direct	TRUE			
𧵆	1377	232	U+27D46	1	gần	near; nearly, almost	TRUE			
𧷸	1379	233	U+27DF8	1	mua	to buy	TRUE			
用	1380	234	U+7528	1	dụng	to use, to employ	FALSE			
重	1384	235	U+91CD	1	trọng	to value, to respect; 【weight, heavy】*	FALSE			
𫯳	1390	235	U+2BBF3	1	chồng	husband	TRUE			
分	1394	236	U+5206	1	phần	part, portion, piece (of a whole)	FALSE			
女	1412	238	U+5973	1	nữ	【female, woman】*	FALSE			
𧿨	1418	239	U+27FE8	1	trở	to turn, to change	TRUE			
曠	1422	240	U+66E0	1	khoảng	about, circa; space, distance, interval; period (time)	FALSE			
𠸥	1425	241	U+20E25	1	kể	to tell; in relation to, with respect to	TRUE			
關	1429	242	U+95DC	1	quan	【frontier, barrier, gate】*	FALSE			
觀	1436	242	U+89C0	1	quan	【to see】*	FALSE			
無	1440	243	U+7121	1	vô	【non-, negative】*	FALSE			
員	1442	244	U+54E1	1	viên	member; employee; personnel	FALSE			
湖	1446	245	U+6E56	1	hồ	lake	FALSE			
糊	1448	245	U+7CCA	1	hồ	glue; to glue	FALSE			
拠	1449	246	U+62E0	1	cứ	to continue, to keep on; 【ground, base】*	TRUE			
廊	1452	247	U+5ECA	1	làng	village	FALSE			
春	1455	248	U+6625	1	xuân	spring (season)	FALSE			
𢣂	1459	249	U+228C2	1	nghĩ	to think	TRUE			
報	1466	251	U+5831	1	báo	to report, to tell; newspaper	FALSE			
本	1471	252	U+672C	1	bản	【root, origin, source; basis】*	FALSE			
版	1478	252	U+7248	1	bản	copy, edition; printing blocks	FALSE			
適	1481	253	U+9069	1	thích	to like	FALSE			
釋	1484	253	U+91CB	1	thích	【to explain】*	FALSE			
傷	1487	254	U+50B7	1	thương	to be fond of, to love	FALSE			
總	1491	255	U+7E3D	1	tổng	【altogether】*	FALSE			
𣘃	1497	256	U+23603	1	cây	tree, plant	TRUE			
核	1502	256	U+6838	1	hạch	nucleus	FALSE			
𠊛些	42	257		2	người ta	people; they				
𠊛些	857	257		2	người ta	people; they				
傳	1504	258	U+50B3	1	truyện	story	FALSE			
𠁀	1508	259	U+20040	1	đời	existence; world; generation; era	TRUE			
𤲂	1515	260	U+24C82	1	dưới	below; at the bottom	TRUE			
法	1516	261	U+6CD5	1	pháp	law; France; french	FALSE			
心	1522	262	U+5FC3	1	tâm	【heart; mind】*	FALSE			
畢哿	508	263		2	tất cả	all; entire, whole				
畢哿	3733	263		2	tất cả	all; entire, whole				
賖	1529	264	U+8CD6	1	xa	far, distant	TRUE			
﨤	1532	265	U+FA24	1	gặp	to meet, to encounter	TRUE			
眜	1536	266	U+771C	1	mắt	eye; expensive	TRUE	ตา	eye	From Proto-Vietic *mat, from Proto-Mon-Khmer *mat. Akin to Muong [Hòa Bình] mặt , Old Mon mɔt (modern Mon မတ် (mòt)), Bahnar măt, Pacoh mát, Khasi 'mat/khmat, Khmu mat, Mang mat⁷, Car Nicobarese mat, Santali ᱢᱮᱫ (met’).  Compare also Proto-Austronesian *maCa (Malay mata), Proto-Tai *p.taːᴬ (Thai ตา (dtaa)), Proto-Sino-Tibetan *s-mjak ~ s-mik (Chinese 目 (mù < OC *C.muk), Tibetan མིག (mig)).
北	1542	267	U+5317	1	bắc	north; northern	FALSE			
明	1554	268	U+660E	1	minh	【bright; clear】*	FALSE			
元	1559	269	U+5143	1	nguyên	whole, entire; 【original, initial, source, root】*	FALSE			
源	1565	269	U+6E90	1	nguồn	source, origin; spring	FALSE			
原	1568	269	U+539F	1	nguyên	【source, origin, root】*	FALSE			
四	1572	270	U+56DB	1	tư	【four】*	FALSE			
頭先	637	271		2	đầu tiên	(very) first				
頭先	3124	271		2	đầu tiên	(very) first				
𡥵𠊛	43	272		2	con người	man, human				
𡥵𠊛	295	272		2	con người	man, human				
油	1576	273	U+6CB9	1	dầu	oil, fat, grease	FALSE	อิ๊ว	oil	Non-Sino-Vietnamese reading of Chinese 油 (“oil”, SV: du).
𠶢	1578	273	U+20DA2	1	dù	however, though	TRUE			
價	1583	274	U+50F9	1	giá	price, value	FALSE			
𡎥	1591	276	U+213A5	1	ngồi	to sit	TRUE			
大	1593	277	U+5927	1	đại	【big; great; very, much】*	FALSE			
代	1606	277	U+4EE3	1	đại	【era, generation】*	FALSE			
𣇞	1611	278	U+231DE	1	giờ	time	TRUE			
身	1620	281	U+8EAB	1	thân	body; trunk; intimate, close	FALSE			
空體	62	282		2	không thể	impossible; unable, incapable				
空體	3080	282		2	không thể	impossible; unable, incapable				
𦘧	1623	283	U+26627	1	vẽ	to draw, to paint	TRUE			
