English	Viet
nine degrees	chín độ
ten	mười (n)
ten degrees	mười độ
coffee	cà phê (n)
The coffee pot is full of coffee.	Cái ấm cà phê chứa đầy cà phê.
beer	bia (n)
can of beer	lon bia
tea	trà (n)
Would you like a cup of tea?	Bạn có muốn một cốc trà không?
wine	rượu vang (n)
glass of wine	ly rượu vang
water	nước (n)
Can I have some water, please?	Cho tôi xin một ít nước được không?
beef	thịt bò (n)
beef for the main course	món chính là thịt bò
pork	thịt lợn (n)
Pork is the meat from a pig.	Thịt lợn là thịt của con lợn.
chicken	gà (n)
chicken soup	súp gà
lamb	thịt cừu
Lamb is extremely delicious.	Thịt cừu ngon cực kỳ.
fish	cá (n)
Tonight's main course is grilled fish.	Món chính cho tối nay là cá nướng.
foot	bàn chân (n)
left foot	bàn chân trái
leg	chân (n)
long legs	chân dài
head	đầu (n)
Wear a helmet to protect your head.	Hãy đội mũ bảo hiểm để bảo vệ đầu.
arm	cánh tay (n)
two arms	hai cánh tay
hand	bàn tay (n)
The child is raising his hand.	Đứa bé đang giơ bàn tay lên.
finger	ngón tay (n)
My finger's bleeding.	ngón tay của tôi đang chảy máu.
body	cơ thể (n)
human body	cơ thể người
stomach	bao tử (n)
I have a stomach ache.	Tôi bị đau bao tử.
back	lưng (n)
My back hurts.	Tôi bị đau lưng.
chest	ngực (n)
I have chest pain.	Tôi bị đau ngực.
nurse	y tá (n)
female nurse	nữ y tá
employee	nhân viên (n)
female employee	nhân viên nữ
police officer	cảnh sát (n)
police officer in uniform	người cảnh sát mặc đồng phục
cook	đầu bếp (n)
She is a cook at a four-star restaurant.	Cô ấy là đầu bếp tại một nhà hàng bốn sao.
engineer	kỹ sư (n)
I am an engineer.	Tôi là một kỹ sư.
doctor	bác sĩ (n)
The doctor is examining the foot.	Bác sĩ đang khám chân.
manager	người quản lý (n)
The factory manager is giving instructions.	Người quản lý nhà máy đang đưa ra hướng dẫn.
teacher	giáo viên (n)
teacher in a classroom	giáo viên trong lớp học
programmer	lập trình viên (n)
I am a programmer.	Tôi là một lập trình viên.
salesman	nhân viên bán hàng (n)
car salesman	nhân viên bán ô tô
