Category	English	Vietnamese	Nôm	Mandarin	Cantonese
Adjective	local	điạ phương	地方	dìfāng	deifōng
Adjective	long	dài	𨱽	𨱽	𨱽
Adjective	many	nhiều	𡗉	𡗉	𡗉
Adjective	much	nhiều	𡗉	𡗉	𡗉
Adjective	narrow	thu hẹp	収狹	shōu xiá	収 haap
Adjective	new	mới	㵋	㵋	㵋
Adjective	noisy	ồn ào	𫔹𠯻	𫔹 𠯻	𫔹 𠯻
Adjective	old	xưa, cũ, già	𠸗 𫇰 𦓅	𠸗   𫇰   𦓅	𠸗   𫇰   𦓅
Adjective	part	một phần	𠬠分	𠬠 fēn	𠬠 fān
Adjective	powerful	quyền lực	權力	quánlì	kyùnlik
Adjective	quiet	yên tĩnh	安静	ānjìng	ōnzing
Adjective	salty	mặn	𪉽	𪉽	𪉽
Adjective	short person	ngắn	𥐉	𥐉	𥐉
Adjective	slow	chậm	踸	踸	踸
Adjective	small	nhỏ	𡮈	𡮈	𡮈
Adjective	soft	mềm	𣠳	𣠳	𣠳
Adjective	some	một số	𠬠數	𠬠 shù	𠬠 sôu
Adjective	sour	chua	咮	zhòu	咮
Adjective	spicy	cay	𫐝	𫐝	𫐝
Adjective	sweet	ngọt	𤮾	𤮾	𤮾
Adjective	tall	cao	高	gāo	gōu
Adjective	thick	dày	𪠗	𪠗	𪠗
Adjective	thin	mỏng	𤘁	𤘁	𤘁
Adjective	very	rất	慄	lì	leot
Adjective	weak	yếu	夭	yāo	jíu
Adjective	wet	ẩm ướt	𣼩㲸	𣼩 㲸	𣼩 㲸
Adjective	whole	toàn bộ	全部	quánbù	cyùnbou
Adjective	wide	rộng	𢌌	𢌌	𢌌
Adjective	wrong	sai	𡗂	𡗂	𡗂
Adjective	young	trẻ	𥘷	𥘷	𥘷
Adjective	the same	cùng	拱	gǒng	gúng
Adjective	different	khác	恪	kè	kôk
Adjective	every	mọi	每	měi	mǔi
Adjective	all	tất cả, toàn bộ	畢𪥘， 全部	bì 𪥘 ，   quánbù	bāt 𪥘 ，   cyùnbou
Adjective	important	quan trọng	關重	guānchóng	gwāancùng
Adverb	absolutely	tuyệt đối	捽對	zuó duì	zēot dêoi
Adverb	ago	trước	𠓀	𠓀	𠓀
Adverb	almost	gần như	近茹	jìnrú	kǎnjyù
Adverb	alone	một mình	𠬠𨉟	𠬠 𨉟	𠬠 𨉟
Adverb	already	rồi	耒	lěi	leoi
Adverb	always	luôn luôn	㫻㫻	㫻 㫻	㫻 㫻
Adverb	anywhere	bất cứ nơi nào	不拠坭鬧	bù jù ní nào	bāt 拠 坭 naau
Adverb	away	xa	賖	賖	賖
Adverb	barely	hầu như không	候茹空	hòurúkōng	haujyùhūng
Adverb	carefully	cẩn thận	僅慎	jǐnshèn	gánsan
Adverb	everywhere	ở khắp mọi nơi	於泣每坭	yú qì měi ní	jyū jāp mǔi 坭
Adverb	fast	nhanh	𪬭	𪬭	𪬭
Adverb	frequently thường xuyên		常串	chángchuàn	sòengcyûn
Adverb	hard	khó khăn	𧁷巾	𧁷 jīn	𧁷 gān
Adverb	hardly	hầu như không	候茹空	hòurúkōng	haujyùhūng
Adverb	here	đây	低	dī	dāi
Adverb	home	nhà	家	jiā	gāa
Adverb	immediately	ngay lập tức, ngay	𣦍立息，𣦍	𣦍 lìxī ， 𣦍	𣦍 laapsīk ， 𣦍
Adverb	last night	đêm qua	點戈「過」	diǎngē 「 guò 」	dímgwō 「 gwô 」
Adverb	lately	mới đây	㵋低	㵋 dī	㵋 dāi
Adverb	later	sau	𡢐	𡢐	𡢐
Adverb	mostly	chủ yếu là	主要羅「𪜀」	zhǔyào luó 「 𪜀 」	zyújîu lò 「 𪜀 」
Adverb	never	không bao giờ	空包𣇞	kōngbāo 𣇞	hūngbāau 𣇞
Adverb	next week	vào tuần tới, tuần sau	𠓨旬細, 旬𡢐	𠓨 xúnxì  ,   xún 𡢐	𠓨 cèonsâi  ,   cèon 𡢐
Adverb	now	bây giờ	𣊾𣇞	𣊾 𣇞	𣊾 𣇞
Adverb	nowhere	hư không	晞空	xī kōng	晞 hūng
Adverb	occasionally	thỉnh thoảng	請倘	qǐng tǎng	cíng tóng
Adverb	out	ra	𠚢	𠚢	𠚢
Adverb	over there	đằng đó	噔妒	dēng dù	dāng dôu
Adverb	pretty	khá	可	kě	hó
Adverb	quickly nhanh chóng		𨘱𢶢	𨘱 𢶢	𨘱 𢶢
Adverb	quite	khá	可	kě	hó
Adverb	rarely	hiếm khi	儉欺	jiǎnqī	gimhēi
Adverb	really	thực sự, thật	实事, 实	shíshì ,   shí	satsi ,   sat
Adverb	recently	Gần đây	近低	jìndī	kǎndāi
Adverb	right now	ngay bây giờ	𣦍𠎩𣇞	𣦍 𠎩 𣇞	𣦍 𠎩 𣇞
Adverb	seldom	ít khi	𠃝欺	𠃝 qī	𠃝 hēi
Adverb	slowly	từ từ	徐徐	xúxú	cèoicèoi
Adverb	sometimes	đôi khi	對欺	duì qī	dêoi hēi
Adverb	soon	sớm	𣌋	𣌋	𣌋
Adverb	still	vẫn còn	刎㨴	wěn 㨴	mǎn 㨴
Adverb	then	sau đó	𡢐妬	𡢐 dù	𡢐 妬
Adverb	there	đó	妬	dù	妬
Adverb	this morning	sáng nay	𤎜𠉞	𤎜 𠉞	𤎜 𠉞
Adverb	today	hôm nay	𣋚𠉞	𣋚 𠉞	𣋚 𠉞
Adverb	together	cùng nhau	拱膮	gǒng 膮	gúng 膮
Adverb	tomorrow	ngày mai	𣦍𪰹	𣦍 𪰹	𣦍 𪰹
Adverb	tonight	đêm nay	𣎀𠉞	𣎀 𠉞	𣎀 𠉞
Adverb	usually	thường	常	cháng	sòeng
Adverb	very	rất	慄	lì	leot
Adverb	well	tốt	卒	zú	zēot
Adverb	yesterday	hôm qua	𣋚過	𣋚 guò	𣋚 gwô
Adverb	yet	chưa	渚	zhǔ	zyú
Adverb	afterwards	sau đó	𡢐妬	𡢐 dù	𡢐 妬
Adverb	until...only then	mới	㵋	㵋	㵋
Adverb	afternoon	chiều	𪤾	𪤾	𪤾
Adverb	enough	đủ	𨁥	𨁥	𨁥
Adverb	often	thường	常	cháng	sòeng
Adverb	certainly	chắc chắn	昃振	zè zhèn	昃 zân
Adverb	probably	chắc	聀	聀	聀
Adverb	evening	tối	𣋁	𣋁	𣋁
Adverb	ever do	đều, luôn	調，㫻	diào ， 㫻	diu ， 㫻
Adverb	ever have	từng	曾	zēng	zāng
Adverb	never do	không bao giờ	空包𣇞	kōngbāo 𣇞	hūngbāau 𣇞
Adverb	never have	chưa bao giờ	𣗓包𣇞	𣗓 bāo 𣇞	𣗓 bāau 𣇞
Adverb	once	một lần	𠬠吝	𠬠 lìn	𠬠 leon
Verb	may, can	có thể	𣎏𥮋	𣎏 𥮋	𣎏 𥮋
Verb	may not	không thể	空𥮋	kōng 𥮋	hūng 𥮋
Verb	have	có	𣎏	𣎏	𣎏
Verb	have not	không có	空𣎏	kōng 𣎏	hūng 𣎏
Verb	doing (imperfective)	đang	當	dàng	dông
Verb	have done (perfective) -	rồi	耒	lěi	leoi
Verb	been there/done it experience	từng	曾	zēng	zāng
Verb	finished action, to sense (see, hear,feel) -	thấy	𧡊	𧡊	𧡊
Verb	undo action (break down, tear apart,fall off) -	mất	𠅍	𠅍	𠅍
Verb	unable to -	không được, - không nổi, không thể nào -được	空得，空浽，空𥮋鬧，得	kōngde ， kōng suī ， kōng 𥮋 nào ， de	hūngdāk ， hūng sēoi ， hūng 𥮋 naau ， dāk
Verb	feel like	cảm thấy	感𧡊	gǎn 𧡊	gám 𧡊
Verb	can, will can	được	得	de	dāk
Verb	will	sẽ	𠱊	𠱊	𠱊
Verb	cannot, will not cannot:	không - được	空 - 得	kōng   -   de	hūng   -   dāk
Verb	must, have to, need to phải		沛	pèi	pûi
Verb	will not	sẽ không	𠱊空	𠱊 kōng	𠱊 hūng
Verb	don't	đừng	仍	réng	jìng
Verb	don't have to	không cần	空勤	kōngqín	hūngkàn
Verb	let, allow someone	để	抵	dǐ	dái
Verb	make/get into (bad situation)	khiến	譴	qiǎn	hín
Conjunction	also	cũng	拱	gǒng	gúng
Conjunction	and	và	𪽡	𪽡	𪽡
Conjunction	because	vì	為	wéi	wài
Conjunction	but	nhưng	仍	réng	jìng
Conjunction	furthermore	hơn nữa	欣姅	xīn bàn	jān 姅
Conjunction	however	tuy nhiên	雖然	suīrán	sēoijìn
Conjunction	or (in questions)	hay	咍	hāi	咍
Conjunction	or else, otherwise	không thì	空時	kōngshí	hūngsì
Conjunction	so	nên	𢧚	𢧚	𢧚
Conjunction	so that	để	𪽅	𪽅	𪽅
