number	Freq.	Unicode	Text	syllables	QN	English
29	72.00		固體	2	có thể	possibly, maybe; may, can
3079	72.00		固體	2	có thể	possibly, maybe; may, can
447	73.00	U+522B	别	1	biết	to know
459	74.00	U+2784A	𧡊	1	thấy	to see; to feel
463	75.00	U+8012	耒	1	rồi	already; then; after
465	76.00	U+57CE	城	1	thành	citadel; city
469	76.00	U+6210	成	1	thành	to become; to change into
476	76.00	U+8AA0	誠	1	thành	sincere; honest
478	77.00	U+543B	吻	1	vẫn	still, yet
479	78.00	U+606A	恪	1	khác	other; another; further
482	79.00	U+2013C	𠄼	1	năm	five
484	80.00	U+6E03	渃	1	nước	water; country; nation
499	81.00	U+4F2E	伮	1	nó	he, she, it (colloquial)
500	82.00	U+7D30	細	1	tới	to arrive, to come
502	83.00	U+6208	戈	1	qua	to cross; to pass
507	84.00	U+54FF	哿	1	cả	all; in total; completely
511	85.00	U+5171	共	1	cộng	to add (up); addition
517	86.00	U+4E4B	之	1	gì	what
522	87.00	U+4F4E	低	1	đây	here; this
528	88.00	U+6570	数	1	số	number; fate
544	89.00	U+6B72	歲	1	tuổi	age; year of age
552	90.00	U+6B21	次	1	thứ	order, rank; sort, type, category; next, subsequent
563	91.00	U+5947	奇	1	kỳ	strange; unusual
564	91.00	U+671F	期	1	kỳ	【period, time, age】*
566	91.00	U+65D7	旗	1	cờ	flag, banner
569	91.00	U+573B	圻	1	kỳ	【border, boundary】*
573	92.00	U+36EA	㛪	1	em	younger sibling
581	93.00	U+4E00	一	1	nhất	first; most (adverb for superlatives)
590	94.00	U+204C0	𠓀	1	trước	before; ahead (of)
597	95.00	U+4F34	伴	1	bạn	friend; fellow; comrade
601	96.00	U+610F	意	1	ý	idea, opinion, thought; Italy; italian
613	97.00	U+5F71	影	1	ảnh	image, photo
618	98.00	U+51ED	凭	1	bằng	with, by means of, using; diploma, certificate; evidence, proof
620	98.00	U+5E73	平	1	bình	equal, 【flat, even, level; peaceful】*
627	98.00	U+670B	朋	1	bằng	【friend, comrade, pal】*
629	99.00	U+8287	芇	1	nào	which; any
636	100.00	U+982D	頭	1	đầu	head; top (of a multitude)
647	100.00	U+6295	投	1	đầu	【to throw, to fling, to send】*
649	101.00	U+962E	阮	1	nguyễn	(surname Nguyen)
651	102.00	U+54F4	哴	1	rằng	that; so that
653	103.00	U+683C	格	1	cách	way; method; manner
655	103.00	U+9769	革	1	cách	【reform; revolution】*
658	104.00	U+66F0	曰	1	viết	to write, to record; pen
662	105.00	U+5C0B	尋	1	tìm	to search, to look for
664	106.00	U+23176	𣅶	1	lúc	moment, time
667	107.00	U+674E	李	1	lý	(surname)
668	107.00	U+7406	理	1	lý	logic; reason
3041	108.00		作品	2	tác phẩm	work (art or literature)
3268	108.00		作品	2	tác phẩm	work (art or literature)
677	109.00	U+6B63	正	1	chính	main
680	109.00	U+653F	政	1	chính	government; political affairs
689	110.00	U+27607	𧘇	1	ấy	that
690	111.00	U+23383	𣎃	1	tháng	month
695	112.00	U+6703	會	1	hội	to meet; meeting
701	113.00	U+61A2	憢	1	nhau	one another, each another, together
705	114.00	U+235D3	𣗓	1	chưa	not yet; already (used in questions)
708	116.00	U+541D	吝	1	lần	time, times
712	117.00	U+7531	由	1	do	reason; cause
717	118.00	U+230E3	𣃣	1	vừa	suitable, fitting
719	119.00	U+3996	㦖	1	muốn	to desire, to want, to wish
720	120.00	U+6587	文	1	văn	literature; culture
729	121.00	U+5DE5	工	1	công	work; labour
737	122.00	U+5377	卷	1	quyển	book, volume (publishing)
739	122.00	U+6372	捲	1	cuốn	to roll up, to curl up, to convolve
742	123.00	U+8ABF	調	1	đều	even; equally
746	123.00	U+689D	條	1	điều	occurrence; condition; terms
751	124.00	U+82B1	花	1	hoa	flower
757	124.00	U+83EF	華	1	hoa	chinese
759	125.00	U+2162F	𡘯	1	lớn	big; large
763	126.00	U+57C3	埃	1	ai	who; someone, somebody
770	127.00	U+20027	𠀧	1	ba	three
773	127.00	U+7238	爸	1	ba	father
775	128.00	U+35C2	㗂	1	tiếng	sound; noise; language
788	129.00	U+5858	塘	1	đường	street; road; way; route
795	129.00	U+7CD6	糖	1	đường	sugar
797	129.00	U+5802	堂	1	đường	【house, bureau, palace】*
805	130.00	U+4E16	世	1	thế	world; era
811	130.00	U+66FF	替	1	thế	to substitute; to replace
813	130.00	U+52E2	勢	1	thế	such, so; 【condition, appearance; position, influence, impetus, power】*
821	131.00	U+66FE	曾	1	từng	【ever; already】*
826	132.00	U+2B8A9	𫢩	1	nay	this (year or day); now; today
830	133.00	U+576D	坭	1	nơi	place, location, site
834	134.00	U+5F62	形	1	hình	appearance, shape; picture, photo
843	135.00	U+524D	前	1	tiền	front
851	135.00	U+9322	錢	1	tiền	money, currency
855	136.00	U+4E9B	些	1	ta	we, us
721	137.00		文化	2	văn hoá	culture, civilization
2489	137.00		文化	2	văn hoá	culture, civilization
859	138.00	U+5357	南	1	nam	south; southern
872	139.00	U+8D8A	越	1	việt	vietnamese
878	140.00	U+4E2D	中	1	trung	center; central; Chinese
892	141.00	U+20BA9	𠮩	1	nếu	if
894	142.00	U+25637	𥘷	1	trẻ	young; children
2231	143.00		家庭	2	gia đình	family
2575	143.00		家庭	2	gia đình	family
901	144.00	U+20E1C	𠸜	1	tên	name
907	144.00	U+253CC	𥏌	1	tên	arrow
909	145.00	U+5BE6	實	1	thật	true, real, actual
914	146.00	U+5A84	媄	1	mẹ	mother; mom
917	147.00	U+52E4	勤	1	cần	to need
921	148.00	U+2102F	𡀯	1	chuyện	matter; talk, story
926	149.00	U+6BCF	每	1	mỗi	each, every
3184	150.00		組織	2	tổ chức	to organize
3217	150.00		組織	2	tổ chức	to organize
927	151.00	U+8292	芒	1	mang	to carry; to wear
466	153.00		城庯	2	thành phố	city, town
2711	153.00		城庯	2	thành phố	city, town
929	154.00	U+59C9	姉	1	chị	sister; young woman
933	155.00	U+8ECA	車	1	xe	vehicle; car
934	156.00	U+79AE	禮	1	lễ	holiday; festival; 【manners, courtesy, etiquette】*
941	157.00	U+8FFB	迻	1	đưa	to give
942	158.00	U+251BE	𥆾	1	nhìn	to look
945	159.00	U+570B	國	1	quốc	 【country, nation】*
961	160.00	U+6DFB	添	1	thêm	to add, to increase; additional
806	161.00		世界	2	thế giới	world
2513	161.00		世界	2	thế giới	world
962	162.00	U+9AD8	高	1	cao	high; tall
974	163.00	U+6B65	步	1	bộ	【to step, to walk】*
979	163.00	U+90E8	部	1	bộ	set; part, section, division
985	164.00	U+96BB	隻	1	chiếc	unit, entity, object; (classifier for vehicles or certain objects)
986	165.00	U+247A6	𤞦	1	mọi	each, every
988	166.00	U+66F8	書	1	thư	letter; 【book】*
997	167.00	U+722D	爭	1	tranh	to compete, to fight
1003	167.00	U+5E40	幀	1	tranh	picture, painting, scroll
1006	168.00	U+22B23	𢬣	1	tay	arm; hand; side
1013	170.00	U+22759	𢝙	1	vui	amusing, funny, merry, joyful, gay
1015	171.00	U+4FE1	信	1	tin	to believe; news, information
96	172.00		眾碎	2	chúng tôi	we, us (not including person addressed)
1789	172.00		眾碎	2	chúng tôi	we, us (not including person addressed)
1019	173.00	U+5400	吀	1	xin	to beg; to ask for
1023	174.00	U+6C11	民	1	dân	people; citizen
1035	175.00	U+7701	省	1	tỉnh	province
1037	176.00	U+904E	過	1	quá	very; too (much); to exceed, to pass
1041	177.00	U+54B9	咹	1	ăn	to eat
1053	178.00	U+22785	𢞅	1	yêu	to love
1055	178.00	U+8981	要	1	yêu	【to need, to require, to demand; necessary】*
1066	179.00	U+21A0C	𡨌	1	giữa	between, in the middle of, amid
1067	180.00	U+21795	𡞕	1	vợ	wife
1069	181.00	U+8B80	讀	1	đọc	to read
3223	182.00		作者	2	tác giả	author
3269	182.00		作者	2	tác giả	author
1072	183.00	U+23A42	𣩂	1	chết	death; to die
1077	184.00	U+5834	場	1	trường	school; field; ground
1089	184.00	U+9577	長	1	trưởng	leader
1102	185.00	U+884C	行	1	hàng	line, row; rank, order; goods, wares, merchandise
1117	185.00	U+822A	航	1	hàng	【sail; navigate】*
1121	186.00	U+25669	𥙩	1	lấy	to take
1122	187.00	U+26591	𦖑	1	nghe	to hear
250	188.00		茹文	2	nhà văn	knight of the pen, man of letters, author, littérateur
722	188.00		茹文	2	nhà văn	knight of the pen, man of letters, author, littérateur
1125	189.00	U+228B2	𢢲	1	đẹp	beautyful
1133	190.00	U+5B57	字	1	tự	character; letter; word
1136	191.00	U+2089E	𠢞	1	giúp	to help, to assist
1138	192.00	U+21B88	𡮈	1	nhỏ	small
87	194.00		朱别	2	cho biết	to tell; to inform, to notify
448	194.00		朱别	2	cho biết	to tell; to inform, to notify
2043	195.00		藝術	2	nghệ thuật	art
2373	195.00		藝術	2	nghệ thuật	art
1143	196.00	U+59C5	姅	1	nửa	half
1146	196.00	U+20BC6	𠯆	1	nữa	more, further
1413	196.00		女𖿱	2	nữa	half; again, more
3921	196.00		女𖿱	2	nữa	half; again, more
1149	197.00	U+5E38	常	1	thường	frequent; common, normal, usual
219	198.00		時間	2	thời gian	time
3615	198.00		時間	2	thời gian	time
1163	199.00	U+5B78	學	1	học	to learn, to study
1203	200.00	U+6771	東	1	đông	east; eastern
1210	201.00	U+2014D	𠅍	1	mất	to lose; lost; to die, to vanish
1213	202.00	U+2845C	𨑜	1	xuống	to descend; to go down
1215	203.00	U+5766	坦	1	đất	earth; soil; land; ground
1222	204.00	U+27E1D	𧸝	1	bán	to sell
1224	204.00	U+534A	半	1	bán	【half, semi-】*
1228	205.00	U+4F75	併	1	tính	to calculate; to plan
1230	206.00	U+5C0D	對	1	đối	facing, opposing
1232	207.00	U+985E	類	1	loại	class, group, kind, category
1238	208.00	U+6216	或	1	hoặc	or; either
1240	209.00	U+29218	𩈘	1	mặt	face
1254	210.00	U+4021	䀡	1	xem	to see, to observe
1256	211.00	U+60C5	情	1	tình	feeling, emotion
1266	212.00	U+5916	外	1	ngoài	out; outside; external
1274	213.00	U+8FB9	边	1	bên	side; edge
1280	214.00	U+7262	牢	1	sao	how
1289	214.00	U+232C0	𣋀	1	sao	star
1301	215.00	U+24018	𤀘	1	vùng	region, area
1303	216.00	U+4E15	丕	1	vậy	so; thus
1307	217.00	U+5F35	張	1	trương	(surname); 【to open up, to spread, to extend】*
1309	217.00	U+599D	妝	1	trang	【to dress up, to make up】*
1311	218.00	U+20CD2	𠳒	1	lời	word
1320	219.00	U+6B47	歇	1	hết	to be over; to end; to expire; to be used up
856	220.00		眾些	2	chúng ta	we, us (including person addressed)
1790	220.00		眾些	2	chúng ta	we, us (including person addressed)
1325	221.00	U+9673	陳	1	trần	(surname Tran)
1326	223.00	U+8A8D	認	1	nhận	to agree, to accept; to recognize
1332	224.00	U+515C	兜	1	đâu	where; somewhere
1337	225.00	U+8072	聲	1	thanh	sound, voice, noise
1341	225.00	U+9752	青	1	thanh	juvenile; 【green, blue】*
1345	225.00	U+6E05	清	1	thanh	pure, clear, clean
1349	226.00	U+53E4	古	1	cổ	old, ancient, antique
1357	227.00	U+24CC4	𤳄	1	bởi	because
1359	228.00	U+226B8	𢚸	1	lòng	soul, mind, heart; feeling
1369	229.00	U+5E45	幅	1	bức	painting, photograph, piece
1371	230.00	U+5146	兆	1	triệu	million
1373	231.00	U+2398D	𣦍	1	ngay	straight, direct
1377	232.00	U+27D46	𧵆	1	gần	near; nearly, almost
1379	233.00	U+27DF8	𧷸	1	mua	to buy
1380	234.00	U+7528	用	1	dụng	to use, to employ
1384	235.00	U+91CD	重	1	trọng	to value, to respect; 【weight, heavy】*
1390	235.00	U+2BBF3	𫯳	1	chồng	husband
1394	236.00	U+5206	分	1	phần	part, portion, piece (of a whole)
1412	238.00	U+5973	女	1	nữ	【female, woman】*
1418	239.00	U+27FE8	𧿨	1	trở	to turn, to change
1422	240.00	U+66E0	曠	1	khoảng	about, circa; space, distance, interval; period (time)
1425	241.00	U+20E25	𠸥	1	kể	to tell; in relation to, with respect to
1429	242.00	U+95DC	關	1	quan	【frontier, barrier, gate】*
1436	242.00	U+89C0	觀	1	quan	 【to see】*
1440	243.00	U+7121	無	1	vô	【non-, negative】*
1442	244.00	U+54E1	員	1	viên	member; employee; personnel
1446	245.00	U+6E56	湖	1	hồ	lake
1448	245.00	U+7CCA	糊	1	hồ	glue; to glue
1449	246.00	U+62E0	拠	1	cứ	to continue, to keep on; 【ground, base】*
1452	247.00	U+5ECA	廊	1	làng	village
1455	248.00	U+6625	春	1	xuân	spring (season)
1459	249.00	U+228C2	𢣂	1	nghĩ	to think
1466	251.00	U+5831	報	1	báo	to report, to tell; newspaper
1471	252.00	U+672C	本	1	bản	【root, origin, source; basis】*
1478	252.00	U+7248	版	1	bản	copy, edition; printing blocks
1481	253.00	U+9069	適	1	thích	to like
1484	253.00	U+91CB	釋	1	thích	【to explain】*
1487	254.00	U+50B7	傷	1	thương	to be fond of, to love
1491	255.00	U+7E3D	總	1	tổng	【altogether】*
1497	256.00	U+23603	𣘃	1	cây	tree, plant
1502	256.00	U+6838	核	1	hạch	nucleus
42	257.00		𠊛些	2	người ta	people; they
857	257.00		𠊛些	2	người ta	people; they
1504	258.00	U+50B3	傳	1	truyện	story
1508	259.00	U+20040	𠁀	1	đời	existence; world; generation; era
1515	260.00	U+24C82	𤲂	1	dưới	below; at the bottom
1516	261.00	U+6CD5	法	1	pháp	law; France; french
1522	262.00	U+5FC3	心	1	tâm	【heart; mind】*
508	263.00		畢哿	2	tất cả	all; entire, whole
3733	263.00		畢哿	2	tất cả	all; entire, whole
1529	264.00	U+8CD6	賖	1	xa	far, distant
1532	265.00	U+FA24	﨤	1	gặp	to meet, to encounter
1536	266.00	U+771C	眜	1	mắt	eye; expensive
1542	267.00	U+5317	北	1	bắc	north; northern
1554	268.00	U+660E	明	1	minh	【bright; clear】*
1559	269.00	U+5143	元	1	nguyên	whole, entire; 【original, initial, source, root】*
1565	269.00	U+6E90	源	1	nguồn	source, origin; spring
1568	269.00	U+539F	原	1	nguyên	【source, origin, root】*
1572	270.00	U+56DB	四	1	tư	【four】*
637	271.00		頭先	2	đầu tiên	(very) first
3124	271.00		頭先	2	đầu tiên	(very) first
43	272.00		𡥵𠊛	2	con người	man, human
295	272.00		𡥵𠊛	2	con người	man, human
1576	273.00	U+6CB9	油	1	dầu	oil, fat, grease
1578	273.00	U+20DA2	𠶢	1	dù	however, though
1583	274.00	U+50F9	價	1	giá	price, value
1591	276.00	U+213A5	𡎥	1	ngồi	to sit
1593	277.00	U+5927	大	1	đại	【big; great; very, much】*
1606	277.00	U+4EE3	代	1	đại	【era, generation】*
1611	278.00	U+231DE	𣇞	1	giờ	time
1620	281.00	U+8EAB	身	1	thân	body; trunk; intimate, close
62	282.00		空體	2	không thể	impossible; unable, incapable
3080	282.00		空體	2	không thể	impossible; unable, incapable
1623	283.00	U+26627	𦘧	1	vẽ	to draw, to paint
1626	284.00	U+8F2A	輪	1	luôn	directly, right away; also, too; often; 【wheel, disk; revolve, recur】*
1629	285.00	U+53F8	司	1	ty	service, administration; 【to manage, to govern, to regulate】*
1631	286.00	U+216D4	𡛔	1	gái	female; girl
3318	287.00		歷史	2	lịch sử	history
3630	287.00		歷史	2	lịch sử	history
1634	288.00	U+9020	造	1	tạo	to create; to make; to form
1640	290.00	U+232DA	𣋚	1	hôm	day
1647	291.00	U+52A1	务	1	mùa	season; time; tide
1656	292.00	U+5E84	庄	1	chẳng	not at all
53	293.00		特别	2	đặc biệt	special; unusual
449	293.00		特别	2	đặc biệt	special; unusual
1665	295.00	U+63A8	推	1	thôi	to stop, no more; only, just; enough!
1668	296.00	U+725F	牟	1	màu	color
1673	297.00	U+22CA7	𢲧	1	gây	to quarrel; to cause, to excite, to initiate
1677	298.00	U+89E3	解	1	giải	to solve, to answer, to explain
1682	299.00	U+53E5	句	1	câu	sentence
1414	300.00		婦女	2	phụ nữ	woman
3310	300.00		婦女	2	phụ nữ	woman
1685	301.00	U+5FB7	德	1	đức	virtue, ethics, morality; Germany, german
1692	302.00	U+9EDE	點	1	điểm	point, mark, score
946	303.00		國家	2	quốc gia	nation, country, state
2232	303.00		國家	2	quốc gia	nation, country, state
1701	304.00	U+21A39	𡨹	1	giữ	to keep; to retain; to hold; to maintain
1707	305.00	U+5352	卒	1	tốt	good, well, fine; 【finally, at last】*
1713	306.00	U+52D9	務	1	vụ	【affairs; duty, obligation, must】*
1719	307.00	U+20066	𠁦	1	trúng	exactly, correct; to hit, to impact
1721	309.00	U+215F6	𡗶	1	trời	sky; heaven; weather
1727	310.00	U+225B5	𢖵	1	nhớ	to remember; to recall; to call in mind
1735	311.00	U+20CE8	𠳨	1	hỏi	to ask; to question, to inquire
696	312.00		社會	2	xã hội	society
2838	312.00		社會	2	xã hội	society
1739	313.00	U+268F0	𦣰	1	nằm	to lie down
1743	314.00	U+60F3	想	1	tưởng	to think
922	315.00		句𡀯	2	câu chuyện	tale, story
1683	315.00		句𡀯	2	câu chuyện	tale, story
1753	316.00	U+6C94	沔	1	miền	region; district
1757	317.00	U+5C6C	屬	1	thuộc	to belong to, subordinate of; to know by heart; to tan
1765	318.00	U+6CE8	注	1	chú	uncle; 【to focus, to concentrate】*
1769	319.00	U+6392	排	1	bài	lecture
1776	320.00	U+28585	𨖅	1	sang	to cross; to transfer; across, over
1781	321.00	U+9404	鐄	1	vàng	gold; yellow
1785	322.00	U+65EC	旬	1	tuần	week; ten-day period
1788	323.00	U+773E	眾	1	chúng	masses; multitude
1792	324.00	U+236E0	𣛠	1	máy	machine; engine
1796	325.00	U+91D1	金	1	kim	【gold, metal】*
1802	325.00	U+4ECA	今	1	kim	【today】*
1805	326.00	U+6D32	洲	1	châu	continent
1818	326.00	U+73E0	珠	1	châu	【gem, pearl, precious stone】*
1820	328.00	U+5C71	山	1	sơn	【mountain; mountains】*
1823	329.00	U+21959	𡥙	1	cháu	grandchild, grandchildren, grandson, granddaughter
1824	330.00	U+83ED	菭	1	đầy	full, completely filled
1828	331.00	U+65E5	日	1	nhật	sun; Japan; japanese
1836	332.00	U+20042	𠁂	1	đứa	(person of low rank), bloke, lad, guy
1838	333.00	U+28C7D	𨱽	1	dài	long
1841	334.00	U+6A02	樂	1	nhạc	music
1479	335.00		出版	2	xuất bản	to publish
3640	335.00		出版	2	xuất bản	to publish
1844	336.00	U+73ED	班	1	ban	time, shift
1852	337.00	U+90FD	都	1	đô	【capital city, metropolis】*
1861	338.00	U+23380	𣎀	1	đêm	night
1863	340.00	U+5A18	娘	1	nàng	she; her
1866	341.00	U+8A69	詩	1	thi	poetry
1868	341.00	U+8A66	試	1	thi	to compete, to race, to take an examination
2480	342.00		警察	2	cảnh sát	police
1871	343.00	U+66C9	曉	1	hiểu	to understand
3050	344.00		研究	2	nghiên cứu	to study; to examine
3897	344.00		研究	2	nghiên cứu	to study; to examine
1874	346.00	U+897F	西	1	tây	west; western
152	348.00		如勢	2	như thế	like this, like that; thus, so
814	348.00		如勢	2	như thế	like this, like that; thus, so
1884	349.00	U+5660	噠	1	đặt	to order, to command; to invent
1888	351.00	U+8A55	評	1	bình	【to criticize】*
1890	351.00	U+74F6	瓶	1	bình	vase, vessel, jar
1892	352.00	U+28DF6	𨷶	1	cửa	door, gate, entrance
1897	353.00	U+7FA9	義	1	nghĩa	meaning
1908	354.00	U+20B03	𠬃	1	bỏ	to leave, to abandon, to neglect; to let, to put
1915	355.00	U+25E70	𥹰	1	lâu	long, long time, long while
638	356.00		扒頭	2	bắt đầu	to begin, to start
2133	356.00		扒頭	2	bắt đầu	to begin, to start
1923	357.00	U+623F	房	1	phòng	room, chamber
1929	357.00	U+9632	防	1	phòng	【to prevent】*
1935	358.00	U+4F4D	位	1	vị	【measure word for persons; throne; seat; rank, status】*
1938	358.00	U+5473	味	1	vị	【flavor, taste】*
1941	359.00	U+20E72	𠹲	1	chứ	certainly, of course
1943	360.00	U+215CB	𡗋	1	lắm	very
1945	361.00	U+21982	𡦂	1	chữ	letter (of a script or alphabet); writing system, script; word
910	362.00		實現	2	thực hiện	to realize, to carry out
2120	362.00		實現	2	thực hiện	to realize, to carry out
1954	363.00	U+584A	塊	1	khỏi	to escape, to prevent
1956	364.00	U+23DF7	𣷷	1	biển	ocean
1962	365.00	U+79CB	秋	1	thu	autumn, fall
2812	366.00		雖然	2	tuy nhiên	however, but
3765	366.00		雖然	2	tuy nhiên	however, but
1967	367.00	U+6C42	求	1	cầu	【to seek, to demand】*
1973	369.00	U+2439C	𤎜	1	sáng	bright, light, clear; morning
1980	370.00	U+27F0B	𧼋	1	chạy	to run
1984	371.00	U+8E4E	蹎	1	chân	foot, leg
1990	372.00	U+5448	呈	1	trình	to submit, to show, to present
1991	372.00	U+7A0B	程	1	trình	schedule, agenda
1995	374.00	U+2AC02	𪰂	1	phía	direction, way
2374	375.00		藝士	2	nghệ sĩ	artist
2466	375.00		藝士	2	nghệ sĩ	artist
2001	376.00	U+24930	𤤰	1	vua	king
145	377.00		𡢐妬	2	sau đó	after that
413	377.00		𡢐妬	2	sau đó	after that
2003	378.00	U+4EBA	人	1	nhân	【person, people; man, mankind】*
2021	378.00	U+4EC1	仁	1	nhân	kernel, filling; 【humane】*
2026	379.00	U+4FDD	保	1	bảo	【to protect, to safeguard】*
2033	379.00	U+20E12	𠸒	1	bảo	to say
2034	380.00	U+540D	名	1	danh	name
2036	381.00	U+5340	區	1	khu	area, district, zone
723	384.00		文學	2	văn học	literature
1164	384.00		文學	2	văn học	literature
2040	385.00	U+7ACB	立	1	lập	to form, to establish, to set up
2042	386.00	U+8853	術	1	thuật	art, technique
2048	387.00	U+8CF4	賴	1	trái	left; to the left
2050	387.00	U+236E4	𣛤	1	trái	fruit
2052	389.00	U+5F37	強	1	càng	the ... the; all the more
2053	390.00	U+7389	玉	1	ngọc	gemstone, gem, jewel
2055	391.00	U+5BA2	客	1	khách	guest, visitor
2063	392.00	U+5672	噲	1	gọi	to call
2068	393.00	U+9F8D	龍	1	rồng	dragon
1381	394.00		使用	2	sử dụng	to use, to utilize, to employ
3326	394.00		使用	2	sử dụng	to use, to utilize, to employ
2072	395.00	U+559D	喝	1	hét	to scream, to cry
2074	395.00	U+6B31	欱	1	hát	to sing
2077	396.00	U+20127	𠄧	1	vài	some, several, quite a few
2079	397.00	U+7D71	統	1	thống	【to unite; to control】*
2083	398.00	U+28DD1	𨷑	1	mở	to open
3631	399.00		遊歷	2	du lịch	to travel
2088	401.00	U+671D	朝	1	chiều	direction; dimension, side
2095	402.00	U+516C	公	1	công	public; common
2104	403.00	U+28008	𨀈	1	bước	step, pace; to step, to pace
2106	404.00	U+7D42	終	1	chung	common, general, public, shared
2112	405.00	U+22BAA	𢮪	1	chọn	to select, to choose
2115	406.00	U+5C11	少	1	thiếu	to lack
2119	407.00	U+73FE	現	1	hiện	to appear
2127	408.00	U+28178	𨅸	1	đứng	to stand
2132	409.00	U+6252	扒	1	bắt	to catch
2137	410.00	U+5B5F	孟	1	mạnh	strong, powerful
2140	411.00	U+21BA3	𡮣	1	bé	small, little, tiny
1612	412.00		包𣇞	2	bao giờ	when; ever
3068	412.00		包𣇞	2	bao giờ	when; ever
2146	413.00	U+8996	視	1	thị	【to look, to see】*
2148	413.00	U+793A	示	1	thị	【to show, to demonstrate】*
2150	413.00	U+5E02	市	1	thị	【city; market; town; trade】*
2156	414.00	U+6025	急	1	gấp	pressing, urgent, hurry
