en	zh	zh-pinyin	zh-phon	jp	jp-rom	jp-phon	it	it-phon	es	es-phon	fr	fr-phon	en-phon	en-us-phon
swimming pool	游泳池	yóuyǒngchí	(yo-yong-chue) 	プール	pūru	(poo-ru) 	piscina	(pee-shee-na) 	piscin	(pee-see-na) 	piscine	(pee-seen) 	(swim-ing pool) 	(swim-ing pool) 
cheese	奶酪	nǎilào	(nai-lao) 	チーズ	chiizu	(chee-zu) 	formaggio	(for-ma-joh) 	queso	(keh-soh) 	fromage	(fro-mah-jh) 	(tcheez) 	(tcheez) 
doctor	医生	yīshēng	(ee-shung) 	おいしゃさん	oishasan	(oy-sha-san) 	medico	(meh-dee-koh) 	doctor/doctora	(dok-tor/dok-tora) 	docteur	(dok-ter) 	(dok-ter) 	(dahk-tur) 
apple	苹果	píngguǒ	(ping-gwohr) 	りんご	ringo	(rin-go) 	mela	(meh-la) 	manzana	(man-za-na) 	pomme	(pom) 	(a-pul) 	(a-pul) 
beach	海滩	hǎitān	(hai-tan) 	ビーチ	biichi	(bee-chi) 	spiaggia	(spee-ah-ja) 	playa	(pla-ya) 	plage	(plah-jh) 	(beetch) 	(beetch) 
bicycle	自行车	zìxíngchē	(tze-shing-chuh) 	じてんしゃ	jitensha	(ji-ten-sha) 	bicicletta	(bee-chee-kleh-ta) 	bicicleta	(bee-see-kle-ta) 	vélo	(vay-loh) 	(by-sik-ul) 	(by-si-kul) 
airport	飞机场	fēijī chǎng	(fay-jee-chahng) 	くうこう	kūkō	(koo-koh) 	aeroporto	(ay-roh-por-toh) 	aeropuerto	(aye-roh-pwair-toh) 	aéroport	(air-roh-por) 	(air-port) 	(air-port) 
juice	汁	zhī	(jue) 	ジュース	jūsu	(joo-su) 	succo	(soo-koh) 	jugo	(khoo-go) 	jus	(jhoo) 	(jooss) 	(jooss) 
shoes	鞋子	xiézi	(shee-eh-dze) 	くつ	kutsu	(ku-tsu) 	scarpe	(skar-peh) 	zapatos	(za-pa-tos) 	chaussures	(shoh-sewr) 	(shooz) 	(shooz) 
phone	电话	diànhuà	(dee-en-hwah) 	でんわ	denwa	(den-wa) 	telefono	(teh-leh-foh-noh) 	teléfono	(te-leh-fo-noh) 	téléphone	(teh-leh-fon) 	(fone) 	(fone) 
post office	邮政局	yóuzhèngjú	(yo-jung-jue) 	ゆうびんきょく	yūbinkyoku	(yoo-bin-kyo-ku) 	ufficio postale	(oo-fee-choh pos-tah-leh) 	correos	(ko-ray-os) 	bureau de poste	(bew-roh duh po-st) 	(pohst off-iss) 	(pohst off-iss) 
restaurant	饭馆	fànguǎn	(fan-gwahn) 	レストラン	resutoran	(res-to-ran) 	ristorante	(rees-toh-ran-teh) 	restaurante	(res-tow-ran-teh) 	restaurant	(res-toh-ron) 	(res-tront) 	(ress-tuh-rahnt) 
hotel	酒店	jiǔdiàn	(jeeoh-dee-en) 	ホテル	hoteru	(ho-te-ru) 	albergo	(al-bair-goh) 	hotel	(oh-tel) 	hôtel	(oh-tel) 	(hoh-tel) 	(hoh-tel) 
milk	牛奶	niúnǎi	(new-nai) 	ぎゅうにゅう	gyūnyū	(gyoo-nyoo) 	latte	(la-teh) 	leche	(leh-tchay) 	lait	(lay) 	(milk) 	(milk) 
chocolate	巧克力	qiǎokèlì	(tchao-kuh-lee) 	チョコレート	chokorēto	(cho-ko-ray-to) 	cioccolato	(cho-koh-lah-toh) 	chocolate	(tcho-koh-lah-teh) 	chocolat	(sho-koh-la) 	(chok-luht) 	(chahk-let) 
car	汽车	qìchē	(chee-chuh) 	くるま	kuruma	(ku-ru-ma) 	macchina	(mah-kee-na) 	coche	(ko-tchay) 	voiture	(vwa-tewr) 	(kah) 	(kar) 
hat	帽子	màozi	(mao-dze) 	ぼうし	bōshi	(boh-shi) 	cappello	(ka-pel-loh) 	sombrero	(som-brair-roh) 	chapeau	(sha-poh) 	(hat) 	(hat) 
sunglasses	墨镜	mòjìng	(mo-jing) 	サングラス	sangurasu	(san-gu-ra-su) 	occhiali da sole	(o-kya-lee da soh-leh) 	gafas de sol	(ga-fas dey sol) 	lunettes de soleil	(loo-net duh so-lay) 	(sun-glar-siz) 	(sun-glass-iz) 
chicken	鸡	jī	(jee) 	チキン	chikin	(chi-kin) 	pollo	(po-loh) 	pollo	(pol-yo) 	poulet	(poo-lay) 	(tchik-in) 	(tchik-in) 
train	火车	huǒchē	(hwo-chuh) 	でんしゃ	densha	(den-sha) 	treno	(tray-noh) 	tren	(tren) 	train	(tra) 	(trayn) 	(trane) 
station	站	zhàn	(jan) 	えき	eki	(e-ki) 	stazione	(stat-syo-neh) 	estación	(es-ta-see-on) 	gare	(gar) 	(stay-shun) 	(stay-shun) 
toilet	厕所	cèsuǒ	(tsuh-swaw) 	トイレ	toire	(toy-re) 	gabinetto	(ga-bee-net-toh) 	servicio	(sair-vee-see-oh) 	toilette	(twa-let) 	(toy-let) 	(toy-let) 
bed	床	chuáng	(chwahng) 	ベッド	beddo	(bed-do) 	letto	(leh-toh) 	cama	(ka-ma) 	lit	(lee) 	(bed) 	(bed) 
house	房子	fángzi	(fahng-dze) 	いえ	ie	(ih-eh) 	casa	(kah-za) 	casa	(ka-sa) 	maison	(may-zon) 	(howss) 	(houss) 
suitcase	行李	xínglǐ	(sheung-lee) 	スーツケース	sūtsukēsu	(soots-kay-su) 	valigia	(va-lee-jah) 	maleta	(ma-leh-ta) 	valise	(va-leez) 	(soo-t-kays) 	(soot-kayss) 
plate	盘子	pánzi	(pan-dze) 	さら	sara	(sa-ra) 	piatto	(pee-a-toh) 	plato	(pla-toh) 	assiette	(ass-ee-et) 	(playt) 	(playt) 
knife	刀子	dāozi	(dao-dze) 	ナイフ	naifu	(nai-fu) 	coltello	(kol-tel-loh) 	cuchillo	(koo-tchee-lyo) 	couteau	(koo-toh) 	(nife) 	(nife) 
fork	叉子	chāzi	(chah-dze) 	フォーク	fōku	(foh-ku) 	forchetta	(for-ke-ta) 	tenedor	(teh-nay-dor) 	fourchette	(for-shet) 	(fork) 	(fork) 
spoon	勺子	sháozi	(shao-dze) 	スプーン	supūn	(s-poon) 	cucchiaio	(koo-kya-yoh) 	cuchara	(koo-tcha-ra) 	cuillère	(kwee-air) 	(spoon) 	(spoon) 
computer	电脑	diànnǎo	(dee-en-nao) 	コンピューター	konpyūtā	(kon-pyoo-tah) 	computer	(kom-pyoo-tair) 	ordenador	(or-day-na-dor) 	ordinateur	(or-dee-na-ter) 	(com-pew-tuh) 	(kum-pyoo-tur) 
book	书	shū	(shoo) 	ほん	hon	(hon) 	libro	(lee-broh) 	libro	(lee-broh) 	livre	(leev-ruh) 	(book) 	(book) 
sandwich	三明治	sānmíngzhì	(san-ming-jue) 	サンドイッチ	sandoitchi	(san-doh-it-chi) 	tramezzino	(trah-meh-dzee-noh) 	emparedado	(em-pa-reh-dah-doh) 	sandwich	(sond-weech) 	(sand-widge) 	(sand-witch) 
yes	是	shì	(shuh) 	はい	hai	(hai) 	sí	(see) 	sí	(see) 	oui	(wee) 	(yes) 	(yes) 
no	不	bù	(boo) 	いいえ	iie	(ee-eh) 	no	(no) 	no	(no) 	non	(n-on) 	(noh) 	(noh) 
park	公园	gōngyuán	(gong-yoo-en) 	こうえん	kōen	(koh-en) 	parco	(par-koh) 	parque	(par-keh) 	parc	(park) 	(park) 	(park) 
menu	菜单	càidān	(tsai-dan) 	メニュー	menyū	(men-yoo) 	menu	(meh-noo) 	menú	(meh-noo) 	carte	(kart) 	(men-yoo) 	(men-yoo) 
passport	护照	hùzhào	(hoo-jao) 	パスポート	pasupōto	(pas-paw-toh) 	passaporto	(pas-sa-por-toh) 	pasaporte	(pas-a-por-teh) 	passeport	(pass-por) 	(pahs-port) 	(pass-port) 
police officer	警察	jǐngchá	(jeung-chah) 	おまわりさん	omawarisan	(o-ma-wa-ri-san) 	polizia	(po-lee-tsee-a) 	policía	(po-lee-see-a) 	officier de police	(o-fees-yay duh po-lees) 	(po-lees off-i-suh) 	(puh-leess off-uh-sur) 
key	钥匙	yàoshi	(yao-shuh) 	かぎ	kagi	(ka-gi) 	chiave	(kya-veh) 	llave	(lya-vay) 	clé	(klay) 	(kee) 	(kee) 
ticket	票	piào	(pee-ao) 	きっぷ	kippu	(kip-pu) 	biglietto	(bee-lyet-oh) 	boleto	(bo-leh-toh) 	billet	(bee-yay) 	(tik-et) 	(tik-it) 
rain	雨	yǔ	(ooe) 	あめ	ame	(a-meh) 	pioggia	(pee-o-ja) 	lluvia	(lyoo-vee-ah) 	pluie	(plwee) 	(rayn) 	(rayn) 
snow	雪	xuě	(shoo-eh) 	ゆき	yuki	(yu-ki) 	neve	(neh-veh) 	nieve	(nee-eh-vay) 	neige	(neh-jh) 	(sn-oh) 	(snoh) 
sun	太阳	tàiyáng	(tai-yahng) 	たいよう	taiyō	(tai-yoh) 	sole	(soh-leh) 	sol	(sol) 	soleil	(so-lay) 	(sun) 	(sun) 
tree	树	shù	(shoo) 	き	ki	(ki) 	albero	(al-beh-roh) 	árbol	(ahr-bol) 	arbre	(ah-bruh) 	(tree) 	(tree) 
flower	花	huā	(hwah) 	はな	hana	(ha-na) 	fiore	(fee-or-reh) 	flor	(flor) 	fleur	(fl-uhr) 	(flao-er) 	(flao-ur) 
cake	蛋糕	dàngāo	(dan-gao) 	ケーキ	kēki	(kay-ki) 	torta	(tor-ta) 	pastel	(pas-tel) 	gâteau	(ga-toh) 	(kay-k) 	(kayk) 
ball	球	qiú	(chee-oh) 	ボール	bō-ru	(boh-ru) 	palla	(pal-la) 	pelota	(peh-lo-ta) 	ballon	(ba-lon) 	(bawl) 	(bawl) 
bird	鸟	niǎo	(nee-ao) 	とり	tori	(to-ri) 	uccello	(oo-chel-loh) 	pájaro	(pa-kha-roh) 	oiseau	(wa-zoh) 	(burd) 	(burd) 
egg	蛋	dàn	(dan) 	たまご	tamago	(ta-ma-go) 	uovo	(woh-voh) 	huevo	(way-voh) 	œuf	(erf) 	(eg) 	(eg) 
umbrella	雨伞	yǔsǎn	(yue-sahn) 	かさ	kasa	(ka-sa) 	ombrello	(om-brel-loh) 	paraguas	(pa-ra-gwas) 	parapluie	(pa-ra-plwee) 	(um-brel-uh) 	(um-brel-uh) 
money	钱	qián	(chee-en) 	おかね	okane	(o-ka-ne) 	soldi	(sol-dee) 	dinero	(dee-nair-roh) 	argent	(ar-jhon) 	(muh-nee) 	(muh-nee) 
bank	银行	yínháng	(yin-hahng) 	ぎんこう	ginkō	(gin-koh) 	banca	(ban-ka) 	banco	(ban-koh) 	banque	(bong-k) 	(bank) 	(bank) 
mouse	老鼠	lǎoshǔ	(lao-shoo) 	ねずみ	nezumi	(ne-zu-mi) 	topo	(to-poh) 	ratón	(ra-ton) 	souris	(soo-ree) 	(maus) 	(mouss) 
scarf	围巾	wéijīn	(way-jeen) 	マフラー	mafurā	(ma-fu-rah) 	sciarpa	(shar-pa) 	bufanda	(boo-fan-da) 	écharpe	(eh-sharp) 	(scarf) 	(skarf) 
gloves	手套	shǒutào	(shoh-tao) 	てぶくろ	tebukuro	(te-bu-ku-ro) 	guanti	(gwan-tee) 	guantes	(gwan-tes) 	gants	(gon) 	(gluhvs) 	(gluhvs) 
coat	外套	wàitào	(wai-tao) 	コート	kōto	(koh-to) 	cappotto	(kap-pot-toh) 	abrigo	(a-bree-goh) 	manteau	(mon-toh) 	(cote) 	(kote) 
hospital	医院	yīyuàn	(ee-yoo-en) 	びょういん	byōin	(byoh-in) 	ospedale	(os-peh-dah-leh) 	hospital	(os-pee-tal) 	hôpital	(o-pee-tal) 	(hoss-pit-ul) 	(hah-spi-tul) 
chair	椅子	yǐzi	(ee-dze) 	いす	isu	(i-su) 	sedia	(seh-dya) 	silla	(see-lya) 	chaise	(shez) 	(tchair) 	(tchair) 
table	桌子	zhuōzi	(jwoh-dze) 	テーブル	tēburu	(tay-bu-ru) 	tavolo	(tah-voh-loh) 	mesa	(meh-sa) 	table	(ta-bluh) 	(tay-bul) 	(tay-bul) 
toothbrush	牙刷	yáshuā	(ya-shwah) 	はブラシ	haburashi	(ha-bu-ra-shi) 	spazzolino da denti	(spat-soh-lee-noh da den-tee) 	cepillo de dientes	(theh-pee-lyo dey dyen-tes) 	brosse à dents	(bross a don) 	(tooth-brush) 	(tooth-brush) 
toothpaste	牙膏	yágāo	(ya-gao) 	はみがきこ	hamigakiko	(ha-mi-ga-ki-ko) 	dentifricio	(den-tee-free-choh) 	dentífrico	(den-tee-free-koh) 	dentifrice	(don-tee-frees) 	(tooth-payst) 	(tooth-payst) 
lion	狮	shī	(shue) 	ライオン	raion	(rai-on) 	leone	(lay-oh-neh) 	león	(lay-on) 	lion	(lee-on) 	(lye-un) 	(lye-un) 
monkey	猴	hóu	(hoh) 	さる	saru	(sa-ru) 	scimmia	(shee-mya) 	mono	(mo-noh) 	singe	(san-jh) 	(mung-kee) 	(mung-kee) 
spider	蜘蛛	zhīzhū	(jue-joo) 	くも	kumo	(ku-mo) 	ragno	(rah-nyoh) 	araña	(a-ra-nya) 	araignée	(a-ray-nyay) 	(spy-der) 	(spy-dur) 
pen	笔	bǐ	(bee) 	ペン	pen	(pen) 	penna	(pen-na) 	bolígrafo	(boh-lee-gra-foh) 	stylo	(stee-loh) 	(pen) 	(pen) 
door	门	mén	(mun) 	ドア	doa	(do-a) 	porta	(por-ta) 	puerta	(pwair-ta) 	porte	(port) 	(dor) 	(dor) 
window	窗	chuāng	(chwahng) 	まど	mado	(ma-do) 	finestra	(fee-nes-tra) 	ventana	(ven-ta-na) 	fenêtre	(fer-neh-truh) 	(win-doh) 	(win-doh) 
tent	帐篷	zhàngpéng	(jahng-pung) 	テント	tento	(ten-to) 	tenda	(ten-da) 	tienda	(tee-en-da) 	tente	(ton-t) 	(tent) 	(tent) 
tomato	番茄	fānqié	(fahn-chee-eh) 	トマト	tomato	(to-ma-to) 	pomodoro	(poh-moh-dor-oh) 	tomate	(tom-ah-tay) 	tomate	(toh-mat) 	(tuh-mah-toh) 	(tuh-may-toh) 
moon	月	yuè	(yoo-eh) 	つき	tsuki	(ts-ki) 	luna	(loo-na) 	luna	(loo-na) 	lune	(loon) 	(moon) 	(moon) 
stars	星星	xīngxīng	(shing-shing) 	ほし	hoshi	(ho-shi) 	stelle	(stel-leh) 	estrellas	(es-tray-yas) 	étoiles	(eh-twahl) 	(stars) 	(starz) 
postcard	明信片	míngxìnpiàn	(ming-shin-pee-en) 	はがき	hagaki	(ha-ga-ki) 	cartolina	(kar-toh-lee-na) 	postal	(pos-tal) 	carte postale	(kart poh-stahl) 	(pohst-kahd) 	(pohst-kard) 
boat	船	chuán	(chwahn) 	ふね	fune	(fu-ne) 	barca	(bar-ka) 	barco	(bar-koh) 	bateau	(ba-toh) 	(bote) 	(bote) 
goodbye	再见	zàijiàn	(dzai-jee-en) 	さようなら	sayōnara	(sa-yoh-na-ra) 	arrivederci	(a-ree-veh-der-chee) 	adiós	(a-dee-oss) 	au revoir	(oh ruh-vwar) 	(good-by) 	(good-by) 
