index	sequence_index	section	thai	phonetic	register	definition	note	custom-note
79	19	4	อย่ามาขวาง	yàa maa kwǎang	INFORMAL/INSULTING	Get out of my way! / Don’t block my way!		
80	20	4	ใช้เวลาให้เป็นประโยชน์	chái wee-laa hâi bpen bprà-yòot		Make good use of your time. / Spend your time wisely.		
81	1	5	ถูกใจไหม	tùuk-jai mǎi		Do you like it? / Is it to your liking?		
82	2	5	สุดยอดเลย	sùt-yɔ̂ɔt ləəi		It’s awesome/super/cool!		
83	3	5	เก่งมาก	gèng mâak		Very good! / Nice job! / You’re good at this!		
84	4	5	ยินดีด้วย	yin-dii dûai		Congrats! / Congratulations!		
85	5	5	ชนแก้ว	chon gɛ̂ɛo		Cheers!		
86	6	5	ทำใจดีๆ	tam-jai dii-dii		Hang in there! / Keep up your courage. / Hold on! / Cheer up!		
87	7	5	พักผ่อนเถอะ	pák-pɔ̀n tə̀		Get some rest.		
88	8	5	ก็ใช่น่ะสิ	gɔ̂ɔ châi nâ sí	INFORMAL	That’s right! / Yeah, I am! / Exactly! / Of course!		
89	9	5	ดีแล้ว	dii lɛ́ɛo		Good. / That’s good. / Good for you.		
90	10	5	เชิญครับ	chəən kráp		Go ahead. / After you. / Please… / Come on in.		
91	11	5	แป๊บนึง	bpɛ́ɛp-nʉng		Just a moment. / Just a second.		
92	12	5	ขอโทษค่ะ	kɔ̌ɔ-tôot kà		I’m sorry. / Excuse me. / Pardon me.		
93	13	5	สนุกจะตาย	sà-nùk jà-dtaai		This is soooo much fun! / It’s a blast!		
94	14	5	ไง	ngai	INFORMAL	Hey. (Hi) / What’s up?		
95	15	5	มาดูเร็ว	maa duu reo		Come and have a look!		
96	16	5	พูดเล่นนะ	pûut-lên ná		I’m joking!		
97	17	5	ดูนั่นสิ	duu nân sí		Look at that! / Look!		
98	18	5	หอมจังเลย	hɔ̌ɔm jang ləəi		It smells so good!		
99	19	5	จริงด้วย	jing dûai		That’s right! / That’s true!		
100	20	5	ใครๆก็ชอบ	... (krai-krai gɔ̂ɔ chɔ̂ɔp)		Everyone likes/loves…		
101	1	6	พอได้แล้ว	pɔɔ dâi lɛ́ɛo		That’s enough! (stop it!) / Enough! / Break it up! / Knock it off!		
102	2	6	เลิกคิดได้แล้ว	lə̂ək kít dâi lɛ́ɛo		Quit thinking about it! / Get it out of your head!		
103	3	6	ไม่ต้องโกหก	mâi dtɔ̂ng goo-hòk		You don’t have to lie. / Don’t lie (to me).		
104	4	6	อย่าทำอะไรผม(เลย)	yàa tam à-rai pǒm (ləəi		Don’t hurt me. / Don’t do anything to me.		
105	5	6	ระวังไว้ให้ดี(เถอะ)	rá-wang wái hâi dii tə̀		Watch your back. / Be very careful. / Look out.		
106	6	6	ถอยไป	tɔ̌ɔi bpai		Get back! / Get away! / Back off! / Stay away from me!		
107	7	6	อยู่เฉยๆ	yùu chə̌əi-chə̌əi		Stay still. / Don’t move. / Stay right there. / Sit tight.		
108	8	6	เบาๆหน่อย	bao-bao nɔ̀i		Softly! / Not so rough. / Easy! / Not so loud!		
109	9	6	อย่าดิ้น	yaa dîn		Don’t move! / Don’t try to escape! / Don’t squirm!		
110	10	6	ปล่อยฉันเดี๋ยวนี้	bplɔ̀i chǎn dǐao-níi		Let go of me (right now)!		
111	11	6	พูดมาซิ	pûut maa sí		Tell me! / Say it!		
112	12	6	ไหนบอก(ว่า)	... (nǎi bɔ̀ɔk (wâa)…)		Hey, I thought you said…		
113	13	6	ฉิบหาย	chìp-hǎai		Damn! / Shit!		
114	14	6	เวรกรรม	ween-gam		Damn! / Damn it! / Oh, crap! / What bad luck! (This also means karma or What goes around, comes around.)		
115	15	6	ทำไมมาช้าจัง	tam-mai maa cháa jang		Why are you so late?		
116	16	6	ไม่น่าล่ะ / มิน่าล่ะ	mâi-nâa-lâ / mi-nâa-lâ		No wonder… ! / No wonder! / It’s no wonder… ! / That’s why… !		
117	17	6	ไม่ใช่เด็กๆแล้วนะ	mâi-châi dèk-dèk lɛ́ɛo ná		You’re not a kid/child (anymore)!		
118	18	6	ไม่ดีเหรอ	mâi-dii rə̌ə		Is that (so) bad? / What’s wrong with that?		
119	19	6	ไม่คุ้มค่า	mâi kúm-kâa		It’s not worth it.		
120	20	6	ปล่อยให้(มัน)เป็นไป	bplɔ̀i hâi (man) bpen-bpai		Let it go. / Let it be. / So be it.		
121	1	7	หิวน้ำ	hǐu-náam		I’m thirsty.		
122	2	7	หิวข้าว	hǐu-kâao		I’m hungry.		
123	3	7	เหนื่อยจัง	nʉ̀ai jang		I’m so tired.		
124	4	7	ง่วงแล้ว	ngûang lɛ́ɛo		I’m sleepy.		
125	5	7	ผมเมามาก	pom mao mâak		I’m really drunk.		
126	6	7	น่าอิจฉาจัง	nâa-ìt-chǎa jang		I’m so jealous/envious!		
127	7	7	เปลี่ยนใจแล้ว	bplìan-jai lɛ́ɛo		I changed my mind. / I’ve changed my mind.		
128	8	7	คิดถึงจังเลย	kít-tʉ̌ng jang ləəi		I really miss you. / I really miss her.		
129	9	7	เที่ยวให้สนุก	tîao-hâi sà-nùk		Have a good trip. / Enjoy your trip.		
130	10	7	รอด้วย	rɔɔ dûai		Wait. / Wait for me. / Wait up.		
131	11	7	สุขสันต์วันเกิด(นะคะ)	sùk-sǎn wan-gə̀ət (ná ká)		Happy Birthday!		
132	12	7	เชิญนั่ง(ก่อน)(ครับ)	chəən nâng (gɔ̀ɔn) (kráp)		Have a seat.		
133	13	7	(มัน)อันตรายมาก	man an-dtà-raai mâak		(It)’s very dangerous.		
134	14	7	อย่าทิ้งฉัน	yàa tíng chǎn		Don’t leave me! / Don’t throw me away!		
135	15	7	เรียบร้อยแล้ว	rîap-rɔ́ɔi lɛ́ɛo		It’s all done. / I’m finished.		
136	16	7	มันซับซ้อน	man sáp-sɔ́ɔn		It’s complicated.		
137	17	7	ไม่มีอะไรเกิดขึ้น	mâi mii à-rai gə̀ət-kʉ̂n		Nothing happened.		
138	18	7	(ก็)คิดอยู่	(gɔ̂ɔ) kít-yùu		I’m thinking about it.		
139	19	7	(ฉัน)ดูไม่ออก	(chǎn) duu mâi-ɔ̀ɔk		I can’t tell. / I can’t make out who it is. / I can’t make it out.		
140	20	7	ไม่เคยเจอกัน	mâi kəəi jəə-gan		We’ve never met (before). / I’ve never met her (before).		
141	1	8	เป็นอะไร	bpen à-rai		Are you okay? / What’s wrong? / What’s going on?		
142	2	8	มีใครไปบ้าง	mii krai bpai bâang		Who’s going?		
143	3	8	บอกว่าอะไร(คะ/ครับ)	bɔ̀ɔk wâa à-rai (ká/kráp)		What did he say?		
144	4	8	พูดถึงอะไร	pûut-tʉ̌ng à-rai		What are you talking about?		
145	5	8	คิดอะไรอยู่	kít à-rai yùu		What are you thinking? / What are you thinking about?		
146	6	8	ไปเอามาจากไหน	bpai ao maa jàak nǎi		Where did you get it/that?		
147	7	8	ทำอะไรอยู่ / ทำอะไรอ่ะ	tam à-rai yùu / tam à-rai à	INFORMAL	What are you doing?		
148	8	8	ช่วยหน่อย	chûai nɔ̀i	INFORMAL	Help me. / Can you help me?		
149	9	8	ว่ายังไงบ้างครับ	(wâa yang-ngai bâang kráp)		What did she say?		
150	10	8	กลัวอะไร	glua à-rai		What are you afraid of?		
151	11	8	จำไม่ได้หรือ	jam mâi-dâi rə̌ə		You don’t remember? / Don’t you remember?		
152	12	8	นานแค่ไหนแล้วที่	... (naan kɛ̂ɛ-nǎi lɛ́ɛo tîi...)		How long (has it been since)… ?		
153	13	8	ใครจะไปรู้	krai jà bpai rúu		Who knows? / It’s anyone’s guess. / You never know.		
154	14	8	จะซื้ออะไรให้ดี	jà sʉ́ʉ à-rai hâi dii		What should I get (him)? (for example: for his birthday)		
155	15	8	(…) จะว่ายังไง (…)	jà wâa yang-ngai		What would (…) say/think? What do (you) say? //What do (you) have to say to that? / What do (you) think?		
156	16	8	เอาอย่างนี้/งี้	ao yàang níi/ngíi		How about this…? / I tell you what… / Okay, then… (giving suggestion)		
157	17	8	เคยไปหรือ	kəəi bpai rə̌ə		Oh, have you been (there) before? / Oh, you’ve been there before?		
158	18	8	ดีขึ้นไหม	dii-kʉ̂n mǎi		Are you better now? / Is it better now?		
159	19	8	มันผิดตรงไหน	man pìt dtrong-nǎi		What’s wrong with that/it?		
160	20	8	เขาทำอะไรคุณ	kao tam à-rai kun		What did (she) do to you?		
161	1	9	น่าเสียดาย	nâa-sǐa-daai		That’s too bad. / What a pity. / What a shame.		
162	2	9	ฉันเป็นห่วงเธอ	chǎn bpen hùang təə		I’m worried about you.		
163	3	9	บังเอิญจริงๆ	bang-əən jing-jing		What a coincidence!		
164	4	9	ถ้าไม่รังเกียจ	... (tâa mâi rang-gìat…)		If you don’t mind… / If it’s okay with you…		
165	5	9	มาช้าดีกว่าไม่มา	* (maa cháa dii gwàa mâi maa)		Better late than never.		
166	6	9	เอาเป็นว่า	... (ao bpen wâa...)		(Used when concluding something): Well/Okay/Then… / …then. / Okay, let’s do it this way… / It turns out/In the end… / Let’s just say…		
167	7	9	สุขสันต์วันเกิดย้อนหลัง	sùk-sǎn wan-gə̀ət yɔ́ɔn-lǎng		Happy Belated Birthday!	- ย้อนหลัง (yɔ́ɔn-lǎng) means in retrospect.	
168	8	9	ยังหาไม่ได้เลย	yang hǎa mâi dâi ləəi		I still can’t find one. / I still can’t find it.		
169	9	9	ตอนแรกไม่เชื่อ	dtɔɔn-rɛ̂ɛk mâi-chʉ̂a		At first, I didn’t believe it.		
170	10	9	นึกแล้วเชียว	nʉ́k lɛ́ɛo chiao		I knew it! / I thought so! / Just as I thought!	- เชียว (chiao) is an intensifier used for emphasis here.	
171	11	9	ผมก็ไม่ว่า(อะไร)	pǒm gɔ̂ɔ mâi-wâa (à-rai)		It’s fine with me. / Feel free. / I don’t mind. (If you do it…)		
172	12	9	ไปกันเถอะ	bpai gan təə		Let’s go.		
173	13	9	บอกตามตรง	... (bɔ̀ɔk dtaam-dtrong)		To be honest… / I’ll be honest with you… / Honestly…		
174	14	9	ผมไม่ใช่คนโง่	pǒm mâi-châi kon-ngôo		I’m not stupid! / I’m not a fool!		
175	15	9	ต้องจองล่วงหน้า	dtɔ̂ng jɔɔng lǔang-nâa		You have to make advance reservations. / You need to reserve/book (it) in advance.		
176	16	9	ก็ดีเหมือนกัน	gɔ̂ɔ dii mʉ̌an-gan		Fine. / Okay. / (That) sounds good. (I like that idea.)		
177	17	9	ไม่ว่ายังไง	... (b)		No matter what… / No matter what happens…		
178	18	9	คงไม่หรอก	kong mâi rɔ̀ɔk		It’s not likely. / I don’t think so. / Probably not.		
179	19	9	(พี่)คิดมาก	(pîi) kít-mâak		Don’t think about it so much—relax. / You’re overthinking things/it.		
180	20	9	เขาไม่รู้ด้วยซ้ำว่า	... (kǎo mâi rúu dûai-sám wâa...)		He doesn’t even know (that)…		
181	1	10	ความจริงก็คือ	... (kwaam-jing gɔ̂ɔ kʉʉ…)		The truth is…		
182	2	10	ฉันรู้แล้ว(ค่ะ)	chǎn rúu lɛ́ɛo (kà)		I know (already).		
183	3	10	(มัน)สุดๆไปเลย	(man) sùt-sùt bpai ləəi		This is totally awesome! / Splendid!		
184	4	10	ฉันเกือบตาย	chǎn gʉ̀ap dtaai		I almost died.		
185	5	10	ไม่ได้สังเกตว่า	... (mâi-dâi sǎng-gèet wâa…)		I didn’t notice…		
186	6	10	ยังไม่ได้บอกเลยว่า	... (yang mâi-dâi bɔ̀ɔk ləəi wâa...)		You haven’t told me yet… / You still haven’t told me… //I haven’t told you yet… / I still haven’t told you…		
187	7	10	ไม่ค่อยไว้ใจ(เขา)	mâi kɔ̂i wái-jai (kǎo)		I don’t (really) trust (him). / I don’t trust (him) so much.		
188	8	10	ไม่มีอะไรน่าสนใจหรอก	mâi mii à-rai nâa-sǒn-jai rɔ̀ɔk		It’s nothing special. / There’s nothing of interest (there). / There’s nothing to see.		
189	9	10	ไม่เอา(น่า/นะ)	mâi ao (nâa/ná)		Don’t. / I don’t want it. / Come on!		
190	10	10	เดี๋ยวใครเห็นเข้า	dǐao krai hěn kâo		Careful/watch out— someone will see us!		
191	11	10	ผมถึงได้บอก(ไง)ว่า	... (chǎn tʉ̌ng dâi bɔ̀ɔk (ngai) wâa...)		That’s why I said/told you…		
192	12	10	ไม่รู้จะทำยังไงแล้ว	mâi rúu jà tam yang-ngai lɛ́ɛo		I don’t know what (else) to do! / I don’t even know what to do.		
193	13	10	เขาเคยเล่าว่า	... (kǎo kəəi lâo wâa)		He once told me… / He told me before that…		
194	14	10	ถ้าจำไม่ผิด	... (tâa jam mâi pìt...)		If I’m not mistaken… / If I recall correctly… / If my memory serves me well…		
195	15	10	(ไป)นอนก่อน(นะ)	(bpai) nɔɔn gɔ̀ɔn (ná)		I’m going to bed.		
196	16	10	เตือนแล้วนะ(ครับ)ว่า	... dtʉan lɛ́ɛo ná (kráp) wâa...		I warned you (that)…		
197	17	10	ปกติฉันตื่น(เจ็ด)โมงเช้า	bpòk-gà-dtì chǎn dtʉ̀ʉn (jèt) moong cháao		I usually get up at (7:00).		
198	18	10	กินไม่ลง/ทานไม่ลง	gin mâi long/ taan mâi long		I (just) can’t eat this.		
199	19	10	อ่านไม่รู้เรื่อง	àan mâi-rúu-rʉ̂ang		I can’t understand this at all. / I can’t read it.		
200	20	10	ฉันไม่รู้เรื่อง	chǎn mâi-rúu-rʉ̂ang		I don’t know anything about it!		
201	1	11	ลืมอะไรเหรอ	lʉʉm à-rai rə̌ə		Did you forget something?		
202	2	11	ลืมบอก(ไป)ว่า	... lʉʉm bɔ̀ɔk (bpai) wâa...		I forgot to tell you…		
203	3	11	ผมจะไม่มีวันลืม	pǒm jà mâi mii wan lʉʉm		I will never forget! / I’ll always remember!		
204	4	11	จริงเหรอ	jing rə̌ə		Really?/ Seriously?		
205	5	11	นี่คุณเมาหรือเปล่า	nîi kun mao rʉ̌ʉ-bplàao		Are you drunk?		
206	6	11	ไม่ไหวแล้ว	mâi-wǎi lɛ́ɛo		I can’t take it anymore! / I can’t stand this anymore! / I can’t do this anymore!		
207	7	11	ใจเย็นๆ	jai yen-yen		Relax. / Calm Down. / Take it easy.		
208	8	11	ทำไปได้ยังไง	tam bpai dâi yang-ngai		How could you do that?!		
209	9	11	ผมคิดว่า	... (pǒm kít wâa...)		I think…		
210	10	11	ผมว่า	... (pǒm wâa...)		INFORMAL I think…		
211	11	11	มันไม่ง่าย	man mâi ngâai		It’s not easy. / It won’t be easy.		
212	12	11	อย่าเข้ามานะ	yàa kâo maa ná		Don’t come any closer. / Don’t come in here.		
213	13	11	ไปให้พ้น	bpai hâi pón		Get lost. / Get out of here. / Go away!		
214	14	11	โกรธเหรอ	gròot rə̌ə		Are you angry?		
215	15	11	จะพยายาม	jà pá-yaa-yaam		I’ll try.		
216	16	11	ช่วยด้วย	chûai-dûai		Help me! / Help!		
217	17	11	แน่ใจนะว่า	... (nɛ̂ɛ-jai ná wâa...)		Are you sure (that)…?		
218	18	11	ผมไม่รู้ / ผมไม่ทราบ	pǒm mâi rúu / pǒm mâi sâap		I don’t know. [	ทราบ ( sâap) is more formal]	
219	19	11	อย่ามอง	yàa mɔɔng		Don’t look.		
220	20	11	ไม่เกี่ยวกับคุณ	mâi gìao gàp kun		It’s none of your business. / It’s not about you. / It’s no concern of yours.		
221	1	12	ไม่ต้องกลัว	mâi dtɔ̂ng glua		No need to be afraid. / Don’t worry. / Don’t be scared.		
222	2	12	อย่าลืมวันเกิดผม	yàa lʉʉm wan-gə̀ət pǒm		Don’t forget my birthday.		
223	3	12	ฉันจำวันเกิดของคุณได้	chǎn jam wan-gə̀ət kɔ̌ɔng kun dâi		I remember when your birthday is. / I can remember when your birthday is.		
224	4	12	หมดอายุแล้ว	mòt aa-yú lɛ́ɛo		It’s expired. / It’s reached its expiration date.		
225	5	12	เข้มงวดมาก	kêm-ngûat mâak		She’s so strict! / It’s very strict.		
226	6	12	พูดอะไรอย่างงั้น	pûut à-rai yàang-ngán	INFORMAL	What are you talking about?! (Are you kidding?!)		
227	7	12	(มัน)ไม่จริง(หรอก)	man) mâi jing (rɔ̀ɔk		That’s not true (at all).		
228	8	12	ไม่เคยมาที่นี่	mâi kəəi maa tîi-nîi		I’ve never been here (before).		
229	9	12	เคยได้ยินมา	kəəi dâi-yin maa		I’ve heard it before.		
230	10	12	ทำอาหารไม่เป็น(เลย)	tam-aa-hǎan mâi-bpen (ləəi)		I can’t cook (at all).		
231	11	12	ทำอะไรไม่ได้	tam à-rai mâi-dâi		(I) can’t do anything. / There’s nothing I can do.		
232	12	12	ไม่รู้ว่าทำไม	mâi rúu wâa tam-mai		I don’t know why.		
233	13	12	ไม่เข้าใจว่าทำไม	mâi kâo-jai wâa tam-mai		I don’t understand why.		
234	14	12	บอกตามตรง	... (bɔ̀ɔk dtaam-dtrong)		To be honest… / I’ll be honest with you… / Honestly…		
235	15	12	ดีใจที่ได้คุยกัน	dii-jai tîi dâi kui-gan		Nice talking to you. / It was nice talking with you.		
236	16	12	ดีใจที่ได้พบกัน	dii-jai tîi dâi pop-gan		It was nice meeting you.		
237	17	12	ดึกแล้ว	dʉ̀k lɛ́ɛo		It’s (getting) late. / It’s really late.		
238	18	12	หยุดเดี๋ยวนี้	yùt dǐao-níi		Stop it! / Stop!		
239	19	12	แปลว่าอะไร(คะ)	bplɛ̀ɛ wâa à-rai (ká)		What does (it) mean? / What does (this) mean?		
240	20	12	แปลว่า	... (bplɛ̀ɛ wâa…)		That/it means…		
241	1	13	แยกไม่ออก	yɛ̂ɛk-mâi-ɔ̀ɔk		I can’t tell them apart. / I can’t see the difference (between them).		
242	2	13	แทบไม่เชื่อสายตา	tɛ̂ɛp mâi-chʉ̂a sǎai-dtaa		I could hardly believe my eyes!		
243	3	13	ยินดีช่วยเหลือ	yin-dii chûai-lʉ̌a		Happy to help. / Glad to be of assistance.		
244	4	13	จะอยู่ได้ยังไงถ้าไม่มีเขา	jà yùu dâi yang-ngai tâa mâi mii kǎo		How will I live/survive without him?		
245	5	13	ช่วยเซ็น(ชื่อ)ตรงนี้หน่อย(ครับ/ค่ะ)	chûai sen (chʉ̂ʉ) dtrong-níi nɔ̀i (kráp/kà)		Please sign here.		
246	6	13	พอกันที	pɔɔ-gan tii		(That’s) enough! / I’ve had enough!		
247	7	13	น่าสมเพชจริงๆ	nâa-sǒm-pêet jing-jing	SEMI-LITERARY	How pathetic! / How pitiful!		
248	8	13	ไม่เป็นอะไรหรอก	mâi bpen-à-rai rɔ̀ɔk		She’ll be okay. / Nothing’s going to happen to her. / It’ll be alright.		
