source	line	word
indonesia-news-sample.txt	47	mengatakan
indonesia-news-sample.txt	48	mendengar
indonesia-news-sample.txt	48	mereka
indonesia-news-sample.txt	50	mengatakan
indonesia-news-sample.txt	51	meningkat
indonesia-news-sample.txt	52	mengecam
indonesia-news-sample.txt	55	melawan
indonesia-news-sample.txt	57	menjadi
indonesia-news-sample.txt	59	memperkirakan
indonesia-news-sample.txt	60	menampung
indonesia-news-sample.txt	60	mengungsi
indonesia-news-sample.txt	61	Menteri
indonesia-news-sample.txt	61	mengatakan
indonesia-news-sample.txt	65	menghubungi
indonesia-news-sample.txt	65	Menteri
indonesia-news-sample.txt	65	Menteri
indonesia-news-sample.txt	69	memperlihatkan
indonesia-news-sample.txt	73	mengatakan
indonesia-news-sample.txt	74	membunuh
indonesia-news-sample.txt	75	mengambil
indonesia-news-sample.txt	77	Melahirkan
indonesia-news-sample.txt	77	Mengerikan
indonesia-news-sample.txt	78	Medis
sample-article.txt	8	mengumumkan
sample-article.txt	15	menyiksa
sample-article.txt	17	membawa
sample-article.txt	19	mengepung
sample-article.txt	20	mengumpulkan
sample-article.txt	20	memaksa
sample-article.txt	20	mereka
sample-article.txt	21	mereka
sample-article.txt	23	mereka
sample-article.txt	23	menyelamatkan
sample-article.txt	26	menjebol
sample-article.txt	26	memakai
sample-article.txt	27	mereka
sample-article.txt	31	Mereka
sample-article.txt	32	Mereka
sample-article.txt	32	mengikat
sample-article.txt	32	memukuli
sample-article.txt	32	membawa
sample-article.txt	36	mengaku
sample-article.txt	36	Mereka
sample-article.txt	40	mereka
sample-article.txt	46	Menteri
sample-article.txt	46	menyangkal
sample-article.txt	47	membantah
sample-article.txt	47	mengatakan
sample-article.txt	48	mendengar
sample-article.txt	48	mereka
sample-article.txt	50	mengatakan
sample-article.txt	51	meningkat
sample-article.txt	52	mengecam
sample-article.txt	55	melawan
sample-article.txt	57	menjadi
sample-article.txt	59	memperkirakan
sample-article.txt	60	menampung
sample-article.txt	60	mengungsi
sample-article.txt	61	Menteri
sample-article.txt	61	mengatakan
sample-article.txt	65	menghubungi
sample-article.txt	65	Menteri
sample-article.txt	65	Menteri
sample-article.txt	69	memperlihatkan
sample-article.txt	73	mengatakan
sample-article.txt	74	membunuh
sample-article.txt	75	mengambil
sample-trans.txt	1	Menyelamatkan
sample-trans.txt	3	Mei
sample-trans.txt	4	Menyelamatkan
sample-trans.txt	5	menggendong
sample-trans.txt	8	Merdeka
sample-trans.txt	8	mengumumkan
sample-trans.txt	10	mengatakan
sample-trans.txt	13	mengatakan
sample-trans.txt	14	menyerbu
sample-trans.txt	15	memukuli
sample-trans.txt	15	menyiksa
sample-trans.txt	16	membunuh
sample-trans.txt	17	mengungkapkan
sample-trans.txt	17	membawa
sample-trans.txt	19	Menurut
sample-trans.txt	19	mengepung
sample-trans.txt	20	mereka
sample-trans.txt	20	mengumpulkan
sample-trans.txt	20	memaksa
sample-trans.txt	20	mereka
sample-trans.txt	21	membawa
sample-trans.txt	21	mereka
sample-trans.txt	22	menyerbu
sample-trans.txt	23	mendengar
sample-trans.txt	23	mereka
sample-trans.txt	23	menyelamatkan
sample-trans.txt	26	Mereka
sample-trans.txt	26	menjebol
sample-trans.txt	26	memakai
sample-trans.txt	27	menodongkan
sample-trans.txt	27	mereka
sample-trans.txt	30	mengatakan
sample-trans.txt	31	mereka
sample-trans.txt	31	Mereka
sample-trans.txt	32	mengapa
sample-trans.txt	32	Mereka
sample-trans.txt	32	mengikat
sample-trans.txt	32	memukuli
sample-trans.txt	32	membawa
sample-trans.txt	36	mereka
sample-trans.txt	36	mengaku
sample-trans.txt	36	Mereka
sample-trans.txt	37	mengatakan
sample-trans.txt	38	menjadi
sample-trans.txt	40	menggambarkan
sample-trans.txt	40	mereka
sample-trans.txt	46	Menteri
sample-trans.txt	46	menyangkal
sample-trans.txt	47	membantah
sample-trans.txt	47	mengatakan
sample-trans.txt	48	mendengar
sample-trans.txt	48	mereka
sample-trans.txt	50	mengatakan
sample-trans.txt	51	meningkat
sample-trans.txt	52	mengecam
sample-trans.txt	55	melawan
sample-trans.txt	57	menjadi
sample-trans.txt	59	memperkirakan
sample-trans.txt	60	menampung
sample-trans.txt	60	mengungsi
sample-trans.txt	61	Menteri
sample-trans.txt	61	mengatakan
sample-trans.txt	65	menghubungi
sample-trans.txt	65	Menteri
sample-trans.txt	65	Menteri
sample-trans.txt	69	memperlihatkan
sample-trans.txt	73	mengatakan
sample-trans.txt	74	membunuh
sample-trans.txt	75	mengambil
trial	2	Menyelamatkan
trial	3	Mei
trial	4	Menyelamatkan
trial	5	menggendong
trial	6	Merdeka
trial	7	mengatakan
trial	8	mengatakan
trial	9	menyerbu
trial	10	memukuli
trial	11	membunuh
trial	12	mengungkapkan
trial	13	Menurut
trial	14	mereka
trial	15	membawa
trial	16	menyerbu
trial	17	mendengar
trial	18	Mereka
trial	19	menodongkan
trial	20	mengatakan
trial	21	mereka
trial	22	mengapa
trial	23	mereka
trial	24	mengatakan
trial	25	menjadi
trial	26	menggambarkan
trial	27	Menteri
trial	28	membantah
trial	29	mendengar
trial	30	mengatakan
trial	31	meningkat
trial	32	mengecam
trial	33	melawan
trial	34	menjadi
trial	35	memperkirakan
trial	36	menampung
trial	37	Menteri
trial	38	menghubungi
trial	39	memperlihatkan
trial	40	mengatakan
trial	41	membunuh
trial	42	mengambil
trial	43	Melahirkan
trial	44	Medis
indo-news2-backup.txt	4	melakukan
indo-news2-backup.txt	17	memasang
indo-news2-backup.txt	18	menikmati
indo-news2-backup.txt	23	mengatakan
indo-news2-backup.txt	26	membaca
indo-news2.txt	5	melakukan
indo-news2.txt	18	memasang
indo-news2.txt	19	menikmati
indo-news2.txt	24	mengatakan
indo-news2.txt	27	membaca
