         /Barat. Menteri Luar Negeri   AS Antony Blinken mengatakan/
     /pasukan pemerintah dan tentara   Eritrea serta milisi Amhara.
          /beserta sekutunya tentara   Eritrea dan milis Amhara adalah "/
    /Ethiopia dan Menteri Penerangan   Eritrea namun belum ada balasan.
       /!" Seorang perempuan Tigray,   Ethiopia, menggendong anaknya. ©/
    /larangan visa bagi para pejabat   Ethiopia dan Eritrea, saksi mata/
      /CNN tentang bagaimana tentara   Ethiopia dan Eritrea menyerbu/
           /warga Tigray. Konflik di   Ethiopia ini diyakini sudah/
       -jam oleh tentara Eritrea dan   Ethiopia.           /dipukuli berjam
   HAM/    /yang terus meningkat" di   Ethiopia dan mengecam "pelanggaran
        /Pasukan Pertahanan Nasional   Ethiopia, tentara Eritrea dan/
       /dilakukan pasukan pemerintah   Ethiopia beserta sekutunya tentara/
             /kantor Perdana Menteri   Ethiopia dan Menteri Penerangan/
    /UNHCR. Dalam satu video tentara   Ethiopia terlihat sedang berbicara/
          /Penerangan Eritrea Yemene   Ghebremeskel menyangkal laporan/
      /anak muda terus ditangkapi di   Guna, pusat distribusi bantuan/
   di/    /dan mengecam "pelanggaran   HAM dalam skala besar yang terjadi
            Presiden Amerika Serikat   Joe Biden dalam pernyataannya Rabu/
          Amerika akan Menyelamatkan   Kalian Sekarang!"      /Lihat Apakah
          Amerika akan Menyelamatkan   Kalian Sekarang!" Seorang/   /Apakah
       /terus percaya omongan saksi.   Kami sering mendengar cerita/
     /itu diberitahu oleh tentara: "   Kami bisa membunuh kalian di sini/
        saksi, seperti dilansir CNN,   Kamis (27/5).       /," kata seorang
   ada orang yang lebih tua/       "   Kebanyakan kami masih muda tapi
         /berada di pinggiran Shire.   Ketika tentara menyerbu sekolah/
   Menyelamatkan Kalian/           "   Kita Lihat Apakah Amerika akan
      Reporter : Pandasurya Wijaya "   Kita Lihat Apakah Amerika akan/   /5
      /mendengar mereka berteriak, "   Kita lihat apakah Amerika akan/
         /dan menyiksa warga Tigray.   Konflik di Ethiopia ini diyakini/
   berlangsung selama 200 hari/        Konflik di Tigray kini sudah
    /dari sejumlah kamp pengungsi di   Kota Shire, Tigray pada Senin/
          /kemanusiaan memperkirakan   Kota Shire kini semakin padat/
   Kota Shire kini semakin/            Lembaga kemanusiaan memperkirakan
   Menyelamatkan Kalian/       "Kita   Lihat Apakah Amerika akan
          /: Pandasurya Wijaya "Kita   Lihat Apakah Amerika akan/
          /di wilayah Barat. Menteri   Luar Negeri AS Antony Blinken/
   Pandasurya Wijaya/      Sabtu, 29   Mei 2021 07:35 Reporter :
   Ghebremeskel menyangkal/            Menteri Penerangan Eritrea Yemene
      /pertempuran di wilayah Barat.   Menteri Luar Negeri AS Antony/
         /menghubungi kantor Perdana   Menteri Ethiopia dan Menteri/
       /Perdana Menteri Ethiopia dan   Menteri Penerangan Eritrea namun/
   kendaraan militer mengepung/        Menurut penuturan saksi, empat
     "Kita Lihat Apakah Amerika akan   Menyelamatkan Kalian Sekarang!"
    /"Kita Lihat Apakah Amerika akan   Menyelamatkan Kalian Sekarang!"/
         /Nureldin Abdallah/ Reuters   Merdeka.com - Beberapa hari/
   itu bahkan belum sempat/        "   Mereka menjebol pintu, orang-orang
           /pukul 21.30 malam itu. "   Mereka tidak bilang mengapa anak/
          /mengapa anak saya dibawa.   Mereka mengikat anak saya,/
       /sebagai pekerja kemanusiaan.   Mereka mengatakan ratusan anak/
          /, menggendong anaknya. ©   Mohamed Nureldin Abdallah/ Reuters/
       /) melawan Pasukan Pertahanan   Nasional Ethiopia, tentara Eritrea/
     /di wilayah Barat. Menteri Luar   Negeri AS Antony Blinken/
           /ribuan warga sipil sejak   November tahun lalu. Saksi/
      menggendong anaknya. ©Mohamed   Nureldin Abdallah/ Reuters/       /,
           /yang berkumpul di kantor   PBB Urusan pengungsi, UNHCR. Dalam/
        /kalian di sini sekarang dan   PBB tidak bisa berbuat apa-apa/
     /, 29 Mei 2021 07:35 Reporter :   Pandasurya Wijaya "Kita Lihat/
       /Rakyat Tigray (TPLF) melawan   Pasukan Pertahanan Nasional/
           /selama 200 hari. Barisan   Pembebasan Rakyat Tigray (TPLF)/
   Ghebremeskel/             Menteri   Penerangan Eritrea Yemene
       /Menteri Ethiopia dan Menteri   Penerangan Eritrea namun belum ada/
        CNN sudah menghubungi kantor   Perdana Menteri Ethiopia dan/
      /Tigray (TPLF) melawan Pasukan   Pertahanan Nasional Ethiopia,/
   dalam pernyataannya Rabu/           Presiden Amerika Serikat Joe Biden
      /Joe Biden dalam pernyataannya   Rabu lalu mengatakan dia "sangat/
       /200 hari. Barisan Pembebasan   Rakyat Tigray (TPLF) melawan/
            Sabtu, 29 Mei 2021 07:35   Reporter : Pandasurya Wijaya "Kita/
     /. ©Mohamed Nureldin Abdallah/   Reuters  Merdeka.com - Beberapa/
   : Pandasurya Wijaya "Kita/          Sabtu, 29 Mei 2021 07:35 Reporter
   identitasnya mengatakan/            Saksi yang enggan diketahui
         /sejak November tahun lalu.   Saksi mengungkapkan tentara/
           /CNN dengan mengatakan, "   Sampai kapan Anda akan terus/
      /dan milisi dari etnis Amhara.   Sejak dimulainya konflik, warga/
   dikumpulkan kemudian/               Sejumlah pemuda yang sempat
           akan Menyelamatkan Kalian   Sekarang!"     /Lihat Apakah Amerika
          /akan Menyelamatkan Kalian   Sekarang!" Seorang perempuan/
          /dibebaskan pada sore hari   Selasa lalu setelah mereka mengaku/
       /video yang diterima CNN pada   Selasa pagi, gambar yang direkam/
          di Kota Shire, Tigray pada   Senin malam.         /kamp pengungsi
    /Menyelamatkan Kalian Sekarang!"   Seorang perempuan Tigray, Ethiopia/
   putranya--berusia 19 dan 24/        Seorang perempuan mengatakan dua
   bagimana mereka dipukuli/           Seorang pemuda menggambarkan
     - Beberapa hari setelah Amerika   Serikat mengumumkan sanksi/    /.com
                    Presiden Amerika   Serikat Joe Biden dalam/
    /sejumlah kamp pengungsi di Kota   Shire, Tigray pada Senin malam.
       /diyakini berada di pinggiran   Shire. Ketika tentara menyerbu/
     /kemanusiaan memperkirakan Kota   Shire kini semakin padat karena/
   namun sejumlah saksi/               Suara di video itu kurang jelas
         /Pembebasan Rakyat Tigray (   TPLF) melawan Pasukan Pertahanan/
   ke arah mereka," kata/              Tentara sudah menodongkan senapan
       /Sekarang!" Seorang perempuan   Tigray, Ethiopia, menggendong/
      /kamp pengungsi di Kota Shire,   Tigray pada Senin malam.
        /memukuli dan menyiksa warga   Tigray. Konflik di Ethiopia ini/
         skala besar yang terjadi di   Tigray."                  /HAM dalam
   selama 200 hari./      Konflik di   Tigray kini sudah berlangsung
     hari. Barisan Pembebasan Rakyat   Tigray (TPLF) melawan Pasukan/   /00
    /menampung sekitar 800.000 warga   Tigray yang mengungsi karena/
         pengungsian Adi Wenfito dan   Tsehay kemudian mereka/        /kamp
    /di kantor PBB Urusan pengungsi,   UNHCR. Dalam satu video tentara/
       /yang berkumpul di kantor PBB   Urusan pengungsi, UNHCR. Dalam/
     /mengepung kamp pengungsian Adi   Wenfito dan Tsehay kemudian mereka/
    /021 07:35 Reporter : Pandasurya   Wijaya "Kita Lihat Apakah Amerika/
          Menteri Penerangan Eritrea   Yemene Ghebremeskel menyangkal/
     Kebanyakan kami masih muda tapi   ada orang yang lebih tua yang/     "
      Penerangan Eritrea namun belum   ada balasan.            /dan Menteri
           /Eritrea dan milis Amhara   adalah "pembersihan etnis".
   !/     "Kita Lihat Apakah Amerika   akan Menyelamatkan Kalian Sekarang
   !/    /"Kita Lihat Apakah Amerika   akan Menyelamatkan Kalian Sekarang
       /, "Kita lihat apakah Amerika   akan menyelamatkan kalian sekarang/
     /mengatakan, "Sampai kapan Anda   akan terus percaya omongan saksi./
     /. "Mereka tidak bilang mengapa   anak saya dibawa. Mereka mengikat/
       /saya dibawa. Mereka mengikat   anak saya, memukuli dan membawa/
        /. Mereka mengatakan ratusan   anak muda terus ditangkapi di Guna/
      /Tigray, Ethiopia, menggendong   anaknya. ©Mohamed Nureldin/
         /dan PBB tidak bisa berbuat   apa-apa selain mengambil foto/
    /dan PBB tidak bisa berbuat apa-   apa selain mengambil foto kalian."/
      /mereka berteriak, "Kita lihat   apakah Amerika akan menyelamatkan/
       /sudah menodongkan senapan ke   arah mereka," kata seorang saksi,/
      /mengatakan kepada CNN tentang   bagaimana tentara Ethiopia dan/
        /finansial dan larangan visa   bagi para pejabat Ethiopia dan/
        Seorang pemuda menggambarkan   bagimana mereka dipukuli berjam-/
    /menjebol pintu, orang-orang itu   bahkan belum sempat memakai sepatu/
             Eritrea namun belum ada   balasan.     /dan Menteri Penerangan
          /di Guna, pusat distribusi   bantuan kemanusiaan yang kini/
      /pintu, orang-orang itu bahkan   belum sempat memakai sepatu.
            Penerangan Eritrea namun   belum ada balasan.      /dan Menteri
     /ke sebuah lokasi yang diyakini   berada di pinggiran Shire. Ketika/
           /Ethiopia terlihat sedang   berbicara di depan para orangtua.
        /sekarang dan PBB tidak bisa   berbuat apa-apa selain mengambil/
   dan/    /bagimana mereka dipukuli   berjam-jam oleh tentara Eritrea
             /sejumlah orangtua yang   berkumpul di kantor PBB Urusan/
        Konflik di Tigray kini sudah   berlangsung selama 200 hari./
           /, saksi mendengar mereka   berteriak, "Kita lihat apakah/
          /mengatakan dua putranya--   berusia 19 dan 24 tahun--dibawa/
       /"pelanggaran HAM dalam skala   besar yang terjadi di Tigray."
        /pasukan pemerintah Ethiopia   beserta sekutunya tentara Eritrea/
     /21.30 malam itu. "Mereka tidak   bilang mengapa anak saya dibawa./
      diberitahu oleh tentara: "Kami   bisa membunuh kalian di sini/   /itu
     /di sini sekarang dan PBB tidak   bisa berbuat apa-apa selain/
      . Kami sering mendengar cerita   bohong dari mereka."          /saksi
     /, memaksa mereka naik ke dalam   bus dan membawa mereka ke sebuah/
       /saksi. Kami sering mendengar   cerita bohong dari mereka."
        /Abdallah/ Reuters  Merdeka.   com - Beberapa hari setelah/
     /pemuda, memaksa mereka naik ke   dalam bus dan membawa mereka ke/
          /Amerika Serikat Joe Biden   dalam pernyataannya Rabu lalu/
      /dan mengecam "pelanggaran HAM   dalam skala besar yang terjadi di/
       /mengumumkan sanksi finansial   dan larangan visa bagi para/
    /visa bagi para pejabat Ethiopia   dan Eritrea, saksi mata mengatakan/
         /bagaimana tentara Ethiopia   dan Eritrea menyerbu sedikitnya/
      /pengungsian kemudian memukuli   dan menyiksa warga Tigray. Konflik/
       /kamp pengungsian Adi Wenfito   dan Tsehay kemudian mereka/
           /mereka naik ke dalam bus   dan membawa mereka ke sebuah/
           /dua putranya--berusia 19   dan 24 tahun--dibawa pergi dari/
       /mengikat anak saya, memukuli   dan membawa pergi," kata dia/
     berjam-jam oleh tentara Eritrea   dan Ethiopia.       /mereka dipukuli
     /menyangkal laporan semacam itu   dan membantah laporan CNN dengan/
       /terus meningkat" di Ethiopia   dan mengecam "pelanggaran HAM/
          /Ethiopia, tentara Eritrea   dan milisi dari etnis Amhara./
     /target dari pasukan pemerintah   dan tentara Eritrea serta milisi/
          /sekutunya tentara Eritrea   dan milis Amhara adalah "/
    /kantor Perdana Menteri Ethiopia   dan Menteri Penerangan Eritrea/
            /kalian di sini sekarang   dan PBB tidak bisa berbuat apa-apa/
    /CNN, ratusan pemuda dikumpulkan   dari sejumlah kamp pengungsi di/
         membawa pergi ratusan orang   dari pengungsian.           /tentara
      /19 dan 24 tahun--dibawa pergi   dari rumah mereka sekitar pukul 21/
      sering mendengar cerita bohong   dari mereka."           /saksi. Kami
       /, tentara Eritrea dan milisi   dari etnis Amhara. Sejak/
       /, warga sipil menjadi target   dari pasukan pemerintah dan/
      /itu dan membantah laporan CNN   dengan mengatakan, "Sampai kapan/
     mengatakan dia "sangat prihatin   dengan kekerasan yang terus/   /lalu
        terlihat sedang berbicara di   depan para orangtua.       /Ethiopia
       /dari sejumlah kamp pengungsi   di Kota Shire, Tigray pada Senin/
     /menyiksa warga Tigray. Konflik   di Ethiopia ini diyakini sudah/
        /lokasi yang diyakini berada   di pinggiran Shire. Ketika tentara/
         /anak muda terus ditangkapi   di Guna, pusat distribusi bantuan/
    /kekerasan yang terus meningkat"   di Ethiopia dan mengecam "/
      dalam skala besar yang terjadi   di Tigray."        /"pelanggaran HAM
   selama 200 hari./         Konflik   di Tigray kini sudah berlangsung
       /mengungsi karena pertempuran   di wilayah Barat. Menteri Luar/
            /orangtua yang berkumpul   di kantor PBB Urusan pengungsi,/
           terlihat sedang berbicara   di depan para orangtua.    /Ethiopia
   sejumlah saksi/             Suara   di video itu kurang jelas namun
       /: "Kami bisa membunuh kalian   di sini sekarang dan PBB tidak/
            dan membawa pergi," kata   dia kepada CNN.      /saya, memukuli
      kuat dipukuli lama-lama," kata   dia.                 /tua yang tidak
               /Rabu lalu mengatakan   dia "sangat prihatin dengan/
          /pagi, gambar yang direkam   diam-diam itu memperlihatkan/
    /pagi, gambar yang direkam diam-   diam itu memperlihatkan sejumlah/
        /--berusia 19 dan 24 tahun--   dibawa pergi dari rumah mereka/
     /tidak bilang mengapa anak saya   dibawa. Mereka mengikat anak saya,/
        /sempat dikumpulkan kemudian   dibebaskan pada sore hari Selasa/
       /mengatakan para orangtua itu   diberitahu oleh tentara: "Kami/
      /tentara menyerbu sekolah yang   dijadikan pengungsian, saksi/
   kepada CNN/     Saksi yang enggan   diketahui identitasnya mengatakan
         /kepada CNN, ratusan pemuda   dikumpulkan dari sejumlah kamp/
         Sejumlah pemuda yang sempat   dikumpulkan kemudian dibebaskan/
          /mengatakan kekerasan yang   dilakukan pasukan pemerintah/
     /," kata seorang saksi, seperti   dilansir CNN, Kamis (27/5).
    /milisi dari etnis Amhara. Sejak   dimulainya konflik, warga sipil/
      /menggambarkan bagimana mereka   dipukuli berjam-jam oleh tentara/
     /yang lebih tua yang tidak kuat   dipukuli lama-lama," kata dia.
       pada Selasa pagi, gambar yang   direkam diam-diam itu/          /CNN
    /terus ditangkapi di Guna, pusat   distribusi bantuan kemanusiaan/
            /ratusan anak muda terus   ditangkapi di Guna, pusat/
             Dalam sebuah video yang   diterima CNN pada Selasa pagi,/
    /Tigray. Konflik di Ethiopia ini   diyakini sudah membunuh ribuan/
       /mereka ke sebuah lokasi yang   diyakini berada di pinggiran Shire/
    /dan Eritrea menyerbu sedikitnya   dua pusat pengungsian kemudian/
        Seorang perempuan mengatakan   dua putranya--berusia 19 dan 24/
            Menurut penuturan saksi,   empat kendaraan militer mengepung/
   mengatakan kepada/     Saksi yang   enggan diketahui identitasnya
     tentara Eritrea dan milisi dari   etnis Amhara. Sejak dimulainya/   /,
          Amhara adalah "pembersihan   etnis".           /Eritrea dan milis
         /Serikat mengumumkan sanksi   finansial dan larangan visa bagi/
            apa-apa selain mengambil   foto kalian." [pan]    /bisa berbuat
     /diterima CNN pada Selasa pagi,   gambar yang direkam diam-diam itu/
     Reuters  Merdeka.com - Beberapa   hari setelah Amerika Serikat/     //
      /kemudian dibebaskan pada sore   hari Selasa lalu setelah mereka/
       /sudah berlangsung selama 200   hari. Barisan Pembebasan Rakyat/
         Saksi yang enggan diketahui   identitasnya mengatakan kepada CNN/
        /Tigray. Konflik di Ethiopia   ini diyakini sudah membunuh ribuan/
        /menjebol pintu, orang-orang   itu bahkan belum sempat memakai/
          /sekitar pukul 21.30 malam   itu. "Mereka tidak bilang mengapa/
         /menyangkal laporan semacam   itu dan membantah laporan CNN/
     , gambar yang direkam diam-diam   itu memperlihatkan sejumlah/   /pagi
   saksi/             Suara di video   itu kurang jelas namun sejumlah
     /saksi mengatakan para orangtua   itu diberitahu oleh tentara: "Kami/
            /mereka dipukuli berjam-   jam oleh tentara Eritrea dan/
           Suara di video itu kurang   jelas namun sejumlah saksi/
          Amerika akan menyelamatkan   kalian sekarang!"      /lihat apakah
       /tentara: "Kami bisa membunuh   kalian di sini sekarang dan PBB/
       apa-apa selain mengambil foto   kalian." [pan]         /bisa berbuat
   yang lebih tua/       "Kebanyakan   kami masih muda tapi ada orang
          /dikumpulkan dari sejumlah   kamp pengungsi di Kota Shire,/
        /kendaraan militer mengepung   kamp pengungsian Adi Wenfito dan/
      yang kini sudah menjadi sebuah   kamp militer.           /kemanusiaan
   dan/        CNN sudah menghubungi   kantor Perdana Menteri Ethiopia
   ./    /orangtua yang berkumpul di   kantor PBB Urusan pengungsi, UNHCR
     /CNN dengan mengatakan, "Sampai   kapan Anda akan terus percaya/
      /Kota Shire kini semakin padat   karena menampung sekitar 800.000/
     000 warga Tigray yang mengungsi   karena pertempuran di wilayah/   /0.
           /senapan ke arah mereka,"   kata seorang saksi, seperti/
      , memukuli dan membawa pergi,"   kata dia kepada CNN.      /anak saya
     tidak kuat dipukuli lama-lama,"   kata dia.            /lebih tua yang
        /pemuda, memaksa mereka naik   ke dalam bus dan membawa mereka ke/
    /ke dalam bus dan membawa mereka   ke sebuah lokasi yang diyakini/
          /sudah menodongkan senapan   ke arah mereka," kata seorang/
        /dia "sangat prihatin dengan   kekerasan yang terus meningkat" di/
       /AS Antony Blinken mengatakan   kekerasan yang dilakukan pasukan/
     /mereka mengaku sebagai pekerja   kemanusiaan. Mereka mengatakan/
      Guna, pusat distribusi bantuan   kemanusiaan yang kini sudah/     /di
   Shire kini semakin/       Lembaga   kemanusiaan memperkirakan Kota
   warga/     /dua pusat pengungsian   kemudian memukuli dan menyiksa
             /Adi Wenfito dan Tsehay   kemudian mereka mengumpulkan para/
     /pemuda yang sempat dikumpulkan   kemudian dibebaskan pada sore hari/
      Menurut penuturan saksi, empat   kendaraan militer mengepung kamp/
      Eritrea, saksi mata mengatakan   kepada CNN, ratusan pemuda/     /dan
            /identitasnya mengatakan   kepada CNN tentang bagaimana/
        dan membawa pergi," kata dia   kepada CNN.     /anak saya, memukuli
           /bantuan kemanusiaan yang   kini sudah menjadi sebuah kamp/
   hari./          Konflik di Tigray   kini sudah berlangsung selama 200
           /memperkirakan Kota Shire   kini semakin padat karena/
     /etnis Amhara. Sejak dimulainya   konflik, warga sipil menjadi/
    /orang yang lebih tua yang tidak   kuat dipukuli lama-lama," kata dia/
                  Suara di video itu   kurang jelas namun sejumlah saksi/
         /sipil sejak November tahun   lalu. Saksi mengungkapkan tentara/
              /pada sore hari Selasa   lalu setelah mereka mengaku/
      Biden dalam pernyataannya Rabu   lalu mengatakan dia "sangat/    /Joe
        tua yang tidak kuat dipukuli   lama-lama," kata dia.    /yang lebih
      yang tidak kuat dipukuli lama-   lama," kata dia.     /yang lebih tua
     /Yemene Ghebremeskel menyangkal   laporan semacam itu dan membantah/
          /semacam itu dan membantah   laporan CNN dengan mengatakan, "/
               /sanksi finansial dan   larangan visa bagi para pejabat/
     /masih muda tapi ada orang yang   lebih tua yang tidak kuat dipukuli/
            /mereka berteriak, "Kita   lihat apakah Amerika akan/
       /dan membawa mereka ke sebuah   lokasi yang diyakini berada di/
       Kota Shire, Tigray pada Senin   malam.            /kamp pengungsi di
         /mereka sekitar pukul 21.30   malam itu. "Mereka tidak bilang/
   lebih tua/       "Kebanyakan kami   masih muda tapi ada orang yang
        /Ethiopia dan Eritrea, saksi   mata mengatakan kepada CNN,/
    /Pembebasan Rakyat Tigray (TPLF)   melawan Pasukan Pertahanan/
      -orang itu bahkan belum sempat   memakai sepatu.        /pintu, orang
          /mengumpulkan para pemuda,   memaksa mereka naik ke dalam bus/
            /laporan semacam itu dan   membantah laporan CNN dengan/
      /. Saksi mengungkapkan tentara   membawa pergi ratusan orang dari/
       /mereka naik ke dalam bus dan   membawa mereka ke sebuah lokasi/
   CNN.     /anak saya, memukuli dan   membawa pergi," kata dia kepada
     /di Ethiopia ini diyakini sudah   membunuh ribuan warga sipil sejak/
   dan/    /oleh tentara: "Kami bisa   membunuh kalian di sini sekarang
   semakin/      Lembaga kemanusiaan   memperkirakan Kota Shire kini
         /yang direkam diam-diam itu   memperlihatkan sejumlah orangtua/
     /dua pusat pengungsian kemudian   memukuli dan menyiksa warga Tigray/
       /. Mereka mengikat anak saya,   memukuli dan membawa pergi," kata/
    /Shire kini semakin padat karena   menampung sekitar 800.000 warga/
       /dijadikan pengungsian, saksi   mendengar mereka berteriak, "Kita/
         /omongan saksi. Kami sering   mendengar cerita bohong dari/
     hari Selasa lalu setelah mereka   mengaku sebagai pekerja/       /sore
        /bisa berbuat apa-apa selain   mengambil foto kalian." [pan]
    /malam itu. "Mereka tidak bilang   mengapa anak saya dibawa. Mereka/
            /dan Eritrea, saksi mata   mengatakan kepada CNN, ratusan/
      /enggan diketahui identitasnya   mengatakan kepada CNN tentang/
   9 dan 24/       Seorang perempuan   mengatakan dua putranya--berusia 1
        /pekerja kemanusiaan. Mereka   mengatakan ratusan anak muda terus/
       /membantah laporan CNN dengan   mengatakan, "Sampai kapan Anda/
      /dalam pernyataannya Rabu lalu   mengatakan dia "sangat prihatin/
      /Luar Negeri AS Antony Blinken   mengatakan kekerasan yang/
         /jelas namun sejumlah saksi   mengatakan para orangtua itu/
         /meningkat" di Ethiopia dan   mengecam "pelanggaran HAM dalam/
     /saksi, empat kendaraan militer   mengepung kamp pengungsian Adi/
   dipukuli/          Seorang pemuda   menggambarkan bagimana mereka
        /perempuan Tigray, Ethiopia,   menggendong anaknya. ©Mohamed/
   Ethiopia dan/           CNN sudah   menghubungi kantor Perdana Menteri
           /anak saya dibawa. Mereka   mengikat anak saya, memukuli dan/
         /dan Tsehay kemudian mereka   mengumpulkan para pemuda, memaksa/
       /hari setelah Amerika Serikat   mengumumkan sanksi finansial dan/
         /November tahun lalu. Saksi   mengungkapkan tentara membawa/
          /800.000 warga Tigray yang   mengungsi karena pertempuran di/
        /dengan kekerasan yang terus   meningkat" di Ethiopia dan/
        /kemanusiaan yang kini sudah   menjadi sebuah kamp militer.
    /dimulainya konflik, warga sipil   menjadi target dari pasukan/
   bahkan belum sempat/      "Mereka   menjebol pintu, orang-orang itu
   ," kata/            Tentara sudah   menodongkan senapan ke arah mereka
        /Eritrea Yemene Ghebremeskel   menyangkal laporan semacam itu dan/
    /"Kita lihat apakah Amerika akan   menyelamatkan kalian sekarang!"
       /tentara Ethiopia dan Eritrea   menyerbu sedikitnya dua pusat/
    /pinggiran Shire. Ketika tentara   menyerbu sekolah yang dijadikan/
              /kemudian memukuli dan   menyiksa warga Tigray. Konflik di/
    /Adi Wenfito dan Tsehay kemudian   mereka mengumpulkan para pemuda,/
   membawa/    /para pemuda, memaksa   mereka naik ke dalam bus dan
      /naik ke dalam bus dan membawa   mereka ke sebuah lokasi yang/
       /pengungsian, saksi mendengar   mereka berteriak, "Kita lihat/
        /menodongkan senapan ke arah   mereka," kata seorang saksi,/
     /tahun--dibawa pergi dari rumah   mereka sekitar pukul 21.30 malam/
      /sore hari Selasa lalu setelah   mereka mengaku sebagai pekerja/
      /pemuda menggambarkan bagimana   mereka dipukuli berjam-jam oleh/
        mendengar cerita bohong dari   mereka."         /saksi. Kami sering
      /sekutunya tentara Eritrea dan   milis Amhara adalah "pembersihan/
      /Ethiopia, tentara Eritrea dan   milisi dari etnis Amhara. Sejak/
           dan tentara Eritrea serta   milisi Amhara.           /pemerintah
   Adi/      /saksi, empat kendaraan   militer mengepung kamp pengungsian
      kini sudah menjadi sebuah kamp   militer.           /kemanusiaan yang
      Mereka mengatakan ratusan anak   muda terus ditangkapi di Guna,/   /.
   yang/      "Kebanyakan kami masih   muda tapi ada orang yang lebih tua
        /para pemuda, memaksa mereka   naik ke dalam bus dan membawa/
     /dan Menteri Penerangan Eritrea   namun belum ada balasan.
     Suara di video itu kurang jelas   namun sejumlah saksi mengatakan/
         /mereka dipukuli berjam-jam   oleh tentara Eritrea dan Ethiopia.
       /para orangtua itu diberitahu   oleh tentara: "Kami bisa membunuh/
      /kapan Anda akan terus percaya   omongan saksi. Kami sering/
      /tentara membawa pergi ratusan   orang dari pengungsian.
             "Mereka menjebol pintu,   orang-orang itu bahkan belum/
      "Mereka menjebol pintu, orang-   orang itu bahkan belum sempat/
           /kami masih muda tapi ada   orang yang lebih tua yang tidak/
        /itu memperlihatkan sejumlah   orangtua yang berkumpul di kantor/
      sedang berbicara di depan para   orangtua.         /Ethiopia terlihat
     /sejumlah saksi mengatakan para   orangtua itu diberitahu oleh/
     pengungsi di Kota Shire, Tigray   pada Senin malam.     /sejumlah kamp
    /dikumpulkan kemudian dibebaskan   pada sore hari Selasa lalu setelah/
     /sebuah video yang diterima CNN   pada Selasa pagi, gambar yang/
   .000/    /Kota Shire kini semakin   padat karena menampung sekitar 800
      /yang diterima CNN pada Selasa   pagi, gambar yang direkam diam-/
           mengambil foto kalian." [   pan]         /berbuat apa-apa selain
   saksi/    /dan larangan visa bagi   para pejabat Ethiopia dan Eritrea,
       /kemudian mereka mengumpulkan   para pemuda, memaksa mereka naik/
           sedang berbicara di depan   para orangtua.    /Ethiopia terlihat
    /namun sejumlah saksi mengatakan   para orangtua itu diberitahu oleh/
     warga sipil menjadi target dari   pasukan pemerintah dan tentara/   /,
           /kekerasan yang dilakukan   pasukan pemerintah Ethiopia/
        /dan larangan visa bagi para   pejabat Ethiopia dan Eritrea,/
      setelah mereka mengaku sebagai   pekerja kemanusiaan. Mereka/   /lalu
       /" di Ethiopia dan mengecam "   pelanggaran HAM dalam skala besar/
           dan milis Amhara adalah "   pembersihan etnis".         /Eritrea
        /menjadi target dari pasukan   pemerintah dan tentara Eritrea/
