no.	category	english	arabic	arabic-translit	hebrew	hebrew-niqud	hebrew-ipa	hebrew-iw-translit
23	Transportation	tire	إطار العجلة	iitar aleajala	צמיג	צְמִיִג	tsemiˈjig	ṣmyg
24	Transportation	gasoline	الغازولين	alghazulin	בנזין	בִּנְזִיָן	binziˈjaːn	bnzyn
25	Transportation	engine	محرك	muharak	מנוע	מִנֹוֹעַ	minoːˈvːoːaʔ	mnwʿ
26	Transportation	train ticket	تذكرة القطار	tadhkirat alqitar	כרטיס║רכבת	כָּרְטִיִס║רַכָבֶת	kaːʁetiˈjis║ʁaˈχaːvet	krṭys rkbt
27	Transportation	transportation	وسائل النقل	wasayil alnaql	תחבורה	תַחְבֻּוֹּרָה	taχbuvːoːˈʁaːh	tḥbwrh
28	Location	city	المدينة	almadina	העיר	הָעִיָר	haːʔiˈjaːʁ	hʿyr
29	Location	house	بيت	bayt	בית	בֵּיִת	beːˈjit	byt
30	Location	apartment	شقة	shaqa	דירה	דִיָרָה	dijaːˈʁaːh	dyrh
31	Location	street/road	الشارع / الطريق	alshsharie / altariq	רחוב║/║כביש	רְחֹוֹב║/║כְּבִיש	ʁeχoːˈvːoːv║/║keˈviːʃ	rḥwb / kbyš
32	Location	airport	مطار	matar	נמל║תעופה	נִמְל║תָּעֹוֹּפָה	ˈniml║taːʔoːvːoːˈfaːh	nml tʿwph
33	Location	train station	محطة القطار	mahatat alqitar	תחנת║רכבת	תַחְנְתָ║רַכֶּבֶת	taχneˈtaː║ʁakˈkevet	tḥnt rkbt
34	Location	bridge	جسر	jisr	גשר	גָּשֶר	ˈgaːʃeʁ	gšr
35	Location	hotel	الفندق	alfunduq	מלון	מִלוֹן	miˈloːn	mlwn
36	Location	restaurant	مطعم	mateam	מסעדה	מִסַעֵדָה	misaʔeːˈdaːh	msʿdh
37	Location	farm	مزرعة	mazraea	חווה║חקלאית	חַוָוָה║חַקְלָאִיִת	χavaːˈvaːh║χaklaːʔiˈjit	ḥwwh ḥqlʾyt
38	Location	court	محكمة	mahkama	בית║משפט	בֵּית║מִשְפָּט	ˈbeiːt║miʃˈpaːt	byt mšpṭ
39	Location	school	المدرسة	almadrasa	בית║ספר	בֵּיִת║סְפֹר	beːˈjit║seˈfoːʁ	byt spr
40	Location	office	مكتب	maktab	משרד	מִשָׂרָד	misaːˈʁaːd	mšrd
41	Location	room	غرفة	ghurfa	בחדר	בְּחַדֵר	beχaˈdeːʁ	bḥdr
42	Location	town	بلدة	balda	העיר	הָעִיִר	haːʔiˈjiʁ	hʿyr
43	Location	university	جامعة	jamiea	באוניברסיטה	בָּאוֹנִיַבָרְסִיטָה	baːʔoːnijavaːʁesiːˈtaːh	bʾwnybrsyṭh
44	Location	club	النادي	alnnadi	מועדון	מוֹעֲדוֹן	moːʔaˈdoːn	mwʿdwn
45	Location	bar	بار	bar	בר	בָּר	ˈbaːʁ	br
46	Location	park	منتزه	muntazah	פרק	פֶּרַק	ˈpeʁak	prq
47	Location	camp	مخيم	mukhayam	המחנה	הַמַחְנֶה	hamaχˈneh	hmḥnh
48	Location	store/shop	مخزن / متجر	mukhzin / matjar	חנות║/║חנות	חַנוֹת║/║חַנוֹת	χaˈnoːt║/║χaˈnoːt	ḥnwt / ḥnwt
49	Location	theater	مسرح	masrah	תיאטרון	תֵּיאַטְרוֹן	teiːʔatˈʁoːn	tyʾṭrwn
50	Location	library	مكتبة	maktaba	הספרייה	הַסְפַּרִיָיָה	haspaʁijaːˈjaːh	hspryyh
51	Location	hospital	مستشفى	mustashfaa	בית║חולים	בִּיַתָ║חֻוֹלִים	bijaˈtaː║χuvːoːˈliːm	byt ḥwlym
52	Location	temple	معبد	maebad	בית║המקדש	בֵּיִת║הַמִקְדָש	beːˈjit║hamikˈdaːʃ	byt hmqdš
53	Location	church	كنيسة	kanisa	הכנסייה	הַכְּנֵסִיָיָה	hakkeneːsijaːˈjaːh	hknsyyh
54	Location	market	سوق	suq	בשוק	בָּשוֹּק	baːˈʃuːk	bšwq
55	Location	country	بلد	balad	מדינה	מָדִיָנָה	maːdijaːˈnaːh	mdynh
56	Location	nation	دولة	dawla	אומה	אֻוֹמָה	ʔuvːoːˈmaːh	ʾwmh
57	Location	state	حالة	hala	מדינה	מָדִיָנָה	maːdijaːˈnaːh	mdynh
58	Location	province	ولاية	wilaya	במחוז	בִּמְחוֹז	bimˈχoːz	bmḥwz
59	Location	district	حي	hayi	מחוז	מְחוֹז	meˈχoːz	mḥwz
60	Location	building	بناء	bina'	בניין	בִּנְיָיִן	binˈjaːjin	bnyyn
61	Location	ground	أرض	ard	קרקע,║אדמה	קַרְקַע,║אֲדָמָה	kaʁˈkaʔ,║ʔadaːˈmaːh	qrqʿundefined ʾdmh
62	Location	outer space	الفضاء الخارجي	alfada' alkharijiu	חלל║חיצון	חֲלָל║חִיצוֹן	χaˈlaːl║χiːˈtsoːn	ḥll ḥyṣwn
63	Location	bank	بنك	bank	בנק	בַּנָק	baˈnaːk	bnq
64	Location	location	موقع	mawqie	מקום	מִקוֹם	miˈkoːm	mqwm
65	Countries	United States of America	الولايات المتحدة	alwilayat almutahida	ארצות║הברית	אַרְצוֹתָ║הַבְּרִית	ʔaʁtsoːˈtaː║habbeˈʁiːt	ʾrṣwt hbryt
66	Countries	Australia	أستراليا	usturalia	אוסטרליה	אוֹסְטְרַלִיָה	ʔoːseteʁaliˈjaːh	ʾwsṭrlyh
67	Countries	Thailand	تايلاند	tayland	תאילנד	תֵאִילַנְד	teːʔiːˈland	tʾylnd
68	Countries	China	الصين	alsiyn	סין	סִיָן	siˈjaːn	syn
69	Countries	United Kingdom	المملكة المتحدة	almamlakat almutahida	הממלכה║המאוחדת	הַמַמְלָכָהָ║הַמְאֻחַדֶת	hamamlaːχaːˈhaː║hammeʔuχaˈdet	hmmlkh hmʾwḥdt
70	Countries	England	إنكلترا	iinkiltira	אנגליה	אַנְגְּלִיָהָ	ʔangelijaːˈhaː	ʾnglyh
71	Countries	Spain	إسبانيا	iisbania	ספרד	סְפָרַד	sefaːˈʁad	sprd
72	Countries	Germany	ألمانيا	almania	גרמניה	גֶּרְמַנִיָהָ	geʁmanijaːˈhaː	grmnyh
73	Countries	France	فرنسا	faransa	צרפת	צָרְפַת	tsaːʁeˈfat	ṣrpt
74	Countries	Middle East	الشرق الأوسط	alsharq al'awsat	המזרח║התיכון	הַמִזְרָחַ║הַתִיכֹוֹן	hamizˈʁaːaχ║hatiːχoːˈvːoːn	hmzrḥ htykwn
75	Clothing	hat	قبعة	qabea	כובע	כּוֹבָע	koːˈvaːʔ	kwbʿ
76	Clothing	dress	فستان	fusatan	שמלה	שִׂמְלָה	simˈlaːh	šmlh
77	Clothing	suit	بدلة	badala	חליפה	חֲלִיָפָה	χalijaːˈfaːh	ḥlyph
78	Clothing	skirt	تنورة	tanwra	חצאית	חֲצָאִית	χatsaːˈʔiːt	ḥṣʾyt
79	Clothing	shirt	قميص	qamis	חולצה	חֻוֹלְצָה	χuvːoːleˈtsaːh	ḥwlṣh
80	Clothing	T-shirt	تى شيرت	taa shayirt	חולצה║קצרה	חֻוֹלְצָה║קִצְרָה	χuvːoːleˈtsaːh║kitsˈʁaːh	ḥwlṣh qṣrh
81	Clothing	pants	بنطال	binital	מכנסיים	מִכְנְסַיִים	miχnesaˈjiːm	mknsyym
82	Clothing	shoes	أحذية	ahadhiya	נעליים	נַעֲלַיִם	naʔaˈlajim	nʿlyym
83	Clothing	pocket	جيب	jayb	כיס	כִּיס	ˈkiːs	kys
84	Clothing	coat	معطف	maetif	מעיל	מְעִיל	meˈʔiːl	mʿyl
85	Clothing	stain	وصمة	wasima	כתם	כֹתֹם	χoːˈtoːm	ktm
86	Clothing	socks	جورب	jurib	גרביים	גַרְבִּיִים	gaʁbiˈjiːm	grbyym
87	Clothing	gloves	قفازات	qafazat	כפפות	כְּפָפוֹּת	kefaːˈfuːt	kppwt
88	Clothing	necktie	ربطة عنق	rabtat eanq	עֲנִיבָה	עֲַנִִיָבָָה	ʔaaniijaːˈvaːaːh	ʿănîbāh
89	Clothing	vest	سترة	satra	אפוד	אָפֹוֹד	ʔaːfoːˈvːoːd	ʾpwd
90	Clothing	scarf	وشاح	washah	צעיף	צָעִיף	tsaːˈʔiːf	ṣʿyp
91	Clothing	clothing	ملابس	mulabis	בגדים	בְּגָדִים	begaːˈdiːm	bgdym
92	Colour	red	أحمر	ahmar	אדום	אָדֹוֹם	ʔaːdoːˈvːoːm	ʾdwm
93	Colour	green	أخضر	akhdir	ירוק	יָרֹוֹק	jaːʁoːˈvːoːk	yrwq
94	Colour	light blue	أزرق فاتح	azraq fatih	כחול║בהיר	כְּחֹוֹל║בְּהִיר	keχoːˈvːoːl║beˈhiːʁ	kḥwl bhyr
95	Colour	dark blue	ازرق غامق	azraq ghamiq	כחול║כהה	כְּחֻוֹל║כָּהָה	keχuˈvːoːl║kaːˈhaːh	kḥwl khh
96	Colour	yellow	أصفر	asfar	צהוב	צָהֻוֹב	tsaːhuˈvːoːv	ṣhwb
97	Colour	brown	بنى	bunaa	חום	חֹוֹם	χoːˈvːoːm	ḥwm
98	Colour	pink	وردي	waradi	ורוד	וְרֹוֹד	veʁoːˈvːoːd	wrwd
99	Colour	purple	بنفسجي	binafsajiin	סגול	סָגֹוֹל	saːgoːˈvːoːl	sgwl
100	Colour	silver	فضي	fadi	כסף	כָּסָף	Kaːˈsaːf	ksp
101	Colour	gold	ذهب	dhahab	זהב	זָהָב	zaːˈhaːv	zhb
102	Colour	orange	البرتقالي	alburtuqaliu	תפוז	תִפֹּוֹז	tippoːˈvːoːz	tpwz
103	Colour	black	أسود	aswad	שחור	שָחֹוֹר	ʃaːχoːˈvːoːʁ	šḥwr
104	Colour	white	أبيض	abyad	לבן	לָבָן	laːˈvaːn	lbn
105	Colour	gray	رمادي	rmady	אפור	אָפֹוֹר	ʔaːfoːˈvːoːʁ	ʾpwr
106	Colour	colour	اللون	allawn	צבע	צָבֹעַ	tsaːˈvoːaʔ	ṣbʿ
107	People	son*	ابن*	abn*	בן║*	בָּן║	ˈbaːn║	bn *
108	People	daughter*	ابنة*	abnat*	בתו║*	בּתוֹ║	bˈtoː║	btw *
109	People	mother	أم	um	אמא	אִמָא	ʔiˈmaː	ʾmʾ
110	People	father	الآب	alab	אבא	אַבָּא	ʔabˈbaː	ʾbʾ
111	People	parents	أم الوالدين - والد	ama alwalidayn - walida	הורים	הֻוָרִיִם	huvaːʁiˈjim	hwrym
112	People	baby	حبيبي	hubibi	תינוק	תִּינֹוֹק	tiːnoːˈvːoːk	tynwq
113	People	man	رجل	rajul	איש	אִיש	ˈʔiːʃ	ʾyš
114	People	woman	امرأة	aimra'a	אישה	אִישָּה	ʔiːˈʃaːh	ʾyšh
115	People	brother*	أخ*	akh*	אח║*	אָח║	ˈʔaːχ║	ʾḥ *
116	People	sister*	أخت*	akht*	אחות║*	אֲחוֹת║	ʔaˈχoːt║	ʾḥwt *
117	People	family	عائلة	eayila	המשפחה	הַמִשְפָּחָה	hamiʃpaːˈχaːh	hmšpḥh
118	People	grandfather	جد	jid	סבא	סֹבָּא	soːbˈbaː	sbʾ
119	People	grandmother	جدة	jida	סבתא	סַבְתָּא	savˈtaː	sbtʾ
120	People	husband*	الزوج*	alzawj*	בעל║*	בָּעַל║	baːˈʔal║	bʿl *
121	People	wife*	زوجة*	zawajat*	אשה*	אִשָה	ʔiˈʃaːh	ʾšh*
122	People	king	ملك	malik	מלך	מַלָךְ	maˈlaːχ	mlk
123	People	queen	ملكة	malika	מלכה	מַלְכָּה	malˈkaːh	mlkh
124	People	president	رئيس	rayiys	נשיא	נָשִׂיָא	naːsiˈjaː	nšyʾ
125	People	neighbor	جار	jar	שכן	שָׁכֵן	ʃaːˈχeːn	škn
126	People	boy	صبي	sibi	ילד	יֶלד	jeˈld	yld
127	People	girl	فتاة	fata	ילדה	יַלְדָה	jalˈdaːh	yldh
128	People	child boy	الصبي الطفل	alsabiu altifl	ילד║ילד	יַלְדִ║יָלָד	jalˈdi║jaːˈlaːd	yld yld
129	People	child girl	الطفلة	altifila	ילדה	יַלְדָה	jalˈdaːh	yldh
130	People	adult man	رجل الكبار	rajul alkibar	גבר║מבוגר	גָבָר║מְבֹּוֹגֵר	gaːˈvaːʁ║meboːvːoːˈgeːʁ	gbr mbwgr
131	People	adult woman	امرأة الكبار	aimra'at alkibar	אישה║בוגרת	אִישָה║בֹּוֹגַרֶת	ʔiːˈʃaːh║boːvːoːgaˈʁet	ʾyšh bwgrt
132	People	human	الانسان	al'iinsan	בן║אנוש	בּן║אַנוֹּש	ˈbn║ʔaˈnuːʃ	bn ʾnwš
133	People	friend	صديق	sadiq	חבר	חֹבֵר	χoːˈveːʁ	ḥbr
134	People	victim	ضحية	dahia	קורבן	קֻוֹרְבָן	kuvːoːʁeˈvaːn	qwrbn
135	People	player	لاعب	laeib	שחקן	שַחָקָן	ʃaχaːˈkaːn	šḥqn
136	People	fan	مروحة	muruha	אוהד	אֻוַהַד	ʔuˈvahad	ʾwhd
137	People	crowd	حشد	hashd	קהל	קָהַל	kaːˈhal	qhl
138	People	person	شخص	shakhs	אדם	אָדָם	ʔaːˈdaːm	ʾdm
139	Job	Teacher	مدرس	mudaris	מורה	מֻוֹרָה	muvːoːˈʁaːh	mwrh
140	Job	student	طالب علم	talab eilm	סטודנט	סַטֹוֹדָנָט	satoːvːoːdaːˈnaːt	sṭwdnṭ
141	Job	lawyer	محام	muham	עורך║דין	עִוֹרֵךְ║דִיָן	ʔivːoːˈʁeːχ║diˈjaːn	ʿwrk dyn
142	Job	doctor	دكتور	duktur	רופא	רֻוֹפָא	ʁuvːoːˈfaː	rwpʾ
143	Job	patient	المريض	almarid	סבלני	סַבְּלָנִי	sabbelaːˈniː	sblny
144	Job	waiter	النادل	alnnadil	מלצר	מַלְצַר	malˈtsaʁ	mlṣr
145	Job	secretary	أمين	amin	מזכיר	מַזְכִּיָר	mazkiˈjaːʁ	mzkyr
146	Job	priest	كاهن	kahin	כומר	כֹּוֹמֶר	koːˈvːoːmeʁ	kwmr
147	Job	police	شرطة	shurta	המשטרה	הַמִשְטָרָה	hamiʃtaːˈʁaːh	hmšṭrh
148	Job	army	جيش	jaysh	צבא	צָבָא	tsaːˈvaː	ṣbʾ
149	Job	soldier	جندي	jundiin	חייל	חַיָיל	χaˈjaiːl	ḥyyl
150	Job	artist	فنان	fannan	אמן	אָמֵן	ʔaːˈmeːn	ʾmn
151	Job	engineer	مهندس	muhandis	מהנדס	מֵהַנְדֵס	meːhanˈdeːs	mhnds
152	Job	author	مؤلف	mualaf	המחבר	הַמְחַבֵר	hammeχaˈveːʁ	hmḥbr
153	Job	manager	مدير	mudir	מנהל	מְנַהֵל	menaˈheːl	mnhl
154	Job	reporter	صحافي	sahafiin	כתבתי	כָּתָבְתִי	kaːtaːveˈtiː	ktbty
155	Job	actor	الممثل	almumathil	שחקן	שַחֲקָן	ʃaχaˈkaːn	šḥqn
156	Job	job	وظيفة	wazifa	עבודה	עֲבֻוֹדָה	ʔavuvːoːˈdaːh	ʿbwdh
157	Society	religion	دين	din	דת	דָת	ˈdaːt	dt
158	Society	heaven	الجنة	aljana	גן║העדן	גַן║הַעֲדָן	ˈgan║haʔaˈdaːn	gn hʿdn
159	Society	hell	الجحيم	aljahim	לעזאזל	לָעֲזָאזֵל	laːʔazaːˈzeːl	lʿzʾzl
160	Society	god	الله	allah	אלוהים	אֱלֻוֹהִיָם	ʔeluvːoːhiˈjaːm	ʾlwhym
161	Society	devil	إبليس	iiblis	השטן	הַשָׂטָן	hasaːˈtaːn	hšṭn
162	Society	angel	ملاك	malak	מלאך	מַלָאָךְ	malaːˈʔaːχ	mlʾk
163	Society	fairy	جنية	juniya	פיות	פִּיוֹת	piˈjoːt	pywt
164	Society	spirit	روح	rwh	רוח	רוֹחַ	ˈʁoːaχ	rwḥ
165	Society	demon	شيطان	shaytan	שד	שָד	ˈʃaːd	šd
166	Society	death	الموت	almawt	מוות	מָוֶוֹת	maːveˈvːoːt	mwwt
167	Society	medicine	الدواء	aldiwa'	תרופה	תָּרֻוֹּפָה	taːʁuvːoːˈfaːh	trwph
168	Society	money	مال	mal	כסף	כָּסָף	kaːˈsaːf	ksp
169	Society	dollar	دولار	dular	דולר	דּוֹלָר	doːˈlaːʁ	dwlr
170	Society	bill	فاتورة	fatura	שטר║כסף	שְטָרַ║כְּסָף	ʃetaːˈʁa║keˈsaːf	šṭr ksp
171	Society	marriage*	زواج*	zawajan*	נישואים*	נִישׂוּאִים	niːsuːˈʔiːm	nyšwʾym*
172	Society	wedding*	حفل زواج*	hafl zawaj*an	חתונה║*	חֲתֻוּנָה║	χatuvvˈnaːh║	ḥtwnh *
173	Society	team	الفريق	alfariq	צוות	צְוֹוֹת	tsevːoːˈvːoːt	ṣwwt
174	Society	ethnicity	العرق	alearaq	מוצא║אתני	מֻוֹצָאַ║אַתָנִי	muvːoːtsaːˈʔa║ʔataːˈniː	mwṣʾ ʾtny
175	Society	sexual intercourse	جماع جنسي	jamae jinsiin	קיום║יחסי║מין	קִיוֹםִ║יַחְסִי║מִין	kijoːˈmi║jaχˈsiː║ˈmiːn	qywm yḥsy myn
176	Society	gender	جنس	juns	מגדר	מִגַדֵר	migaˈdeːʁ	mgdr
177	Society	murder	القتل العمد	alqatl aleamad	רצח	רָצַחַ	ʁaːˈtsaaχ	rṣḥ
178	Society	prison	السجن	alsijn	בית║כלא	בֵּיְת║כָּלָא	beːˈjet║kaːˈlaː	byt klʾ
179	Society	technology	تكنولوجيا	tiknulwjia	טכנולוגיה	טַכָּנוֹלוֹגְיָה	takkaːnoːloːgeˈjaːh	ṭknwlwgyh
180	Society	energy	طاقة	taqa	אנרגיה	אַנְרַגִיָה	ʔanʁagiˈjaːh	ʾnrgyh
181	Society	war	حرب	harb	מלחמה	מִלָחָמָה	milaːχaːˈmaːh	mlḥmh
182	Society	peace	سلام	salam	שלום	שָלוֹם	ʃaːˈloːm	šlwm
183	Society	attack	هجوم	hujum	התקפה	הַתִקָפָה	hatikaːˈfaːh	htqph
184	Society	democracy	ديمقراطية	dimuqratia	דמוקרטיה	דְמוֹקַרַטִיָה	demoːkaʁatiˈjaːh	dmwqrṭyh
185	Society	capitalism	رأسمالية	ra'asmalia	קפיטליזם	קַפִּיטַלִיִזָם	kappiːtalijiˈzaːm	qpyṭlyzm
186	Society	socialism	اشتراكية	aishtirakia	סוציאליזם	סוֹצְיַאַלִיִזָם	soːtsejaʔalijiˈzaːm	swṣyʾlyzm
187	Society	communism	شيوعية	shiueia	קומוניזם	קוֹמוֹנִיזָם	koːmoːniːˈzaːm	qwmwnyzm
188	Society	dictator	دكتاتور	diktatur	דיקטטור	דִיקְטַטֹוֹר	diːktatoːˈvːoːʁ	dyqṭṭwr
189	Society	election	انتخاب	aintikhab	בחירות	בְּחִירוֹּת	beχiːˈʁuːt	bḥyrwt
190	Society	magazine	مجلة	majala	מגזין	מִגְזִיָן	migziˈjaːn	mgzyn
191	Society	newspaper	جريدة	jarida	עיתון	עִתֻּוֹן	ʔittuˈvːoːn	ʿytwn
192	Society	poison	سم	sma	רעל	רַעַל	ˈʁaʔal	rʿl
193	Society	gun	بندقية	bunduqia	אקדח	אֶקַדֹחַ	ʔekaˈdoːaχ	ʾqdḥ
194	Society	sport	رياضة	riada	ספורט	סְפֹּוֹרְט	sepoːvːoːˈʁet	spwrṭ
195	Society	sport race	سباق الرياضة	sibaq alriyada	מירוץ║ספורט	מִיָרוֹץָ║סְפֹּוֹרְט	mijaːʁoːˈtsaː║sepoːvːoːˈʁet	myrwṣ spwrṭ
196	Society	exercise	ممارسة	mumarasa	תרגיל	תַּרְגִיִל	taʁgiˈjil	trgyl
197	Society	ball	كرة	kura	כדור	כָּדוֹר	kaːˈdoːʁ	kdwr
198	Society	game	لعبة	lueba	משחק	מִשַׂחֵק	misaˈχeːk	mšḥq
199	Society	price	السعر	alsier	מחיר	מֵחִיָר	meːχiˈjaːʁ	mḥyr
200	Society	contract	عقد	eaqad	החוזה	הַחֹוֹזָה	haχoːvːoːˈzaːh	hḥwzh
201	Society	drug	عقار	eaqaar	סמים	סַמִים	Saˈmiːm	smym
202	Society	sign	لافته	lafath	סימן	סִימָן	siːˈmaːn	symn
203	Society	science	العلوم	aleulum	מדע	מַדָעַ	maˈdaːaʔ	mdʿ
204	Society	God	الله	allah	אלוהים	אֱלֻוֹהִיִם	ʔeluvːoːhiˈjim	ʾlwhym
205	Art	band	فرقة	firqa	להקה	לָהַקָה	laːhaˈkaːh	lhqh
206	Art	song	أغنية	aghnia	שיר	שִיָר	ʃiˈjaːʁ	šyr
207	Art	musical instrument	آلة موسيقية	alat musiqia	כלי║נגינה	כְּלִי║נְגִינָה	keˈliː║negiːˈnaːh	kly ngynh
208	Art	music	موسيقى	musiqaa	מוזיקה	מֻוֹזִיקָה	muvːoːziːˈkaːh	mwzyqh
209	Art	painting	لوحة	lawha	ציור	צִיוֹר	tsiˈjoːʁ	ṣywr
210	Art	photography	التصوير	altaswir	צילום	צִילּוֹּם	tsiːˈluːm	ṣylwm
211	Art	movie	فيلم	film	סרט	סַרַט	ˈsaʁat	srṭ
212	Art	art	فن	fan	אומנות	אֻמְנוֹּת	ʔumˈnuːt	ʾwmnwt
213	Beverage	coffee	قهوة	qahua	קפה	קָפָּה	ˈkaːppaːh	qph
214	Beverage	tea	شاي	shay	תה	תָה	ˈtaːh	th
215	Beverage	wine	نبيذ	nabidh	יין	יִיִן	jiˈjin	yyn
216	Beverage	beer	بيرة	bayra	בירה	בִּיָרָה	bijaːˈʁaːh	byrh
217	Beverage	juice	عصير	easir	מיץ	מִיץ	ˈmiːts	myṣ
218	Beverage	water	ماء	ma'an	מים	מִיָם	miˈjaːm	mym
219	Beverage	milk	حليب	halib	חלב	חֹלֵב	χoːˈleːv	ḥlb
220	Beverage	beverage	شراب	sharab	משקה	מַשְקָה	maʃˈkaːh	mšqh
221	Food	egg	بيضة	bida	ביצה	בִּיָצָה	bijaːˈtsaːh	byṣh
222	Food	cheese	جبن	jaban	גבינה	גְבִיָנָה	gevijaːˈnaːh	gbynh
223	Food	bread	خبز	khabaz	לחם	לָחֶם	ˈlaːχem	lḥm
224	Food	soup	حساء	hasa'	מרק	מֵרַק	meːˈʁak	mrq
225	Food	cake	كعكة	kaeika	עוגה	עֻוֹּגָה	ʔuvːoːˈgaːh	ʿwgh
226	Food	chicken	دجاج	dijaj	עוף	עֹוֹף	ʔoːˈvːoːf	ʿwp
227	Food	pork	لحم خنزير	lahm khinzir	בשר║חזיר	בִּשַר║חֲזִיר	biˈʃaʁ║χaˈziːʁ	bšr ḥzyr
228	Food	beef	لحم بقري	lahm biqari	בשר║בקר	בּשַר║בַּקָר	bˈʃaʁ║baˈkaːʁ	bšr bqr
229	Food	apple	تفاحة	tafaha	תפוח║עץ	תִפֻּוֹחַ║עֵץ	tippuˈvːoːaχ║ˈʔeːts	tpwḥ ʿṣ
230	Food	banana	موز	muz	בננה	בִּנְנָה	binˈnaːh	bnnh
231	Food	orange	البرتقالي	alburtuqaliu	תפוז	תִּפֹּוֹּז	tippoːˈvːoːz	tpwz
232	Food	lemon	ليمون	limun	לימון	לִימוֹן	liːˈmoːn	lymwn
233	Food	corn	حبوب ذرة	hubub dhara	תירס	תִּיָרְס	tijaːˈʁes	tyrs
234	Food	rice	الأرز	al'arz	אורז	אֹוֹרֵז	ʔoːvːoːˈʁeːz	ʾwrz
235	Food	oil	نفط	nft	שמן	שֶמֶן	ˈʃemen	šmn
236	Food	seed	بذرة	bidhara	זרע	זַרַעַ	zaˈʁaaʔ	zrʿ
237	Food	knife	سكين	sakin	סכין	סַכִּין	sakˈkiːn	skyn
238	Food	spoon	ملعقة	maleaqa	כף	כֹּף	ˈkoːf	kp
239	Food	fork	شوكة	shawka	מזלג	מִזְלֵג	mizˈleːg	mzlg
240	Food	plate	طبق	tabaq	צלחת	צַלַחַת	tsaˈlaχat	ṣlḥt
241	Food	cup	كوب	kub	כוס	כֻּוֹס	kuˈvːoːs	kws
242	Food	breakfast	وجبة افطار	wajabat 'iiftar	ארוחת║בוקר	אָרֻוֹחַתָ║בֹּוֹקֶר	ʔaːʁuvːoːχaˈtaː║boːˈvːoːkeʁ	ʾrwḥt bwqr
243	Food	lunch	غداء	ghada'	ארוחת║צהריים	אַרֻוֹחֹתָ║צְהרַיִם	ʔaʁuvːoːχoːˈtaː║tsehˈʁajim	ʾrwḥt ṣhryym
244	Food	dinner	طعام العشاء	taeam aleasha'	ארוחת║ערב	אָרֻוֹחִתָ║עֵרֶב	ʔaːʁuvːoːχiˈtaː║ˈʔeːʁev	ʾrwḥt ʿrb
245	Food	sugar	السكر	alsukar	סוכר	סֻכֵּר	sukˈkeːʁ	swkr
246	Food	salt	ملح	milh	מלח	מַלַח	ˈmalaχ	mlḥ
247	Food	bottle	زجاجة	zujaja	בקבוק	בַּקְבֹּוֹק	bakboːˈvːoːk	bqbwq
248	Food	food	طعام	taeam	מזון	מָזוֹן	maːˈzoːn	mzwn
249	Home	table	جدول	jadwal	שולחן	שֻלְחַן	ʃulˈχan	šwlḥn
250	Home	chair	كرسي	kursii	כיסא	כִּסֵא	kiˈseː	kysʾ
251	Home	bed	سرير	sarir	מיטה	מִיַטָה	mijaˈtaːh	myṭh
252	Home	dream	حلم	hulm	חולם	חֹוֹלָם	χoːvːoːˈlaːm	ḥwlm
