description,term
casualty,伤亡
catalytic war: A conflict that begins as a localized and limited encounter but grows into a general war after other parties are drawn into the conflict through the activation of military alliances.,催化戰爭Cuīhuà zhànzhēng
Caucasus,高加索
caucus,政党秘密会议
cease-fire,停火
"cells: small, tightly knit organizational units at the grassroots level of V. I. Lenin's Bolshevik party.",細胞Xìbāo
censorship,审查制度
central bank,中央银行
Central Commission for Discipline Inspection,中央纪律检查委员会
Central Intelligence Agency,中央情报局
Central Military Commission,中央军事委员会
Central/Local relations,中央与地方的关系
certificate of appointment,委任证书
"CFSP, Common foreign and Security Policy",共同外交与安全政策
Chairman,主任委员
"Chairman, Autonomous Regional People's Government",自治区人民政府主席
"Chairman, Local People's Congress",（地方人大）主任
"Chairman/Vice Chairman, National People's Congress",全国人大委员长/副委员长
"chargé d'affaires ,interim","代办,临时代办"
charismatic leader: A political leader who gains legitimacy largely through the adoration of the populace. Such adoration may spring from past heroic feats (real or imagined) or from personal oratorical skills and political writings.,魅力型領導者
charter,特许状
chauvinism,沙文主义
checks and balances: Constitutional tools that enable branches of government to resist any illegitimate expansion of power by other branches.,制衡 / 三权分立
Chemical Weapons Convention: A 1993 international arms control treaty to eliminate chemical weapons within 10 years. It calls for the destruction of chemical weapons stockpiles and the monitoring of companies making compounds that can be used to produce nerve agents in order to end production of chemical weapons.,化學武器公約
Chernobyl nuclear accident,切尔诺贝利核事故
chief,首领，长官
"Chief Executive, County Government",县长
"Chief Executive, District Government",区长
"Chief Executive, Hong Kong Special Administrative Region",香港特别行政区行政长官
"Chief Executive, Township Government",乡镇长
Chief Judge,审判长
"Chief Judge , People's Tribunals",人民法庭庭长
China Federation of Literary and Art Circles,中国文学艺术界联合会
China Film Association,中国电影家协会
China Law Society,中国法律会
China Meteorological Bureau,中国气象局
China Securities Regulatory Commission(CSRS),中国证券监督管理委员会
China Seismological Bureau,中国地震局
China Society and Technology Association,中国科学技术协会
China Society for the Study of Folk Literature and Art,中国民间文艺家协会
China Society of History,全国史学会
China Society of Political Science and Law,中国政法学会
China Welfare Fund for the Handicapped,中国残疾人福利基金会
China Welfare Institute,中国福利会
China Young Pioneers,中国少年先锋队
China's State Organs,中国国家机关
Chinese Academy of Engineering,中国工程院
Chinese Academy of Sciences,中国科学院
Chinese Academy of Social Sciences,中国社会科学院
Chinese Acrobats Association,中国杂技艺术家协会
Chinese Artists Association,中国美术家协会
Chinese Ballad Singers Association,中国曲艺家协会
Chinese Buddhists Association,中国佛教协会
Chinese Calligraphers Association,中国书法家协会
Chinese Catholic Bishops College,中国天主教主教团
Chinese Dancers Association,中国舞蹈家协会
Chinese Dramatists Association,中国戏剧家协会
Chinese empire,中华帝国
Chinese Islamic Association,中国伊斯兰教协会
Chinese Legal Consultancy Centre,中国法律质询中心
Chinese Medical Association,中华医学会
Chinese Monetary Society,中国金融学会
Chinese Musicians Association,中国音乐家协会
Chinese Olympic Committee,中国奥林匹克委员会
Chinese Opera Research Institute,中国歌剧研究会
Chinese Patriotic Catholic Association,中国天主教爱国会
Chinese Pen Centre,中国笔会中心
Chinese People's Association for Friendship with Foreign Countries,中国人民对外友好协会
Chinese People's National Committee for Defense of Children,中国人民保卫儿童基金会
Chinese Photographers Society,中国摄影家协会
Chinese Publishers Association,中国出版协会
Chinese Society for Measurement,中国计量测试学会
Chinese Society of International Law,中国国际法学会
Chinese Society of Science and Technology History,中国科学技术史学会
Chinese Taoist Association,中国道教协会
Chinese Television Artists Association,中国电视艺术家协会
Chinese Writers Association,中国作家协会
Christianity,基督教
church and state,教会与国家
circular note,通知照会
citizen diplomacy,民间外交
citizen-leader: An individual who influences government decisively even though he or she holds no official government position.,公民領袖Gōngmín lǐngxiù
citizenship: The right and the obligation to participate constructively in the ongoing enterprise of self-government.,公民權Gōngmínquán
city state,城邦国家
civic education The process of inculcating in potential citizens the fundamental values and beliefs of the established order.,公民教育Gōngmín jiàoyù
Civil Aviation Administration of China (CAAC) 8,中国民用航空总局
Civil disobedience 5,非暴力反抗
Civil liberties,公民自由
Civil rights,公民权利
civil society,市民社会
civil war A war between geographical sections or political factions within a nation.,內戰Nèizhàn
clash of civilizations,文明的冲突
class,阶层/阶级
class struggle,阶级斗争
classical realism,古典现实主义
"classless society In Marxist political theory, the ideal society in which wealth is equally distributed according to the principle ""from each according to his ability, to each according to his needs.""",無階級社會Wú jiējí shèhuì
Clericalism,教权主义
Clerk of the Court,书记
Clerk/Officer,科员
Clientelism,保护主义
CNN (Central News Network) 7,美国有线新闻网
"co-decision In the European Union, a method of legislation and rule-making that involves both the European Council (heads of government) and the European Parliament.",共同決定Gòngtóng juédìng
Coalition government,联合政府
"coalition In a multiparty parliamentary system, the political situation in which no single party has a majority and the largest party allies itself loosely with other, smaller parties to control a majority of the legislative seats.",聯盟Liánméng
Coalition theory,集合理论
cocktail party,鸡尾酒会
coercive diplomacy,强制性外交
cognitive psychology,认知心理学
cognitivism,认知主义
"cohabitation In France, the uneasy toleration of a divided executive.",同居Tóngjū
coherent state,单一民族国家
collapse,倒塌
Collective action,集体行动
Collective leadership,集体领导
"collective memory The things we learn about in grade school—what we come to ""know"" about our leaders, about crises we have survived as a nation, and about wars we have fought.",集體記憶Jítǐ jìyì
"collective security In international relations, the aim of an agreement among several nations to establish a single powerful bloc that will be turned on any nation that commits an act of aggression; because no single nation could ever overpower the collective force, aggression would be futile.",集體安全Jítǐ ānquán
collectivism The belief that the public good is best served by common (as opposed to individual) ownership of a political community's means of production and distribution.,集體主義Jítǐ zhǔyì
collectivization The takeover of all lands and other means of production by the state.,集體化Jítǐ huà
Colonial government,殖民统治
colonialism The policy of seeking to dominate the economic or political affairs of underdeveloped areas or weaker countries (see also imperialism).,殖民主義Zhímín zhǔyì
commercial attaché,商务专员
commercial counsellor's office,商务处
"commercial republic This concept, found in the Federalist Papers, is most closely identified with Alexander Hamilton, who championed the idea of a democracy based on economic vitality, capitalistic principles, and private enterprise free of undue state regulation.",商業共和國Shāngyè gònghéguó
commercial secretary,商务参赞
Commission,委员会
Commission of Legislative Affairs,法制委员会
"Commission of Science, Technology and Industry for National Defense",国防科学技术工业委员会
Commissioner,"特派员,警监"
Commissioner General,总警监
"Commissioner, prefecture",地区专员
Committee for Internal and Judicial Affairs,内务司法委员会
Committee for Revision of the Constitution,宪法修改委员会
Committee of Inquiry into Special Questions,特定问题委员会
communique,公报
"common law In Great Britain, laws derived from consistent precedents found in judges' rulings and decisions, as opposed to those enacted by Parliament. In the United States, the part of the common law that was in force at the time of the Revolution and not nullified by the Constitution or any subsequent statute.",普通法Pǔtōng fǎ
Commonwealth of Independent States (CIS) A loose federation of newly sovereign nations created after the collapse of the Soviet Union; it consisted of almost all the republics that previously had made up the USSR.,獨立國家聯合體（獨聯體）Dúlì guójiā liánhé tǐ (dú lián tǐ)
communism A political system based on radical equality; the antithesis of capitalism.,共產主義Gòngchǎn zhǔyì
Communist Youth League of China,中国共产主义青年团
Community (two terms),社区/共同体
community sense,共同体意识
comparative politics,比较政治学
comparative study,比较研究
Competitive party system,竞争性政党制度
complete prohibition and thorough destruction of nuclear weapons,全面禁止和彻底销毁核武器
complex interdependence,复合相互依赖
Comprehensive National Power,综合国力
comprehensive security,综合安全
Comprehensive Test Ban Treaty,全面禁止核试验条约
Compulsory voting,强制性投票
concept of security,安全概念
Concert of Europe,欧洲协调
Concert of Powers,大国协调
conciliation,调解
"concurrent majority John Calhoun's theory of democracy, which holds that the main function of government is to mediate between and among the different economic, social, and sectional interests in U.S. society.",大多數並發Dà duōshù bìngfā
concurrent powers Joint federal and state control.,同時權力Tóngshí quánlì
condemn,谴责
confederation,邦联
Confucian civilization,儒家文明
Confucianist,儒教徒
Congress,美国国会
Congress of Vienna,维也纳会议
Congress of Westphalia,威斯特伐利亚会议
Conseil d'Aetat,最高行政法院
"conservative A political philosophy that emphasizes prosperity, security, and tradition above other values (see also liberal).",保守Bǎoshǒu
Consociational democracy,联合民主
Constable,警员
constituency,选区
Constitution/constitutionalism,宪法/宪政
constitutional democracy,宪政民主
Constitutional government,立宪政体
Constitutional law,宪法
Constitutionalism,立宪主义 / 宪政
constructivism,建构主义
consul,领事
consul-general,总领事
consulate,领事馆
consultations,磋商
Consumer Price Index (CPI),消费者物价指数
"containment The global status quo policy followed by the United States after World War II; the term stems from the U.S. policy of containing attempts by the Soviet Union to extend its sphere of control to other states as it had done in Eastern Europe. NATO, the Marshall Plan, and the Korean and Vietnam wars grew out of this policy.",遏制Èzhì
contemporary diplomacy,当代外交
continental country,大陆国家
Continental Order,大陆秩序
convention,常规
conventional war,常规战争
Convention of the constitution,宪法规约
cooperative security,合作安全
Coordinating Committee for Multilateral Export Control,巴黎统筹委员会
Copenhagen School,哥本哈根学派
cordial hospitality,盛情接待
core interests,核心利益
core-periphery model,中心边缘模式
Corporatism,社团主义
"cosmopolitan democracy A model of democracy that sees the individual as part of a world order, not merely (or even primarily) as a citizen of a particular nation-state.",國際化的民主Guójì huà de mínzhǔ
cosmopolitanism,世界主义
Cossacks,哥萨克人
Council of Ministers,部长会议
Council of the European Union,欧盟理事会
counsellor,"参赞,参事"
"counsellor withthe rank of minister, minister-counsellor",公使衔参赞
Counselors' Office of the State Council,国务院参事室
counterculture,反主流文化
counterterrorism,反恐Fǎnkǒng
country in transition,转型国家
country of one's residence,侨居国
County level officials,县级领导
County Mayor,县长
coup d'etat: The attempted seizure of governmental power by an alternate power group (often the military) that seeks to gain control of vital government institutions without any fundamental alteration in the form of government or society.,政變Zhèngbiàn
CPC Central Committee,中共中央委员会
crash,撞击，坠毁
Credentials Committee,代表资格审查委员会
Crimean War,克里米亚战争
"crimes against humanity A category of crime, first introduced at the Nuremberg trials of Nazi war criminals, covering the wanton, brutal extermination of millions of innocent civilians.",危害人類罪Wéihài rénlèi zuì
"crimes against peace A Nuremberg war crimes trial category, covering the violation of international peace by waging an unjustified, aggressive war.",危害和平Wéihài hépíng
critical international theory,国际关系批判理论
cross-cultural comparative analysis,跨文化比较分析
cross-Strait relations,海峡两岸关系
crown,王权
cruise missile,巡航导弹
Crusade,十字军
"CTB, Comprehensive test ban",全面禁止核试验
Cuban Missile Crisis,古巴导弹危机
cultural attaché,文化专员
cultural imperialism,文化帝国主义
cultural secretary,文化参赞
Cumulative vote,累计投票
currency exchange rate,外汇汇率
currency market,汇市
customs union,关税同盟
cybernetic theory; cybernetics,控制论
cyclical theory,周期理论
Darwinism,达尔文主义
Dawes Plan,道威斯计划
de facto recognition,事实上承认
de jure recognition,法律承认
deadlock,僵局
death toll,死亡数
decentralization,分散化
Decision making,决策
Declaration of Independence,独立宣言
"Declaration of the Rights of Man: Enacted by the French National Assembly in August 1789, this brief manifesto was intended as the preamble to a liberal-democratic constitution to be written later; it affirmed the sovereign authority of the nation but limited that authority by recognizing the right to individual life, property, and security.",聲明權利人Shēngmíng quánlì rén
"declaration, manifesto",宣扬
Declarations of the Rights of Man and the Citizen,人权宣言
deconstruction,解构
defense policy,防务政策
defensive realism,防御现实主义
Deference,顺从
deficit,赤字
delayed repayment of capital and interest,延期还本付息
delegate theory of representation A theory that elected officials should reflect the views of their constituencies.,代表理論的代表性Dàibiǎo lǐlùn de dàibiǎo xìng
Delegated legislation,授权立法
delegation,代表团
demagogue Someone who uses his or her leadership skills to gain public office through appeals to popular fears and prejudices and then abuses that power for personal gain.,煽動者Shāndòng zhě
demilitarization of outer space,外层空间的非军事化
Democracy Wall A wall located in the heart of Beijing on which public criticism of the regime was permitted to be displayed in 1978.,民主牆Mínzhǔ qiáng
Democratic centralism,民主集中制
democratic correlates Conditions or correlates thought to relate positively to the creation and maintenance of democracy within a nation.,民主的關聯Mínzhǔ de guānlián
democratic peace,民主和平论
"democratic socialism A form of government based on popular elections, public ownership and control of the main sectors of the economy, and broad welfare pro grams in health and education to benefit citizens.",民主社會主義Mínzhǔ shèhuì zhǔyì
"democratization Mikhail Gorbachev's policy of encouraging democratic reforms within the former Soviet Union, including increased electoral competition within the Communist party.",民主化Mínzhǔ huà
Deng Xiaoping Theory,邓小平理论
Department,部门
Departments Directly under the State Council,国务院直属机构
dependency,附庸国
dependency theory,依附理论
dependent variable,因变量
"deputy head of the delegation, deputy leader of the delegation",副团长
deputy to the National People's Congress,全国人大代表
Despotism,专制
détente,缓和
"deterrence In criminal justice theory, punishing a criminal for the purpose of discouraging others from committing a similar crime. In international relations, the theory that aggressive wars can be prevented if potential victims maintain a military force sufficient to inflict unacceptable punishment on any possible aggressor.",威懾Wēishè
develop the relations of friendship and cooperation,发展友好合作关系
developing countries,发展中国家
Development Research Centre of the State Council,国务院发展研究中心
developmental democracy A model of democracy that stresses the development of virtuous citizens.,發展民主Fāzhǎn mínzhǔ
dewesternization,非西方化
"dialectical materialism Karl Marx's theory of historical progression, according to which economic classes struggle with one another, producing an evolving series of economic systems that will lead, ultimately, to a classless society.",辯證唯物主義Biànzhèng wéiwù zhǔyì
"dictatorship of the proletariat: In Marxist theory, the political stage immediately following the workers' revolution, during which the Communist Party controls the state and defends it against a capitalist resurgence or counterrevolution; the dictatorship of the proletariat leads into pure communism and the classless society.",無產階級專政Wúchǎn jiējí zhuānzhèng
diplomat,外交官
"diplomatic bag, diplomatic pouch",外交邮袋
diplomatic channels,外交途径
diplomatic courier,外交信使
diplomatic etiquette,外交礼仪
diplomatic immunity,外交豁免
diplomatic mission,外交代表机构
diplomatic practice,外交惯例
diplomatic precedence,外交位次
diplomatic privileges,外交特权
diplomatic process,外交程序
diplomatic rank,外交官衔
diplomatic recognition,外交承认
diplomatic relations,外交关系
diplomatic representative,外交代表
Direct action,直接行动
direct democracy A form of government in which political decisions are made directly by citizens rather than by their representatives.,直接民主Zhíjiē mínzhǔ
Director,"（部委办）主任, 局长, 司长"
"Director, General Office",办公厅主任
disadvantaged groups,弱势群体 对弱势群体给予特殊的就业援助。Special employment assistance should be given to members of disadvantaged groups.
Discretion,自由裁量权
Discrimination,歧视
disputed areas,有争议的地区
Dissolution of parliament,解散议会
distribution of power,权力分配
district courts The court in which most U.S. federal cases originate.,區法院Qū fǎyuàn
divided executive Situation in French government in which the president and the prime minister differ in political party or outlook.,行政劃分Xíngzhèng huàfēn
divine right of kings,"君权神授, 神授王权"
Division Chief /Deputy Division Chief,处长/副处长
Doctrine of elites,精英理论
"Doha Round The trade negotiations within the framework of the World Trade Organization (WTO), formerly the General Agreement on Trade and Tariffs (GATT).",多哈回合Duōhā huíhé
Domestic Affairs,国内时事
domestic disturbance,国内动乱
domestic society,国内社会
domestic terrorism A form of terrorism practiced within a country by people with no ties to any government.,國內恐怖主義Guónèi kǒngbù zhǔyì
Dominant party,占统治地位的党
Dominion,自治领
doves,鸽派
"doyen of the diplomatic corps, dean of the diplomatic corps",外交使团团长
Droop quota,最低下限
"dual executive In a parliamentary system, the division of the functions of head of state and chief executive officer between two persons; the prime minister serves as chief executive, and some other elected (or royal) figure serves as ceremonial head of state.",雙首長Shuāng shǒuzhǎng
"dual federalism Under this system, which prevailed in the United States between 1835 and 1860, the power of the national government was limited to enumerated powers; during this period, the Southern states claimed sovereign powers.",雙聯邦制Shuāng liánbāng zhì
dual nationality,双重国籍
dualism,二元主义
duality of structure,结构二重性
due process A guarantee of fair legal procedure; it is found in the Fifth and Fourteenth amendments of the U.S. Constitution.,正當程序Zhèngdàng chéngxù
"Duma Officially called the State Duma, it is the lower house of the Federal Assembly, Russia's national legislature, reestablished in the 1993 constitution, after having been abolished in 1917. It comprises 450 members, half of whom are elected from nationwide party lists, with the other half elected from single-member constituencies.",杜馬Dù mǎ
during one's absence,离任期间
Duty General Police Commissioner,副总警监
dystopia A society whose creators set out to build the perfect political order only to discover that they cannot remain in power except through coercion and by maintaining a ruthless monopoly over the means of communication.,異位Yì wèi
Eastern bloc,东方阵营
Eastern India Company,东印度公司
"EC, European Community",欧洲共同体
"ECJ, the European Court of Justice",欧洲法院
ecocide,生态灭绝
ecological security,生态安全
economic circle,经济周期
economic determinism,经济决定论
economic globalization,经济全球化
economic growth,经济增长
economic integration,经济一体化
economic recovery,经济复苏
economic sanction,经济制裁
economic security,经济安全
economic stimulus A fiscal tool of government designed to bolster a weak economy and create jobs via public works projects and deficit spending.,經濟刺激Jīngjì cìjī
ecopolitics,生态政治学
"Education, Science, Culture and Public Health Committee",教育，科学，文化委员会
egoism,利己主义
Election campaign,竞选运动
Election program,选举纲领
Electoral college,选举团
Electoral system,选举制度
"Elites, Elitism",精英，精英主义
"elitist theories of democracy In political thought, the theory that a small clique of individuals (a ""power elite"") at the highest levels of government, industry, and other institutions actually exercise political power for their own interests; according to elitist theories, ordinary citizens have almost no real influence on governmental policy.",精英民主理論Jīngyīng mínzhǔ lǐlùn
embargo,禁运
emerging market,新兴市场
"Emission Trading Scheme (ETS) In the European Union, part of an antipollution drive aimed at significantly reducing Europe's ""carbon footprint"" by 2020 by assigning carbonemission allowances to industries and factories and creating a carbon exchange, or a market where ""clean"" companies (ones that do not use their full allowances) can sell the ""credits"" they accumulate by not polluting to ""dirty"" companies (ones that exceed their allowances).",排放交易計劃（ETS）Páifàng jiāoyì jìhuà (ETS)
empiricism,经验主义
Employer's organization,雇主组织
"EMS, European Monetary System",欧洲货币体系
"EMU, Economic and Monetary Union",经济与货币联盟
end of history,历史的终结
energy crisis,能源危机
Engels,恩格斯
English School of International Relations,国际关系的英国学派
Enlightenment period,启蒙运动时期
entente,协约
entitlements: Government expenditures that provide benefits that are deeply ingrained in the fabric of American life and that Americans expect as a matter of right because they have made mandatory tax contributions to government-run retirement and health insurance funds.,權利Quánlì
Entrenchment,护宪
equal protection The doctrine enshrined in the Fourteenth Amendment that holds that the prohibitions placed on the federal government and the protections afforded American citizens under the Bill of Rights also apply to the states.,平等保護Píngděng bǎohù
equality and mutual benefit,平等互利
equilibrium A synonym for the word balance; also often used interchangeably with stability in literature on international relations.,均衡Jūnhéng; 平衡
establishment of diplomatic relations,建立外交关系
Estates,等级
"Estates-General The legislature of France before 1789 in which each of the three estates (clergy, nobility, and commoners) was represented.",莊園一般Zhuāngyuán yībān
Ethnic Affairs Committee,民族委员会
"ethnic cleansing The practice of clearing all Muslims out of towns and villages in Bosnia by violent means; the term has also been used to characterize genocidal assaults on minority populations in other parts of the world, including the Darfur region of Sudan.",種族清洗Zhǒngzú qīngxǐ
ethnic conflict,种族冲突
ethnic identity,民族身份
ethnocentric bias The inability of nations to be reasonably objective when judging their own acts because of ideology or nationalism.,種族中心主義的偏見Zhǒngzú zhōngxīn zhǔyì de piānjiàn
ethnocentrism,种族优越感
"EU, European Union",欧洲联盟
"eugenics The science of controlling the hereditary traits in a species, usually by selective mating, in an attempt to improve the species.",優生學Yōushēng xué
Eurasia,欧亚大陆
"euro area In the EU, the euro area zone refers to the 12 member states that have adopted the euro, including Germany, France, and Italy, but not the United Kingdom.",歐元區Ōuyuán qū
Eurocentric system,欧洲中心体系
European Common Market,欧洲共同市场
European Community,欧洲共同体
European Parliament,欧洲议会
European Union (EU) The economic association of European nations; formerly known as the Common Market or European Economic Community.,歐洲聯盟（歐盟）Ōuzhōu liánméng (ōuméng)
ex post facto law A law that retroactively criminalizes acts that were legal at the time they were committed.,事後法Shìhòu fǎ
exchange of needed goods,互通有无
"exclusionary rule In judicial proceedings, the rule that evidence obtained in violation of constitutional guidelines cannot be used in court against the accused.",排除規則Páichú guīzé
exclusive economic zone (EEZ),专属经济区
exclusivity,排他性
Executive Vice County Mayor,常务副县长
