description	term
They drove off in opposite directions.	他们朝着相反的方向开走了。 Tāmen cháozhe xiāngfǎn de fāngxiàng kāi zǒu le.
He and his brother had contrary points of view on politics.	他跟他弟弟对政治持相反的观点。 Tā gēn tā dìdi duì zhèngzhì chí xiāngfǎn de guāndiǎn.
Far from being best friends, they are bitter enemies.	他们根本不是好朋友, 相反, 是死对头。 Tāmen gēnběn bù shì hǎo péngyou, xiāngfǎn, shì sǐduìtou.
regardless (or irrespective) of sex and age	不论性别年龄 bùlùn xìngbié niánlíng Whether he comes or not, we'll have to do it.
Language is the means by which people communicate with each other.	语言是人们交际的工具。 Yǔyán shì rénmen jiāojì de gōngjù.
She has a large circle of acquaintances.	她交际很广。 Tā jiāojì hěn guǎng.
She is very good at socializing (or is a good mixer) and knows quite a few people.	她善于交际, 认识不少人。 Tā shànyú jiāojì, rènshi bùshǎo rén.
The money was hidden in a trunk.	钱藏在箱子里。 Qián cáng zài xiāngzi lǐ. This chap can't keep anything to himself.
We can store a lot of things in the attic.	阁楼上可以藏好多东西。 Gélóu shàng kěyǐ cáng hǎo duō dōngxi.
A reservoir has many uses.	水库的用处很多。 Shuǐkù de yòngchu hěn duō.
Each of the two things has its own use.	这两件东西, 各有各的用处。 Zhè liǎng jiàn dōngxi, gè yǒu gè de yòngchu.
What's the use (or good) of complaining?	抱怨有什么用处？ Bàoyuàn yǒu shénme yòngchu？
Don't throw it away; it may come in handy.	不要扔掉, 将来会有用处。 Bùyào rēngdiào, jiānglái huì yǒu yòngchu.
rob a bank	抢银行 qiǎng yínháng
He snatched away the letter.	他把信抢了过去。 Tā bǎ xìn qiǎng le guòqu.
scramble for the ball	抢球 qiǎng qiú
The children jostled with each other for the first place in line.	孩子们抢着要排第一个。 Háizi men qiǎng zhe yào pái dì-yī ge.
scrape the bottom of the pot	把锅底一抢 Bǎ guōdǐ yī qiǎng
sharpen kitchen knives	抢菜刀 qiǎng càidāo
He fell and scraped his knee.	他摔了一跤, 膝盖上抢去了一块皮。 Tā shuāi le yī jiāo, xīgài shàng qiǎng qù le yī kuài pí.
This is a formidable project.	这个工程非常艰巨。 Zhège gōngchéng fēicháng jiānjù.
a moving scene	动人的情景 dòngrén de qíngjǐng
a touching story	动人的故事 dòngrén de gùshi
herd the sheep into the pens	把羊群圈起来 bǎ yángqún juān qǐlai
Don't shut yourself up in your study.	别老圈在书房里。 Bié lǎo juān zài shūfáng lǐ.
The prisoners were locked up.	犯人都圈起来了。 Fànrén dōu juān qǐlai le.
controversies over differing opinions	不同意见的争论 bùtóng yìjian de zhēnglùn
a heated dispute	激烈的争论 jīliè de zhēnglùn
the point at issue	争论之点 zhēnglùn zhī diǎn
free contention among different schools in science	科学上不同学派的自由争论 kēxué shàng bùtóng xuépài de zìyóu zhēnglùn
look into matters with an open mind	虚心体察情况 xūxīn tǐchá qíngkuàng
listen to people's criticisms with an open mind	虚心听取别人的意见 xūxīn tīngqǔ biéren de yìjian
Modesty helps one to go forward, whereas conceit makes one lag behind.	虚心使人进步, 骄傲使人落后。xūxīn shǐ rén jìnbù, jiāo'ào shǐ rén luòhòu.
We'll go even if it rains.	哪怕天气不好也要去。nǎpà tiānqì bù hǎo yě yào qù.
We should not waste even a single grain of rice.	哪怕是一粒米也不应该浪费。nǎpà shì yī lì mǐ yě bù yīnggāi làngfèi.
However great the difficulties may be, we can overcome them.	哪怕是再大的困难我们也能克服。nǎpà shì zài dà de kùnnan wǒmen yě néng kèfú.
broad-shouldered	宽肩膀 kuān jiānbǎng
have a broad outlook	眼界宽 yǎnjiè kuān
have a narrow outlook	宽不广 kuān bù guǎng
widen one's field of vision; broaden one's horizon	扩大宽 kuòdà kuān
The China trip was a real eye-opener to me.	这次访华, 大开宽。 Zhècì fǎngHuá, dà kāi kuān.
This river is one li wide.	这条河有一里宽。 Zhè tiáo hé yǒu yī lǐ kuān.
We were greatly relieved to learn that his condition was not serious.	听说他的病情并不严重, 我们的心就宽多了。 Tīngshuō tā de bìngqíng bìng bù yánzhòng, wǒmen de xīn jiù kuān duō le.
Relax, don't worry so much. or Don't take it too hard.	把心放宽一点。 Bǎ xīn fang kuān yīdiǎn.
Can the deadline be extended a few more days?	限期能再宽几天吗？ Xiànqī néng zài kuān jǐ tiān ma？
He's much better off than before.	他手头比过去宽多了。 Tā shǒutóu bǐ guòqu kuān duō le.
partition a room into two	把一间屋隔成两间 bǎ yī jiān wū gé chéng liǎng jiān
The saplings should be five metres apart.	每棵树苗要隔开五米。 Měi kē shùmiáo yào gé kāi wǔ mǐ.
Come back in two days' time.	你隔两天再来吧。 Nǐ gé liǎng tiān zài lái ba.
go there every third week	隔两周去一次 gé liǎng zhōu qù yī cì
Please write on every other line.	请隔行写。 Qǐng gé háng xiě.
To be taken once every four hours.	隔四小时服一次。gé sì xiǎoshí fú yī cì.
constitute (or pose) a threat	构成威胁 gòuchéng wēixié
The Xisha Archipelago is formed of coral reefs.	西沙群岛是由珊瑚礁构成的。 Xī shā qúndǎo shì yóu shānhújiāo gòuchéng de.
I met her once several years ago.	几年前我曾见过她一面。 Jǐ nián qián wǒ céng jiàn guò tā yī miàn.
I've never heard of such a thing.	我未曾听说过这样的事。 Wǒ wèi céng tīngshuō guò zhèyàng de shì.
X-rays can pass through the human body and show inside pathological changes.	爱克斯光能透过肌体检查病变。 Àikèsīguāng néng tòu guò jītǐ jiǎnchá bìngbiàn.
Blood seeped out through the bandage.	血从绷带里透了出来。 Xuè cóng bēngdài lǐ tòu le chūlai.
These shoes are waterproof.	这双鞋不透水。 Zhè shuāng xié bù tòu shuǐ.
I only heard the fragmentary information he let out. Details are still unknown.	只听他透了一句半句的, 详细情况还不清楚。 Zhǐ tīng tā tòu le yī jù bàn jù de, xiángxì qíngkuàng hái bù qīngchu.
Little was revealed about the talks.	这次谈判, 一点情况也没透出来。 Zhè cì tánpàn, yīdiǎn qíngkuàng yě méi tòu chū lái.
I was stupid enough to have failed the first test.	我笨透了, 第一次测试都没通过。 Wǒ bèn tòu le, dì-yī cì cèshì dōu méi tōngguò.
be in a terrible fury	火透了 Huǒ tòu le
have an intimate knowledge of the subject; know the subject inside out	对问题了解得很透duì wèntí liǎojiě de hěn tòu
It was a real good soaker.	雨下透了。 Yǔ xià tòu le.
I can't make out what really is in his mind.	我猜不透他在想什么。 Wǒ cāi bù tòu tā zài xiǎng shénme.
A happy smile appeared on his face.	他脸上透出幸福的微笑。 Tā liǎnshàng tòu chū xìngfú de wēixiào.
This machine is modelled on one recently made in Shanghai.	这部机器是模仿上海的一种新产品制造的。 Zhè bù jīqì shì mófǎng Shànghǎi de yī zhǒng xīn chǎnpǐn zhìzào de.
imitate Lu Xun's style	模仿鲁迅的笔调 mófǎng Lǔ Xùn de bǐdiào
let go one's hold	把手撒开 bǎ shǒu sā kāi
be stung for five yuan	给敲去五块钱 gěi qiāo qù wǔ kuài qián
His pay has been raised, so we made him treat us to a dinner.	他提了工资, 我们敲了他一顿饭。 Tā tí le gōngzī, wǒmen qiāo le tā yī dùn fàn. The store overcharged me for the goods. 这家铺子卖这些东西给我时敲了我一下子。 Zhè jiā pùzi mài zhèxiē dōngxi gěi wǒ shí qiāo le wǒ yīxiàzi.
talk too much; be a regular chatterbox	嘴太碎 zuǐ tài suì
It looks as if it'll be windy tomorrow.	似乎明天要起风。sìhū míngtiān yào qǐ fēng.
When you go to the library, please return this book for me.	你去图书馆的时候, 顺便把我这本书还了吧。 Nǐ qù túshūguǎn de shíhou, shùnbiàn bǎ wǒ zhè běn shū huán le ba.
I mention this point now in passing and shall refer to it again.	这一点现在顺便提一下, 以后还会讲到。 Zhè yīdiǎn xiànzài shùnbiàn tí yī xià, yǐhòu hái huì jiǎng dào.
He felled his opponent.	他把对手击倒了。 Tā bǎ duìshǒu jī dǎo le.
He stumped me.	他把我问倒了。 Tā bǎ wǒ wèn dǎo le.
The cabinet collapsed.	内阁倒了。 Nèigé dǎo le.
The company went bankrupt.	这家公司倒了。 Zhè jiā gōngsī dǎo le.
He has lost his voice.	他的嗓子倒了。 Tā de sǎngzi dǎo le.
Weigh me out one kilo of pork.	给我约一公斤猪肉。 Gěi wǒ yāo yī gōngjīn zhūròu.
See how much it weighs.	约约多重。yāo yāo duō zhòng.
I've had nothing to do for the last couple of days.	我这两天闲着没事。 Wǒ zhè liǎng tiān ∼xián zhe méi shì.
Mother is always so busy; she's never been free for a single day.	妈妈老是这么忙, 没闲过一天。 Māma lǎo shì zhème máng, méi xián guò yī tiān.
a civilization (or culture) of long standing	悠久的文化 yōujiǔ de wénhuà
an age-old tradition	悠久的传统 yōujiǔ de chuántǒng
What are you hanging around here for?	你在这儿转来转去干什么？ Nǐ zài zhèr zhuàn lái zhuàn qù gàn shénme？
This is a light wine.	酒味很薄。 Jiǔwèi hěn báo.
poor land	薄地 báo dì
It's been almost ten days since he left.	他走了恐怕有十来天了。 Tā zǒu le kǒngpà yǒu shí lái tiān le.
I'm afraid he won't agree.	恐怕他不会同意。kǒngpà tā bù huì tóngyì.
I'm afraid this won't do.	这样做, 恐怕不行。 Zhèyàng zuò, kǒngpà bù xíng.
Have a pleasant journey. or Bon voyage.	祝你旅途愉快。 Zhù nǐ lǚtú yúkuài.
a vacant room	空房 kòng fáng
There are many vacant seats in the carriage.	车厢里空得很。 Chēxiāng lǐ kòng de hěn.
Leave a little more space between the rows.	各行之间多留点空儿。 Gè háng zhījiān duō liú diǎn kòngr.
Come over when you have time.	有空儿到我这儿来。 Yǒu kòngr dào wǒ zhèr lái. I'm busy today. Let's talk about it some other day. 今天没空, 改日再谈吧。 Jīntiān méi kòng, gǎirì zài tán ba.
We didn't get the notice until last night.	我们直到昨晚才接到通知。 Wǒmen zhídào zuówǎn cái jiēdào tōngzhī.
We've received no official information about it up to now.	直到现在我们还没有接到正式通知。zhídào xiànzài wǒmen hái méiyǒu jiēdào zhèngshì tōngzhī.
sit by the window	挨着窗口坐āi zhe chuāngkǒu zuò
The two shops are next to each other.	那两家铺子紧挨着。 Nà liǎng jiā pùzi jǐn āi zhe. Don't push. Go in one by one.
He lives somewhere around here. Try to find him by going from door to door.	他就住在这一带, 你挨着门找找。 Tā jiù zhù zài zhè yīdài, nǐ āi zhe mén zhǎo zhǎo.
It isn't my turn yet, is it?	还没挨到我吧？ Hái méi āi dào wǒ ba？
easy to get along with	容易相处 Róngyì xiāng chǔ
They get along quite well.	他们俩处得很好。 Tāmen liǎ chǔ de hěn hǎo.
This fellow is hard to get along with.	这个人不好处。 Zhège rén bù hǎo chǔ.
Where do you come among your brothers and sisters? -I'm the third.	你行几？——我行三。 Nǐ háng jǐ？ —— wǒ háng sān.
What's his line?	他干哪行？ Tā gàn nǎ háng？
love whatever job one takes up	干一行爱一行 gàn yī háng ài yī háng
receive foreign guests	接待外宾 jiēdài wàibīn
