description	term
dispirited and downcast (idiom); listless; in low spirits; washed out	无精打采 wú jīng dǎ cǎi
(idiom) "no comment"	无可奉告 wú kě fèng gào
have no way out; have no alternative; abbr. to 無奈|无奈 [wú nài]	无可奈何 wú kě nài hé
hoodlum; rascal; rogue; rascally; scoundrelly	无赖 wú lài
to make trouble without reason (idiom); deliberately awkward; pointless provocation; willful trouble maker	无理取闹 wú lǐ qǔ nào
impotent (idiom); powerless; helpless	无能为力 wú néng wéi lì
vast and limitless (idiom); endless span of time; no vestige of a beginning, no prospect of an end	无穷无尽 wú qióng wú jìn
in every possible way (idiom); meticulous	无微不至 wú wēi bù zhì
carefree and without worries (idiom)	无忧无虑 wú yōu wú lǜ
ignorance	无知 wú zhī
dance	舞蹈 wǔ dǎo
to insult; to humiliate; dishonor	侮辱 wǔ rǔ
martial arts chivalry (Chinese literary, theatrical and cinema genre); knight-errant	武侠 wǔ xiá
arms; equipment; to arm; military; armed (forces)	武装 wǔ zhuāng
do not	勿 wù
must; to need to; to be sure to	务必 wù bì
difference; error; inaccuracy	误差 wù chā
to misunderstand; to misread; misunderstanding	误解 wù jiě
cheap and fine; attractive in price and quality	物美价廉 wù měi jià lián
pragmatic; dealing with concrete issues	务实 wù shí
goods and materials	物资 wù zī
creek; rivulet	溪 xī
knee	膝盖 xī gài
to stop burning; to go out (of fire); to die out; extinguished	熄灭 xī miè
to absorb; to draw (a lesson, insight etc); to assimilate	吸取 xī qǔ
formerly; in olden days	昔日 xī rì
to sacrifice oneself; to lay down one's life; to do sth at the expense of; beast slaughtered for sacrifice; sacrifice; CL:個|个[gè]	牺牲 xī shēng
sunset; the setting sun	夕阳 xī yáng
daughter-in-law; wife (of a younger man); young married woman; young woman	媳妇 xí fu
an attack (esp. surprise attack); raid; to attack	袭击 xí jī
custom; tradition; local tradition; convention	习俗 xí sú
a delight to see (idiom); an attractive spectacle	喜闻乐见 xǐ wén lè jiàn
happy; joyous	喜悦 xǐ yuè
cell (biology)	细胞 xì bāo
bacterium; germ; CL:種|种[zhǒng]	细菌 xì jūn
series	系列 xì liè
delicate; fine; careful; meticulous; painstaking	细致 xì zhì
red clouds	霞 xiá
narrow; tight; narrow minded; lacking in experience	狭隘 xiá ài
canyon; gill; ravine	峡谷 xiá gǔ
narrow	狭窄 xiá zhǎi
summer camp	夏令营 xià lìng yíng
subordinate; underling	下属 xià shǔ
advanced (technology); to advance	先进 xiān jìn
bright; clear-cut; distinct	鲜明 xiān míng
to lift; to raise in height; to begin; upsurge; to set off (a campaign)	掀起 xiān qǐ
before; previously	先前 xiān qián
fiber; CL:種|种[zhǒng]	纤维 xiān wéi
bow string; string of musical instrument; watchspring; chord (segment of curve); hypotenuse; CL:根[gēn]	弦 xián
to dislike; suspicion; resentment; enmity; abbr. for 嫌犯|嫌犯[xián fàn], criminal suspect	嫌 xián
digression; gossip; complaint; scandal; CL:段[duàn]	闲话 xián huà
chaste; virtuous	贤惠 xián huì
to join together; to combine	衔接 xián jiē
suspicion; (be) suspected (of)	嫌疑 xián yí
outstanding; notable; remarkable	显著 xiǎn zhù
lit. actual location; the scene (of the incident); on-the-spot	现场 xiàn chǎng
ready-made; readily available	现成 xiàn chéng
constitution (of a country)	宪法 xiàn fǎ
to frame (up); to make false charges against	陷害 xiàn hài
stuffing; filling, e.g. in 包子[bǎo zi] or 饺子[jiǎo zi]	馅儿 xiàn r5
to sink into; to get caught up in; to land in (a predicament)	陷入 xiàn rù
trail; clues; thread (of a story)	线索 xiàn suǒ
current situation	现状 xiàn zhuàng
to differ; discrepancy between	相差 xiāng chà
equal; equally; equivalent	相等 xiāng děng
to complement one another (idiom)	相辅相成 xiāng fǔ xiāng chéng
to inlay; to embed; to set (e.g. a jewel in a ring); tiling; tesselation	镶嵌 xiāng qiàn
to correspond; answering (one another); to agree (among the part); corresponding; relevant; appropriate; (modify) accordingly	相应 xiāng yìng
village; township	乡镇 xiāng zhèn
to think up every possible method (idiom); to devise ways and means; to try this, that and the other	想方设法 xiǎng fāng shè fǎ
loud and clear; resounding	响亮 xiǎng liàng
respond to; answer; CL:個|个[gè]	响应 xiǎng yìng
lane; alley	巷 xiàng
neck; sum; funds	项 xiàng
guide	向导 xiàng dǎo
always; all along	向来 xiàng lái
to yearn for; to look forward to	向往 xiàng wǎng
to eliminate; to remove	消除 xiāo chú
to disinfect; to sterilize	消毒 xiāo dú
fire-fighting; fire control	消防 xiāo fáng
to use up; to consume	消耗 xiāo hào
to destroy (by melting or burning); to obliterate	销毁 xiāo huǐ
negative; passive; inactive	消极 xiāo jí
stingy; petty; miserly; narrow-minded	小气 xiǎo qi
cautious and solemn (idiom); very carefully; prudent; gently and cautiously	小心翼翼 xiǎo xīn yì yì
filial piety; to be obedient to one's parents	孝顺 xiào shun
portrait	肖像 xiào xiàng
benefit	效益 xiào yì
to carry (on one's person); to support (old); Taiwan pr. xī dài	携带 xié dài
an association; a society; CL:個|个[gè],家[jiā]	协会 xié huì
to consult with; to talk things over; agreement	协商 xié shāng
agreement; pact; protocol; CL:項|项[xiàng]	协议 xié yì
provide assistance; aid	协助 xié zhù
writing; written works	写作 xiě zuò
crumbs; filings; worthwhile	屑 xiè
to refuse politely	谢绝 xiè jué
to leak (information); to divulge	泄露 xiè lù
discouraged; dejected; demoralized; despairing; to want to give up; to deflate (air from a tyre)	泄气 xiè qì
metabolism (biology); the new replaces the old (idiom)	新陈代谢 xīn chén dài xiè
knowledge gained; CL:個|个[gè]	心得 xīn dé
bridegroom; groom	新郎 xīn láng
bright; smart; quick-witted; heart; thoughts; spirit	心灵 xīn líng
bride	新娘 xīn niáng
hardworking; industrious	辛勤 xīn qín
salary; wage	薪水 xīn shuǐ
attitude (of the heart); state of one's psyche; way of thinking; mentality	心态 xīn tài
to love dearly; the pain of love	心疼 xīn téng
to be gratified	欣慰 xīn wèi
luxuriant growth (idiom); flourishing; thriving	欣欣向荣 xīn xīn xiàng róng
heart's blood; expenditure (for some project); meticulous care	心血 xīn xuè
one's thoughts; mind; intention; willingness to accept new ideas; baseless suspicions	心眼儿 xīn yǎn r5
lit. new bud; fig. new and original	新颖 xīn yǐng
to trust; to have confidence in; to have faith in; to rely on	信赖 xìn lài
faith; belief; conviction	信念 xìn niàn
to believe in (a religion); firm belief; conviction	信仰 xìn yǎng
prestige; distinction; reputation; trust	信誉 xìn yù
fishy (smell)	腥 xīng
happy and excited (idiom); in high spirits; in great delight	兴高采烈 xīng gāo cǎi liè
Xinglong county in Chengde 承德[Chéng dé], Hebei	兴隆 Xīng lóng
prosperous; thriving; to prosper; to flourish	兴旺 xīng wàng
criminal; penal	刑事 xíng shì
shape; form; pattern; morphology	形态 xíng tài
administration; administrative	行政 xíng zhèng
sex appeal; eroticism; sexuality; sexy	性感 xìng gǎn
fortunately	幸好 xìng hǎo
life	性命 xìng mìng
function; performance	性能 xìng néng
nature; temperament	性情 xìng qíng
to become exhilarated (idiom); in high spirits; full of zest	兴致勃勃 xìng zhì bó bó
fierce; ferocious; fiendish; frightening	凶恶 xiōng è
one's bosom (the seat of emotions); breast; broad-minded and open; to think about; to cherish	胸怀 xiōng huái
assailant; murderer; assassin	凶手 xiōng shǒu
chest	胸膛 xiōng táng
robust; strong and solid	雄厚 xióng hòu
(a feeling of) shame	羞耻 xiū chǐ
restoration	修复 xiū fù
to build; to construct	修建 xiū jiàn
to repair; to perform maintenance; to overhaul; to fix; to prune; to trim	修理 xiū lǐ
accomplishment; training; self-cultivation	修养 xiū yǎng
to embroider	绣 xiù
sense of smell	嗅觉 xiù jué
false; phony; pretense	虚假 xū jiǎ
requirement; demand (economics)	需求 xū qiú
vanity	虚荣 xū róng
false; hypocritical; artificial; sham	虚伪 xū wěi
prerequisites; rules that must be known before starting sth	须知 xū zhī
to allow; to permit	许可 xǔ kě
heavy drinking; to get drunk; to drink to excess	酗酒 xù jiǔ
to raise animals	畜牧 xù mù
preface; introductory remarks; preamble; prelude	序言 xù yán
to swear an oath (of office); to make a vow	宣誓 xuān shì
to proclaim; to make public or well known	宣扬 xuān yáng
to suspend; to hang; suspension (cable car)	悬挂 xuán guà
melody; rhythm	旋律 xuán lǜ
suspense in a movie, play etc; concern for sb's welfare	悬念 xuán niàn
cliffside	悬崖峭壁 xuán yá qiào bì
to rotate; to revolve; to spin; to whirl	旋转 xuán zhuǎn
to select the best	选拔 xuǎn bá
athlete; contestant	选手 xuǎn shǒu
to weaken	削弱 xuē ruò
educational background; academic qualifications	学历 xué lì
theory; doctrine	学说 xué shuō
academic degree, e.g.: BSc 學士學位|学士学位[xué shì xué wèi], MSc 碩士學位|硕士学位[shuò shì xué wèi], Diploma 學位證書|学位证书[xué wèi zhèng shū], PhD 博士學位|博士学位[bó shì xué wèi]	学位 xué wèi
to add hail to snow (idiom); one disaster on top of another; to make things worse in a bad situation	雪上加霜 xuě shàng jiā shuāng
blood pressure	血压 xuè yā
nurturing (i.e. assimilate some branch of culture); seeped in	熏陶 xūn táo
to cycle; to circulate; circle; loop	循环 xún huán
to patrol (police, army or navy)	巡逻 xún luó
to look for	寻觅 xún mì
in sequence, step by step (idiom); to make steady progress incrementally	循序渐进 xún xù jiàn jìn
deposit; cash pledge	押金 yā jīn
to oppress; to repress; to constrict; oppression; stress (physics)	压迫 yā pò
money given to children as new year present	压岁钱 yā suì qián
to compress; compression	压缩 yā suō
to constrain or repress emotions; oppressive; stifling; depressing; repression	压抑 yā yì
to press; to squeeze; to extract juice, oil etc by squeezing	压榨 yā zhà
to suppress; to inhibit; to stifle	压制 yā zhì
second place (in a sports contest); runner-up	亚军 yà jūn
fireworks and crackers	烟花爆竹 yān huā bào zhú
to submerge; to drown; to flood; to drown out (also fig.)	淹没 yān mò
coastal	沿海 yán hǎi
bitter cold; severe winter	严寒 yán hán
strictly prohibit	严禁 yán jìn
grim; severe; rigorous	严峻 yán jùn
severe; strict	严厉 yán lì
speech; expression of opinion; public opinion	言论 yán lùn
strict; tight (organization, surveillance etc)	严密 yán mì
to delay; to extend; to postpone; to defer	延期 yán qī
blistering hot; sizzling hot (weather)	炎热 yán rè
to extend; to spread	延伸 yán shēn
rock	岩石 yán shí
to continue; to go on; to last	延续 yán xù
to develop; to evolve	演变 yǎn biàn
to conceal; to hide behind; to cover up	掩盖 yǎn gài
vision	眼光 yǎn guāng
to screen; to shield; to cover; protection; cover; CL:面[miàn]	掩护 yǎn hù
lecture; to make a speech	演讲 yǎn jiǎng
a wink; to signal with one's eyes	眼色 yǎn sè
expression or emotion showing in one's eyes; meaningful glance; wink; eyesight (topolect)	眼神 yǎn shén
to conceal a fault; to gloss over	掩饰 yǎn shì
exercise; practice; to put on a play; to act	演习 yǎn xí
now; at present; subocular (medicine)	眼下 yǎn xià
to deduce; to infer	演绎 yǎn yì
to play a musical instrument; to perform music	演奏 yǎn zòu
to check on receipt; an inventory of received goods; to verify and accept (a delivery)	验收 yàn shōu
to loath; to hate; disgusted with sth	厌恶 yàn wù
to inspect and verify; experimental verification	验证 yàn zhèng
oxygen	氧气 yǎng qì
sample; specimen	样品 yàng pǐn
to waver; swaying (of building in an earthquake)	摇摆 yáo bǎi
to shake and boil; rock and roll (music)	摇滚 yáo gǔn
to rock; to shake; to sway	摇晃 yáo huàng
remote control	遥控 yáo kòng
rumor	谣言 yáo yán
distant; remote	遥远 yáo yuǎn
gnashing one's teeth (idiom); displaying extreme anger; fuming with rage between gritted teeth	咬牙切齿 yǎo yá qiè chǐ
otherwise; or else; or	要不然 yào bù rán
main point; essential	要点 yào diǎn
to cause sb's death; very; extremely; frightening; annoying	要命 yào mìng
essential factor; key constituent	要素 yào sù
to dazzle; dazzling	耀眼 yào yǎn
barbarous; uncivilized	野蛮 yě mán
ambition; wild schemes; careerism	野心 yě xīn
in order; in succession	依次 yī cì
for a time; at one time; one time; once	一度 yí dù
single sail, gentle wind (idiom); plain sailing; to go smoothly	一帆风顺 yì fān fēng shùn
consistent; constant; from start to finish; all along; persistent	一贯 yí guàn
as before; still	依旧 yī jiù
one move, two gains (idiom); two birds with one stone	一举两得 yì jǔ liǎng dé
according to; basis; foundation	依据 yī jù
to rely on sth (for support etc); to depend on	依靠 yī kào
to depend on; to be dependent on	依赖 yī lài
top quality; front ranking	一流 yī liú
same; uniformly; all; without exception	一律 yí lǜ
obvious at a glance (idiom)	一目了然 yí mù liǎo rán
just as in the past (idiom); as before; continuing as always	一如既往 yī rú jì wǎng
clothes	衣裳 yī shang
not one thread loose (idiom); strictly according to the rules; meticulous; not one hair out of place	一丝不苟 yì sī bù gǒu
to rely on; to depend on	依托 yī tuō
all along; the whole time; constantly; earlier; lately	一向 yí xiàng
repeatedly	一再 yí zài
heritage; legacy; inheritance; bequest; CL:筆|笔[bǐ]	遗产 yí chǎn
heredity; inheritance; to transmit	遗传 yí chuán
to doubt; to distrust; unconvincing; to puzzle over; misgivings; suspicions	疑惑 yí huò
(leave or be a) legacy; left over; hand down (to next generation)	遗留 yí liú
instrument; apparatus; CL:臺|台[tái]	仪器 yí qì
to lose; lost	遗失 yí shī
ceremony	仪式 yí shì
so that; so as to; in order to	以便 yǐ biàn
in order to avoid; so as not to	以免 yǐ miǎn
in the past; formerly	以往 yǐ wǎng
down to; up to; to such an extent as to ... (also written 以至於|以至于[yǐ zhì yú])	以至 yǐ zhì
to such an extent as to; down to; up to	以致 yǐ zhì
also	亦 yì
wing	翼 yì
exceptional; abnormal; an anomaly	异常 yì cháng
perseverance; willpower	毅力 yì lì
to anticipate; to expect; to reckon ahead	意料 yì liào
firmly; resolutely; without hesitation	毅然 yì rán
consciousness; awareness; consciously (i.e. deliberately); to be aware	意识 yì shí
intent; intention; intend; schematic diagram	意图 yì tú
to signify; to mean; to imply	意味着 yì wèi zhe
disposition	意向 yì xiàng
will; willpower; determination; CL:個|个[gè]	意志 yì zhì
to inhibit; to keep down; to suppress	抑制 yì zhì
plot; conspiracy	阴谋 yīn móu
speakers or speaker (electronic); acoustics; sound field (in a room or theater)	音响 yīn xiǎng
to conceal; to hide; covert; under cover	隐蔽 yǐn bì
to guide; to lead; to conduct; introduction	引导 yǐn dǎo
a danger concealed within sth; hidden damage; misfortune not visible from the surface	隐患 yǐn huàn
to conceal; to hide (a taboo subject); to cover up the truth	隐瞒 yǐn mán
engine (transliteration)	引擎 yǐn qíng
food and drink	饮食 yǐn shí
secrets; sth one hopes to conceal	隐私 yǐn sī
to quote; to cite; to recommend; to appoint	引用 yǐn yòng
vague; faint; indistinct	隐约 yǐn yuē
print	印刷 yìn shuā
infant; baby; CL:個|个[gè]; lead (Pb)	婴儿 yīng ér
wise; brilliant	英明 yīng míng
bravery; gallant; valiant	英勇 yīng yǒng
profit; gain	盈利 yíng lì
directly; head-on (collision); in one's face (of wind)	迎面 yíng miàn
fluorescent screen; TV screen	荧屏 yíng píng
social niceties; social interaction; a dinner party	应酬 yìng chou
at sb's invitation; on invitation	应邀 yìng yāo
to endorse; to support	拥护 yōng hù
filthy; vulgar; debased	庸俗 yōng sú
to have; to possess	拥有 yōng yǒu
eternal; everlasting; fig. to pass into eternity (i.e. to die)	永恒 yǒng héng
to emerge in large numbers; to spring up; to emerge prominently	涌现 yǒng xiàn
to dare to; to be brave enough to	勇于 yǒng yú
to leap; to jump; eager; enthusiastically	踊跃 yǒng yuè
diligent; industrious (in one's studies); to study hard; to make great effort	用功 yòng gōng
user; consumer; subscriber; customer	用户 yòng hù
survival of the fittest	优胜劣汰 yōu shèng liè tài
priority	优先 yōu xiān
exceptional; outstandingly good	优异 yōu yì
sullen; depressed; melancholy; dejected	忧郁 yōu yù
superior; superiority	优越 yōu yuè
grease; greasy food; oily; rich (of food); fatty; greasy and dirty; a slippery character	油腻 yóu nì
oil paints; lacquer; to paint; CL:層|层[céng]	油漆 yóu qī
similar to; appearing to be	犹如 yóu rú
regular and thorough (idiom); methodically arranged	有条不紊 yǒu tiáo bù wěn
to entice; to lure; to induce; to attract	诱惑 yòu huò
young; childish; naive	幼稚 yòu zhì
silly; stupid	愚蠢 yú chǔn
public opinion	舆论 yú lùn
ignorant; uneducated	愚昧 yú mèi
fisherman; fisher folk	渔民 yú mín
to increase steadily; to grow with each passing day	与日俱增 yǔ rì jù zēng
down garment	羽绒服 yǔ róng fú
to give; to impose; to apply	予以 yǔ yǐ
heal; the more...the more; to recover; better	愈 yù
reconciled; smooth	熨 yù
to forecast; to anticipate; expectation	预料 yù liào
expect; expected	预期 yù qī
preliminary competition; to hold preliminary heats	预赛 yù sài
budget	预算 yù suàn
desire; longing; appetite; craving	欲望 yù wàng
beforehand; prior	预先 yù xiān
to predict; prophecy	预言 yù yán
fable; CL:則|则[zé]	寓言 yù yán
omen; prognosis (in medicine)	预兆 yù zhào
hatred; injustice; bad luck; unjust treatment; wronged; not worthwhile	冤枉 yuān wang
complainant; plaintiff	原告 yuán gào
principle; theory	原理 yuán lǐ
gardens; park; landscape garden	园林 yuán lín
satisfactory	圆满 yuán mǎn
fountainhead; well-spring; water source; fig. origin	源泉 yuán quán
first; original; primitive; original (document etc)	原始 yuán shǐ
head of state	元首 yuán shǒu
element; element of a set; chemical element	元素 yuán sù
former; original	原先 yuán xiān
Lantern festival, the final event of the Spring festival 春節|春节, on 15th of first month of the lunar calendar	元宵节 Yuán xiāo jié
to restrict; to limit to; to constrain; restriction; constraint	约束 yuē shù
wife's father, father-in-law	岳父 yuè fù
a musical score; sheet music	乐谱 yuè pǔ
to hold in store; to contain (untapped reserves etc)	蕴藏 yùn cáng
(of alcohol) to ferment; (of a crisis) to be brewing; to mull over (an issue); to hold exploratory discussions	酝酿 yùn niàng
(mathematical) operation	运算 yùn suàn
be in motion; to move; to run	运行 yùn xíng
to be pregnant; to produce offspring; to nurture (a development, school of thought, artwork etc); fig. replete with (culture etc)	孕育 yùn yù
smash; smashed; to fail; to get it wrong	砸 zá
acrobatics; CL:場|场[chǎng]	杂技 zá jì
a hybrid	杂交 zá jiāo
(dialect) why; how; what	咋 zǎ
disaster; catastrophe	灾难 zāi nàn
to grow; to cultivate	栽培 zāi péi
to slaughter livestock; to govern or rule; to cheat customers; Imperial official in dynastic China	宰 zǎi
determined by; to care about; to mind	在乎 zài hu
to continue the struggle (idiom); to persist; unremitting efforts	再接再厉 zài jiē zài lì
to care about; to mind	在意 zài yì
to accumulate; to amass; to hoard; to save	攒 zǎn
for now; for the time being; temporarily	暂且 zàn qiě
to sigh or gasp in admiration; high praise	赞叹 zàn tàn
to approve of; to endorse; (vote) in favor; trad. also written 贊同	赞同 zàn tóng
to praise; to approve of; to show approval	赞扬 zàn yáng
to support; to assist; sponsor	赞助 zàn zhù
to suffer; to sustain (loss, misfortune)	遭受 zāo shòu
to waste; to wreck; to despoil; to abuse; to slander; to insult; to defile; to trample on	糟蹋 zāo tà
to suffer a calamity	遭殃 zāo yāng
to meet with; to encounter; (bitter) experience	遭遇 zāo yù
rebel; revolt	造反 zào fǎn
modeling; mold-making; model or mold; molding	造型 zào xíng
rumble; noise; static	噪音 zào yīn
to blame; to rebuke	责怪 zé guài
thief; wily; deceitful; evil; extremely; disagreeably	贼 zéi
add to; increase	增添 zēng tiān
give as a present; present as a gift	赠送 zèng sòng
slag (in mining or smelting); dregs	渣 zhā
to prick; to run or stick (a needle etc) into; jug (a classifier for liquids such as beer)	扎 zhā
strong; solid; sturdy; firm; practical	扎实 zhā shi
wink	眨 zhǎ
to defraud; to swindle; to blackmail	诈骗 zhà piàn
summary; abstract	摘要 zhāi yào
bond; debenture	债券 zhài quàn
to bask in the light; fig. to benefit from association with sb or sth; reflected glory	沾光 zhān guāng
to revere; to admire	瞻仰 zhān yǎng
to chop the nail and slice the iron (idiom); resolute and decisive; unhesitating; definitely; without any doubt	斩钉截铁 zhǎn dīng jié tiě
to reveal; to display; to show; to exhibit sth	展示 zhǎn shì
outlook; prospect; to look ahead; to look forward to	展望 zhǎn wàng
to come out; to emerge	展现 zhǎn xiàn
brand new	崭新 zhǎn xīn
to fight; to battle; CL:場|场[cháng],次[cì]	战斗 zhàn dòu
to occupy; to hold	占据 zhàn jù
to occupy (a territory); to hold	占领 zhàn lǐng
strategy	战略 zhàn lüè
tactics	战术 zhàn shù
military campaign	战役 zhàn yì
to have; to own; to hold; to possess	占有 zhàn yǒu
rules; regulations; constitution; statute; articles of association (of company); articles of incorporation; charter (of a corporation); by-laws	章程 zhāng chéng
elder generation	长辈 zhǎng bèi
barrier; obstruction; hindrance; impediment; obstacle	障碍 zhàng ài
tent; CL:頂|顶[dǐng],座[zuò]	帐篷 zhàng peng
full of youthful energy (idiom); vigorous; energetic; a bright spark	朝气蓬勃 zhāo qì péng bó
to hire; to recruit	招收 zhāo shōu
bidding; tender	招投标 zhāo tóu biāo
to be fascinated; to be captivated	着迷 zháo mí
marsh; swamp; wetlands; glade	沼泽 zhǎo zé
to tend; to take care of sb	照料 zhào liào
as before; (same) as usual	照样 zhào yàng
shine; illuminate	照耀 zhào yào
to correlate with; to correspond to	照应 zhào yìng
to shelter from; to keep out	遮挡 zhē dǎng
to toss from side to side (e.g. sleeplessly); to repeat sth over and over again; to torment sb; to play crazy	折腾 zhē teng
to break; to snap; to suffer the loss of; to turn; to bend; to admire; to amount to; to discoun; to fold; turning stroke (in Chinese character); booklet	折 zhé
to persecute; to torment	折磨 zhé mó
precious	珍贵 zhēn guì
detective; to do detective work	侦探 zhēn tàn
rare; precious and uncommon	珍稀 zhēn xī
the truth about sth; the actual facts	真相 zhēn xiàng
sincere; sincerity	真挚 zhēn zhì
pearl	珍珠 zhēn zhū
to consider; to deliberate; to fill up a cup to the brim	斟酌 zhēn zhuó
position; front	阵地 zhèn dì
calm; unperturbed; cool	镇定 zhèn dìng
to stir oneself up; to raise one's spirits; to inspire	振奋 zhèn fèn
to shock; to astonish	震惊 zhèn jīng
calm; cool	镇静 zhèn jìng
troop arrangement; battle formation; line-up (of a sports team etc)	阵容 zhèn róng
Zhengxing district of Dandong city 丹東市|丹东市[Dān dōng shì], Liaoning	振兴 Zhèn xīng
suppression; repression; to suppress; to put down; to quell	镇压 zhèn yā
dispute; controversy; conflict	争端 zhēng duān
fight over; contest; vie over	争夺 zhēng duó
to evaporate; evaporation	蒸发 zhēng fā
conquer; subdue; vanquish	征服 zhēng fú
to work hard for sth; to resolve on improvement; determined not to fall short	争气 zhēng qì
to levy (a fine); to impose (a tariff)	征收 zhēng shōu
striving to be first and fearing to be last (idiom); outdoing one another	争先恐后 zhēng xiān kǒng hòu
controversy; dispute	争议 zhēng yì
first month of the lunar year	正月 zhēng yuè
to struggle; struggling	挣扎 zhēng zhá
to tidy up; to reorganize; to consolidate; to rectify	整顿 zhěng dùn
honest; reasonable; fair; sensible; timely; just (when needed)	正当 zhèng dāng
