term	description
拿住了, 别撒手。 Ná zhù le, bié sāshǒu.	Hold tight. Don't let go.
这一下你可把我问住了。 Zhè yī xià nǐ kě bǎ wǒ wèn zhù le.	You've got me there.
她挡住了我的去路。 Tā dǎng zhù le wǒ de qù lù.	She blocked my way.
听到这个消息我一下子楞住了。 Tīngdào zhège xiāoxi wǒ yīxiàzi lèng zhù le.	I was struck dumb at the news.
支持不住 zhīchíbu zhù	cannot withstand; cannot hold out
突出的成就 tūchū de chéngjiù	outstanding achievements
这个例子突出地说明了他的态度是错误的。 Zhège lìzi tūchū de shuōmíng le tā de tàidu shì cuòwù de.	This is a glaring example of his wrong attitude.
他的优点和缺点都很突出 。 Tā de yōudiǎn hé quēdiǎn dōu hěn tūchū.	His virtues are as conspicuous as his defects.
他的发言没有突出重点。 Tā de fāyán méi yǒu tūchū zhòngdiǎn.	In his speech he failed to stress the main points.
她老想突出自己。 Tā lǎo xiǎng tūchū zìjǐ.	She always tries to push herself forward. or She is very pushy.
把衣服扣上 bǎ yīfu kòu shàng	button (up) one's coat
把皮带扣上 bǎ pídài ∼ shàng	buckle a belt
把门扣上 bǎ mén kòu shàng	latch the door
扣扣子 kòu kòuzi	do up the buttons
把缸扣过来。 Bǎ gāng kòu guòlai.	Turn the vat upside down.
把可疑分子扣起来 Bǎ kěyí fènzǐ kòu qǐlai	detain a suspect
他违反交通规则, 交通警扣了他的自行车。 Tā wéifǎn jiāotōng guīzé, jiāotōngjǐng kòu le tā de zìxíngchē.	The policeman took away his bike because he had violated traffic regulations.
扣工资 kòu gōngzī	deduct a part of sb.'s pay
打九扣 dǎ jiǔ kòu	give a 10 per cent discount
扣球 kòu qiú	smash a ball
系个扣儿 xì ge kòur	tie ( or make) a knot
带金属扣儿的皮带 Dài jīnshǔ kòu r de pídài	a belt with a metal buckle
两手撑着下巴 Liǎng shǒu chēng zhe xiàba	rest one's chin in both hands
撑船 chēng chuán	pole a boat; punt
他撑不住, 笑了。 Tā chēng bù zhù, xiào le.	He could not help laughing.
他连着打了两场球, 再打恐怕撑不住劲儿了。 Tā lián zhe dǎ le liǎng chǎng qiú, zài dǎ kǒngpà chēng bù zhù jìnr le.	I'm afraid he won't be able to go on with another game; he's played two in a row already.
撑伞 chēng sǎn	open an umbrella
我已经有点撑, 不能再吃了。 Wǒ yǐjing yǒu diǎn chēng, bùnéng zài chī le.	I'm rather full and can't eat any more.
别装得太多, 把口袋撑破了。 Bié zhuāng de tài duō, bǎ kǒudài chēng pò le.	Don't stuff the sack too full or it'll burst.
听到这个不幸的消息, 他的脸立刻变得刷白。 Tīngdào zhège bùxìng de xiāoxi, tā de liǎn lìkè biàn de shuàbái.	He turned pale when he heard the bad news.
取消一次会议 qǔxiāo yī cì huìyì	cancel (or call off) a meeting
取消会员资格 qǔxiāo huìyuán zīgé	deprive sb. of his membership
取消禁令 qǔxiāo jìnlìng	lift a ban
被 取消比赛资格 bèi qǔxiāo bǐsài zīgé	be disqualified from the contest
这个月奖金取消了。 Zhège yuè jiǎngjīn qǔxiāo le.	There will be no bonuses this month.
这种病菌附着在病人使用过的东西上。 Zhèzhǒng bìngjūn fùzhuó zài bìngrén shǐyòng guò de dōngxi shàng.	This germ is found on the things used by the patients.
情绪不高 qíngxù bù gāo	be in low spirits
有点儿情绪 Yǒu diǎnr qíngxù	rather sulky
中国革命的性质 Zhōngguó gémìng de xìngzhì	the character of the Chinese revolution
钱包很鼓 。 Qiánbāo hěn gǔ.	The purse is bulging.
赶紧刹车 gǎnjǐn shāchē quickly	put on the brakes
他赶紧吃了饭就上工地去了。 Tā gǎnjǐn chī le fàn jiù shàng gōngdì qù le.	He had a hurried meal and made for the construction site.
党和国家领导人以及各有关方面负责人 Dǎng hé guójiā lǐngdǎorén yǐjí gè yǒuguān fāngmiàn fùzérén	Party and government leaders as well as responsible cadres of departments concerned
拖拉机、收割机、以及各种小农具 tuōlājī, shōugējī, yǐjí gèzhǒng xiǎo nóngjù	tractors, harvesters and small farm implements of all kinds as well
按人口平均计算收入 àn rénkǒu píngjūn jìsuàn shōurù	per capita income
平均每年增长百分之五 píngjūn měi nián zēngzhǎng bǎifēn zhī wǔ	increase by an average of 5% a year
端坐 duān zuò	sit up straight
给病人端大小便 gěi bìngrén duān dàxiǎobiàn	carry bedpans for the patients
有什么想法都端出来。 Yǒu shénme xiǎngfa dōu duān chūlai.	Whatever you think, come out with it.
扎小辫儿 zā xiǎobiànr	tie up one's plaits; plait one's hair; wear one's hair in plaits
腰里扎一条皮带 yāo lǐ zā yī tiáo pídài tie	a leather belt around one's waist
我们有充分理由相信这消息是可靠的。 Wǒmen yǒu chōngfèn lǐyóu xiāngxìn zhè xiāoxi shì kěkào de.	We have every reason to believe that the news is true.
准备工作做得很充分。 Zhǔnbèi gōngzuò zuò de hěn chōngfèn.	Ample preparations were made.
这种病初起时, 患者每不自觉。 Zhèzhǒng bìng chū qǐ shí, huànzhě měi bù zìjué.	Those suffering from the disease are often unaware of it in the early stages.
这孩子做作业挺自觉。 Zhè háizi zuò zuòyè tǐng zìjué.	The girl does her homework on her own initiative.
掀掉盖子 xiān diào gàizi	take the lid off
把对手掀翻在地 bǎ duìshǒu xiān fān zài dì	throw the opponent off his balance
把被子掀起来 bǎ bèizi xiān qǐ lái	pull the quilt
把梯子靠在墙上 Bǎ tīzi kào zài qiáng shàng	lean a ladder against a wall
车辆一律靠右走。 Chēliàng yīlǜ kào yòu zǒu.	All vehicles should keep to the right
他家里靠他维持生活。 Tā jiālǐ kào tā wéichí shēnghuó.	His family depended on him for support.
那人好对付。 Nà rén hǎo duìfu.	That man is easy to deal with
他只学了几个月的文化, 写信也能对付了。 Tā zhǐ xué le jǐ ge yuè de wénhuà, xiěxìn yě néng duìfu le.	He has had only a few months' schooling, but he can manage to write a letter.
这把锹你先对付着用吧。 Zhè bǎ qiāo nǐ xiān duìfu zhe yòng ba.	Try to make do with this spade for now.
我自从参加了体育锻炼, 身体好多了。 Wǒ zìcóng cānjiā le tǐyù duànliàn, shēntǐ hǎo duō le.	I've been feeling much better since I started taking exercise.
反复辩论 fǎnfù biànlùn	argue back and forth
这个计划是经过反复讨论产生的。 Zhège jìhuà shì jīngguò fǎnfù tǎolùn chǎnshēng de.	The plan was born out of repeated discussions.
你的病虽然好了, 可要防止反复。Nǐ de bìng suīrán hǎo le, kě yào fángzhǐ fǎnfù.	You're well now, but mind you don't have a relapse.
展览会上展出了各种各样的机床。Zhǎnlǎnhuì shàng zhǎnchū le gèzhǒnggèyàng de jīchuáng.	A good variety of machine tools are on display at the exhibition.
有什么问题尽管问。 Yǒu shénme wèntí jǐnguǎn wèn.	If you have any questions, don't hesitate to ask them.
你尽管拿吧。Nǐ jǐnguǎn ná ba.	You're welcome to it. or Take as much as you like
我喜欢这个工作, 尽管报酬很低。Wǒ xǐhuan zhège gōngzuò, jǐnguǎn bàochou hěn dī.	I like the job, even though it's badly paid.
立一块碑纪念死者 lì yī kuài bēi jìniàn sǐzhě	put up a tablet or erect a monument in memory of the dead
他必然失败。 Tā bìrán shībài.	He's bound to fail.
盖儿盖得不紧。 Gàir gài de bù jǐn.	The lid isn't on tight.
用塑料薄膜盖住秧苗 Yòng sùliào bómó gài zhù yāngmiáo	cover the seedlings with plastic sheeting
箱子没盖严。 Xiāngzi méi gài yán.	The lid of the box hasn't been put on right. or The box isn't closed properly.
他昨天晚上被子没盖好, 着凉了。 Tā zuótiān wǎnshang bèizi méi gài hǎo, zháoliáng le.	He didn't cover himself up well last night and now he's got a cold.
丑事想盖也盖不住。Chǒushì xiǎng gài yě gài bù zhù.	Scandals cannot be covered up.
他的跳高成绩盖过了所有的选手。 Tā de tiàogāo chéngjì gài guò le suǒyǒu de xuǎnshǒu.	He excelled all the other contestants in the high jump.
他的嗓门很大, 把别人的声音都盖下去了。 Tā de sǎngmén hěn dà, bǎ biéren de shēngyīn dōu gài xiàqu le.	His voice was so loud that it drowned out everyone else's voice.
这栋楼盖得真漂亮。 Zhè dòng lóu gài de zhēn piàoliang.	This building is really nice-looking.
八除以四得二。 Bā chú yǐ sì dé èr.	8 divided by 4 is 2.
二除六得三。Èr chú liù dé sān.	2 goes into 6 three times.
十能被五除尽。 Shí néng bèi wǔchú jìn.	10 divides by 5. or 5 goes into 10.
节约开支 jiéyuē kāizhī	cut down expenses; retrench (expenditure)
你别只顾自己。 Nǐ bié zhǐ gù zìjǐ.	Don't just think of yourself.
这么多事你一个人顾得过来吗？ Zhème duō shì nǐ yī ge rén gù de guòlai ma？	You've got so many things to attend to. Can you manage all by
把革命精神和科学态度结合起来 Bǎ gémìng jīngshén hé kēxué tàidu jiéhé qǐlai	combine revolutionary spirit with a scientific approach
理论与实践相结合lǐlùn yǔ shíjiàn xiāng jiéhé	combine theory with practice
压迫其他民族的民族不可能是自由的。yāpò qítā mínzú de mínzú bù kěnéng shì zìyóu de.	No nation can be free if it oppresses other nations.
企图掩盖事实 qǐtú yǎngài shìshí	try to conceal the facts
企图推翻政府 qǐtú tuīfān zhèngfǔ	seek to overthrow the government
在这部作品中, 作者企图表现的主题并不突出。Zài zhè bù zuòpǐn zhōng, zuòzhě qǐtú biǎoxiàn de zhǔtí bìng bù tūchū.	The theme which the author has intended to bring forth in the book does not stand out.
别有企图 biéyǒu qǐtú	have an ulterior motive
月亮围绕着地球旋转。 Yuèliang wéirào zhe dìqiú xuánzhuǎn.	The moon revolves round the earth.
围绕中心任务安排其他工作 wéirào zhōngxīn rènwu ānpái qítā gōngzuò	arrange other work around the central task
这两种颜色配在一起很相称。 Zhè liǎng zhǒng yánsè pèi zài yīqǐ hěn xiāngchèn.	The two colours match very well.
这头巾跟你的年龄不相称。Zhè tóujīn gēn nǐ de niánlíng bù xiāngchèn.	This kerchief doesn't suit a person of your age.
你这种工作作风与党员的称号很不相称。 Nǐ zhèzhǒng gōngzuò zuòfēng yǔ dǎngyuán de chēnghào hěn bù xiāngchèn.	Your work style is not worthy of a Party member. See xiāngchēng
他的诗朴素而感情真挚。Tā de shī pǔsù ér gǎnqíng zhēnzhì.	His poems are simple in style and imbued with true feelings.
片面宣布 piànmiàn xuānbù	declare unilaterally
片面撕毁协议 piànmiàn sīhuǐ xiéyì	unilaterally tear up an agreement
片面地看问题 piànmiàn de kàn wèntí	take a one-sided approach to problems
片面强调 piànmiàn qiángdiào	put undue emphasis on
世界先进水平 gǎnchāo shìjiè xiānjìn shuǐpíng	surpass the world's most advanced level
在此关键时刻zài cǐ guānjiàn shíkè	at this crucial hour
处于重要的历史时刻 chǔyú zhòngyào de lìshǐ shíkè	at a critical historical juncture
恢复邦交 huīfù bāngjiāo	resume diplomatic relations
恢复行使主权 huīfù xíngshǐ zhǔquán	resume the exercise of sovereignty (over a place)
他的身体恢复了没有？ Tā de shēntǐ huīfù le méiyǒu？	Is he fully recovered?
恢复民族权利 huīfù mínzú quánlì	restoration of national rights
把竹帘子卷起来 bǎ zhú liánzi juǎn qǐ lái	roll up the bamboo screen
卷起袖子就干 juǎn qǐ xiùzi jiù gàn	roll up one's sleeves and pitch in
一个大浪把小船卷走了。Yī ge dà làng bǎ xiǎo chuán juǎn zǒu le.	A huge wave swept the boat away.
熟练地操纵机器 shúliàn de cāozòng jīqì	skilfully operate the machine
一种切实可行的经济体制正在形成。Yī zhǒng qièshíkěxíng de jīngjì tǐzhì zhèngzài xíngchéng.	A viable economy is shaping up.
近代自然科学是从有了实验科学之后才形成的。Jìndài zìrán kēxué shì cóng yǒu le shíyàn kēxué zhīhòu cái xíngchéng de.	Modern natural science came into being only after the emergence of experimental science.
这个艺术团已经形成了独特的风格。 Zhège yìshù tuán yǐjing xíngchéng le dútè de fēnggé.	This performing arts troupe has evolved a style of its own.
充分发挥群众的积极性 Chōngfèn fāhuī qúnzhòng de jījíxìng	bring the initiative of the masses into full play
发挥想像力 fāhuī xiǎngxiànglì	give free rein to one's imagination
我们没有充分∼他的才干。Wǒmen méiyǒu chōngfèn fāhuī tā de cáigàn.	We're not doing justice to his talents.
这一论点有待进一步发挥。Zhè yī lùndiǎn yǒudài jìnyībù fāhuī.	This point needs further elaboration.
采购建筑材料 cǎigòu jiànzhù cáiliào	purchase building materials
片批 piàn pī	slicing
真理是批不倒的。Zhēnlǐ shì pī bù dǎo de.	Truth cannot be overthrown by criticism.
批购 pī gòu	buy goods wholesale
一大批积极分子 yī dà pī jījí fènzǐ	large numbers of activists
这里落了两个字。 Zhèlǐ là le liǎng ge zì.	Two words are missing here.
我忙着出来, 把书落在家里了。 Wǒ mángzhe chūlai, bǎ shū là zài jiālǐ le.	I was in a hurry and left my book at home.
落下很远 là xià hěn yuǎn	fall (or be left) far behind
谁也不愿意落在后面。 Shuí yě bù yuànyi là zài hòumian.	No one likes to lag behind.
他落了一个星期的课。 Tā là le yī ge xīngqī de kè.	He's a whole week behind with his lessons. or He missed a week's lessons.
受到这样的屈辱, 他情绪激动, 气得发抖。 Shòudào zhèyàng de qūrǔ, tā qíngxù jīdòng, qì de fādǒu.	Being slandered that way made his blood boil, and he shook with anger.
他获得冠军, 激动得流下眼泪。 Tā huòdé guànjūn, jīdòng de liúxià yǎnlèi.	When he won the championship, he was moved to tears.
这顿饭是他掏的钱。 Zhè dùn fàn shì tā tāo de qián.	He footed the bill for the meal.
在墙上掏一个洞 Zài qiáng shàng tāo yī ge dòng	make a hole in the wall
他的皮夹子被掏了。 Tā de píjiāzi bèi tāo le.	His wallet was stolen (by a pickpocket).
他常用这种方式启发我们思考问题。 Tā cháng yòng zhèzhǒng fāngshì qǐfā wǒmen sīkǎo wèntí.	He often inspires us to ponder over questions this way.
我从他的工作方法中得到启发。 Wǒ cóng tā de gōngzuò fāngfǎ zhōng dédào qǐfā.	I derived inspiration from his working method.
老科学家的报告给了我们很多启发。 Lǎo kēxuéjiā de bàogào gěi le wǒmen hěn duō qǐfā.	The old scientist's lecture greatly inspired us.
有些问题还需要弄清楚。Yǒuxiē wèntí hái xūyào nòng qīngchu.	Certain questions have yet to be clarified.
有人对他是否胜任这项工作提出疑问。Yǒurén duì tā shì-fǒu shèngrèn zhè xiàng gōngzuò tíchū yíwèn.	Some people question his ability to do the job.
今天没空, 改日再谈吧。 Jīntiān méi kòng, gǎirì zài tán ba.	I'm busy today. Let's talk about it some other day.
我们已经劝说过他, 叫他放弃原来的计划。 Wǒmen yǐjing quànshuō guò tā, jiào tā fàngqì yuánlái de jìhuà.	We've talked him out of his original plan.
他听从了我的劝说。 Tā tīngcóng le wǒ de quànshuō.	He gave in to my persuasion.
当前的国际形势 dāngqián de guójì xíngshì	the current (or present) international situation
符合当前政策 fúhé dāngqián zhèngcè	be in line with the current policy
胜任工作 shèngrèn gōngzuò	be competent at a job; prove equal to the task
这盒子怕压。Zhè hézi pà yā.	This box won't stand much weight.
那个问题可难了, 我差点儿没答上来。 Nà ge wèntí kě nán le, wǒ chàdiǎnr méi dá shànglai.	The question was so difficult I almost failed to answer it.
你差点儿(没)触电。Nǐ chàdiǎnr (méi) chùdiàn.	You narrowly escaped getting a shock.
走这条路可上当了, 尽是水坑。 Zǒu zhè tiáo lù kě shàngdàng le, jìn shì shuǐkēng.	We're fools to have chosen this path; it's full of puddles.
这家铺子卖这些东西给我时敲了我一下子。Zhè jiā pùzi mài zhèxiē dōngxi gěi wǒ shí qiāo le wǒ yīxiàzi.	The store overcharged me for the goods.
相处得很好 xiāngchǔ de hěn hǎo	get on well with each other
我们相处时间不长, 但已经结下了深厚的友谊。 Wǒmen xiāngchǔ shíjiān bù cháng, dàn yǐjing jiéxià le shēnhòu de yǒuyì.	We've not been together long, but we've become close friends.
费了很大的口舌才把他说服。 Fèi le hěn dà de kǒushé cái bǎ tā shuōfú.	It took a lot of talking to convince him.
不必费口舌了。 Bùbì fèi kǒushé le.	You might as well save your breath.
主犯和从犯 zhǔfàn hé cóngfàn	principal and accessories in a crime
把门推开 bǎ mén tuī kāi	push (or shove) the door open
不要把重担子推给人家。 Bùyào bǎ zhòng dànzi tuī gěi rénjia.	Don't shift burdensome tasks onto others.
这项工作得抓紧, 不能老是往后推。 Zhè xiàng gōngzuò de zhuājǐn, bù néng lǎoshi wǎng hòu tuī.	We have to get on with this job, we can't put it off day after day.
往后推几天 Wǎng hòu tuī jǐ tiān	postpone for a few days
你们说的是一码事。 Nǐmen shuō de shì yī mǎ shì.	You were talking about the same thing.
他话里有骨头。Tā huà lǐ yǒu gǔtou.	His words had a bite to them.
捎个口信 shāo ge kǒuxìn	take a message to sb.
替我给大家捎个好。 Tì wǒgěi dàjiā shāo ge hǎo.	Please give my regards to everybody.
没关系, 就磨破了一点皮。 Méi guānxi, jiù mó pò le yīdiǎn pí.	Nothing serious. Just a graze.
袜子磨破了。Wàzi mó pò le.	The socks are worn into holes.
鞋跟磨平了。 Xiégēn mó píng le.	The heels of the shoes are worn down.
我劝了他半天, 嘴皮都快磨破了。Wǒ quàn le tā bàntiān, zuǐ pí dōu kuài mó pò le.	I talked till my jaws ached, trying to bring him around.
磨剪子mó jiǎnzi	grind scissors; sharpen scissors
他被这场病磨得不成样子。 Tā bèi zhè cháng bìng mó de bù chéng yàngzi.	The illness has worn him down to a mere shadow of his former self.
这孩子可真磨人。Zhè háizi kě zhēn mó rén.	What a little torment that child is.
他不答应, 你就跟他磨。Tā bù dāying, nǐ jiù gēn tā mó.	If he doesn't agree, just keep on at him until he does.
快走吧, 别再磨时间了。Kuài zǒu ba, bié zài mó shíjiān le.	Stop dawdling and get going.
补充两点意见 bǔchōng liǎng diǎn yìjian	have two points to add
鼓着嘴 gǔ zhe zuǐ	pout
鼓起勇气 gǔ qǐ yǒngqì	pluck up (or muster) one's courage
你一定是搞误会了。 Nǐ yīdìng shì gǎo wùhuì le.	You must have misunderstood. or You must be mistaken.
