sentenceId	thai	phonetic	english	level
65-16.	…ขึ้นอยู่กับโชคชะตา   	…kʉ̂n-yùu-gàp chôok-chá-dtaa	 (It)’s up to fate. / (It)’s predestined.	low-advanced
65-17.	ในบางกรณี...     	nai baang gɔɔ-rá-nii…	 SEMI-FORMAL/LITERARY - In some cases…	low-advanced
65-18.	นังแพศยา    	nang pɛ̂ɛt-sà-yǎa	 VERY VULGAR - You whore! / You (fuxxin’) bitch!	low-advanced
65-19.	อย่าหักโหม   	yàa hàk-hǒom	 Don’t overwork (yourself). / Don’t overdo it. / Don’t work too hard.	low-advanced
65-20.	รู้อย่างนี้แล้ว...    	rúu yàang-níi lɛ́ɛo	 Now that you know (this)… / Knowing this…	low-advanced
69-1.	กลับบ้านไม่ถูก   	glàp-bâan mâi-tùuk	 (I) couldn’t find my way back home.	low-advanced
69-2.	ห่วงแทบแย่   	hùang tɛ̂ɛp yɛ̂ɛ	 (I)’ve been worried sick. / (I)’ve been really worried about (you).	low-advanced
69-3.	ต้องค่อยเป็นค่อยไป   	dtɔ̂ng kɔ̂i bpen kɔ̂i bpai	 (We) have to take it slow/proceed gradually.	low-advanced
69-4.	ยังไม่ถึงขั้นนั้น   	yang mâi-tʉ̌ng kân nán	 (We)’re not to that point yet. / (We)’re not there yet. / (We)’re not to that stage yet.	low-advanced
69-5.	เอามาทำอะไร(ได้บ้าง)    	ao maa tam à-rai (dâi bâang)	 What can you do with it? / What can you use it for? (an old cell phone, etc.)	low-advanced
69-6.	(ไป)โดนตัวไหนมา     	(bpai) doon dtua nǎi maa	 SLANG - What are you on?!	low-advanced
69-7.	ทำอย่างไรถึงจะ(มั่นใจในตนเอง)    	tam yàang-rai tʉ̌ng jà (mân-jai nai dton- eeng)	 What can I do to (be self-confident)? / What can I do so that I will (have self- confidence)?	low-advanced
69-8.	ทุกอย่างเข้าที่เข้าทาง   	túk-yàang kâo-tîi kâo-taang	 Everything’s in order. / Everything’s in place.	low-advanced
69-9.	(ผม)ไม่มีส่วนเกี่ยวข้องกับ...      	(pǒm) mâi-mii sùan-gìao- kɔ̂ng gàp...	 SEMI-FORMAL - (I) have nothing to do with… / (I)’m not involved with…	low-advanced
69-10.	นับจากนี้ไป...      	náp jàak níi bpai…	 FORMAL/LITERARY - From here on out… / From now on… / From this day on…	low-advanced
69-11.	ไม่เอาดีกว่า   	mâi-ao dii-gwàa	 I’d better not. / I’ll pass.	low-advanced
69-12.	ยิ่งใหญ่กว่าเดิม   	yîng-yài gwàa-dəəm	 Bigger than before! / Better than ever! / More powerful than ever!	low-advanced
69-13.	มาไกลขนาดนี้แล้ว(...)    	maa glai kà-nàat-níi lɛ́ɛo (...)	 (I)’ve come this far(…)	low-advanced
69-14.	ยังมีหน้า(มาขอเงินเธอ)    	yang mii-nâa (maa kɔ̌ɔ ngən təə)	 You have the nerve to (ask her for money)! / You have the gall to (ask her for money).	low-advanced
69-15.	จะอธิบายเรื่องนี้(ได้)ยังไง   	jà à-tí-baai rʉ̂ang níi (dâi) yang-ngai	 How do you explain this?	low-advanced
69-16.	อย่ามาอ้าง(...)    	yàa maa âang (…)	 Don’t make excuses! / Don’t use … as an excuse!	low-advanced
69-17.	เรื่องบ้าอะไรกัน   	rʉ̂ang bâa à-rai gan	 What the hell is this? / What is this bullshit?	low-advanced
69-18.	ไม่ต้องมาทำเป็นไม่รู้เรื่อง     	mâi-dtɔ̂ng maa tam-bpen mâi-rúu-rʉ̂ang	 STRONG - Don’t pretend you don’t know what’s going on! / Don’t act like you know nothing!	low-advanced
69-19.	มันไม่ใช่ภาพหลอน   	man mâi-châi pâap-lɔ̌ɔn	 It wasn’t an illusion. / You weren’t hallucinating.	low-advanced
69-20.	มันเสียแรง(เปล่าๆ)    	man sǐa-rɛɛng (bplàao-bplàao)	 It’s a waste of effort. / It was a waste of energy. / We did it for nothing.	low-advanced
73-1.	พูดยังไม่ทันจบ   	pûut yang mâi-tan jòp	 (I) haven’t finished talking yet! / (I) haven’t finished what I was going to say!	low-advanced
73-2.	ไม่คิดหน้าคิดหลัง   	mâi kít nâa kít lǎng	 (She) just does it without thinking about the consequences! / (She)’s so rash! / (She) just goes ahead and does it without a second thought.	low-advanced
73-3.	ดูภายนอก...    	duu paai-nɔ̂ɔk…	 Superficially… / Outwardly… / On the surface…	low-advanced
73-4.	แต่ติดปัญหาตรง(ที่ว่า)...    	dtɛ̀ɛ dtìt bpan-hǎa dtrong (tîi-wâa)…	 But the problem is (that)…	low-advanced
73-5.	มีกฎหมายข้อไหนไม่ให้(ถ่ายรูป)    	mii gòt-mǎai kɔ̂ɔ nǎi mâi-hâi (tàai-rûup)	 Is there a law against (taking pictures)?	low-advanced
73-6.	ไม่ต้องน้อยใจ    	mâi-dtɔ̂ng nɔ́ɔi-jai	 Don’t feel slighted.	low-advanced
73-7.	กินข้าวพร้อมหน้าพร้อมตา   	gin-kâao prɔ́ɔm-naa-prɔ́ɔm-dtaa	 (Having dinner) all together.	low-advanced
73-8.	ไม่มีผู้ชายคนไหน(ชอบผู้หญิงขี้บ่น)    	mâi-mii pûu-chaai kon-nǎi (chɔ̂ɔp pûu-yǐng kîi-bon)	 No guy… (likes a woman who complains all the time).	low-advanced
73-9.	ทำไมเรื่องแบบนี้ต้องเกิดขึ้นกับฉัน   	tam-mai rʉ̂ang bɛ̀ɛp-níi dtɔ̂ng gə̀ ət-kʉ̂n gàp chǎn	 Why does this have to happen to me?!	low-advanced
73-10.	ใช้เวลาให้คุ้มค่าที่สุด   	chái-wee-laa hâi kúm-kâa tîi-sùt	 Make the most of your time. / Make your time really matter.	low-advanced
73-11.	ค่อยว่ากันอีกที   	kɔ̂i wâa gan ìik tii	 Let’s talk about it another time. / We can discuss it later.	low-advanced
73-12.	มันไม่จบง่ายๆ   	man mâi-jòp ngâai-ngâai	 It ain't over 'til it's over! / It ain’t over ’til the Fat Lady sings! / It won’t be over so easily!	low-advanced
73-13.	เวลาจะเยียวยาทุกอย่าง    	wee-laa jà yiao-yaa túk-yàang	 LITERARY - Time will heal everything.	low-advanced
73-14.	ใช้เวลานานแค่ไหนกว่าจะ(เห็นผล)    	chái-wee-laa naan kɛ̂ɛ-nǎi gwàa jà (hěn pǒn)	 How long does it take before (you see results)?	low-advanced
73-15.	(จะ)ไม่มีอะไรเหมือนเดิมอีกแล้ว   	(jà) mâi-mii à-rai mʉ̌an-dəəm ìik lɛ́ɛo	 Nothing will ever be the same again. / Nothing will be like it was before.	low-advanced
73-16.	ใช้ได้บ้างไม่ได้บ้าง   	chái-dâi bâang mâi-dâi bâang	 Sometimes (it) works, sometimes it doesn’t.	low-advanced
73-17.	มาถึงขนาดนี้แล้ว...    	maa-tʉ̌ng kà-nàat-níi lɛ́ɛo…	 (We)’ve come this far… / (You)’ve made it this far…	low-advanced
73-18.	ผมต้องแบกรับภาระ...    	pǒm dtɔ̂ng bɛ̀ɛk-ráp paa-rá...	 I have to bear/carry the burden (of)…	low-advanced
73-19.	หล่อนไม่สนใจอะไรเลยนอกจาก(เงิน)    	lɔ̀n mâi sǒn-jai à-rai ləəi nɔ̂ɔk-jàak (ngən)	 She’s not interested in anything except (money).	low-advanced
73-20.	ผมจะทำอะไรได้  	pǒm jà tam à-rai dâi	 What can I do?  (This is sarcastic and means you can’t do anything.)	low-advanced
78-1.	เวลาผ่านไปไวเหมือนโกหก     	wee-laa pàan bpai wai mʉ̌an goo-hòk	 IDIOM - Time flies! / Time goes by quickly.	low-advanced
78-2.	และแล้ววันนั้นก็มาถึง   	lɛ́-lɛ́ɛo wan-nán gɔ̂ɔ maa-tʉ̌ng	 The day finally arrived. / That day finally came.	low-advanced
78-3.	กรรมตามสนอง     	gam dtaam sà-nɔ̌ɔng	 IDIOM - You reap what you sow. / Karma will get you in the end. / He will get what he deserves. / It’s karmic retribution.	low-advanced
78-4.	กาลครั้งหนึ่งนานมาแล้ว...      	gaa-lá-kráng-nʉ̀ng-naan-maa-lɛ́ɛo	 LITERARY - Once upon a time...	low-advanced
78-5.	อีก(คำ)หนึ่งที่น่าสนใจก็คือ...    	ìik (kam) nʉ̀ng tîi nâa-sǒn-jai gɔ̂ɔ kʉʉ…	Another interesting (word) is…	low-advanced
78-6.	ทุกอย่างก็ผ่านมาได้ด้วยดี   	túk-yàang gɔ̂ɔ pàan maa dâi dûai dii	 Everything turned out well. / (We) made it through everything just fine.	low-advanced
78-7.	ไม่ว่าจะเป็น...    	mâi-wâa jà bpen...	 Whether (it be)…	low-advanced
78-8.	เตรียมรับมือไว้   	dtriam ráp-mʉʉ wái	 Be prepared (for…) / Get ready (for…)	low-advanced
78-9.	…หลักๆก็คือ...      	...làk-làk gɔ̂ɔ kʉʉ...	 FORMAL/LITERARY - Essentially… / Basically… / Mainly…	low-advanced
78-10.	ต้องมีอะไรปิดบังแน่ๆ   	dtɔ̂ng mii à-rai bpìt-bang nɛ̂ɛ-nɛ̂ɛ	 They must be hiding something! / He must be covering something up!	low-advanced
78-11.	(รู้จักเขา)มากน้อยแค่ไหน   	(rúu-jàk kǎo) mâak-nɔ́ɔi-kɛ̂ɛ-nǎi	 How well (do you know him)? / How much (...)?	low-advanced
78-12.	ไม่มีหลักฐานแน่ชัด(...)    	mâi-mii làk-tǎan nɛ̂ɛ-chát(...)	 There’s no clear evidence (…)	low-advanced
78-13.	(Its) กับ (It’s) ใช้ไม่เหมือนกัน   	(Its) gàp (It’s) chái mâi-mʉ̌an-gan	 (Its) and (It’s) are used differently.	low-advanced
78-14.	…เป็นผลเสียต่อร่างกาย     	...bpen pǒn-sǐa dtɔ̀ɔ râang-gaai	 SEMI-FORMAL - (It)’s harmful to your body.	low-advanced
78-15.	เธอชอบแต่งตัวโป๊   	təə chɔ̂ɔp dtɛ̀ng-dtua bpóo	 She dresses a bit too sexily. / She dresses like a slut.	low-advanced
78-16.	ผมท้องไส้ปั่นป่วน   	pǒm tɔ́ɔng-sâi-bpàn-bpùan	 I have an upset stomach. / My stomach is very upset. / I have butterflies in my stomach.	low-advanced
78-17.	(ฟุตบอล)เป็นชีวิตจิตใจ     	(fút-bɔn) bpen chii-wít jìt-jai	 LITERARY/FANCY/IDIOM - (Football) is my passion! / I’m crazy about (football)! / (Football) is the joy of my life! / (Football) is who I am!	low-advanced
78-18.	ทายสิใครเอ่ย   	taai sì krai ə̀ əi	 Guess who?! / Who is it?! (used as guessing game)	low-advanced
78-19.	เป็นสิ่งที่เราขาดไม่ได้   	bpen sìng tîi rao kàat-mâi-dâi	 (It)’s something that we can’t do without. / (It)’s something that’s indispensible for us.	low-advanced
78-20.	ไม่ต้องอ้อมค้อม   	mâi-dtɔ̂ng ɔ̂ɔm-kɔ́ɔm	 Don’t beat around the bush!	low-advanced
87-1.	ทะเลาะกันยกใหญ่   	tá-lɔ́-gan yók-yài	 (They) had a huge fight.	low-advanced
87-2.	ถูกยิง(ใน)ระยะประชิด   	tùuk ying (nai) rá-yá bprà-chít	 (He) was shot at close range. / (He) was shot point blank.	low-advanced
87-3.	ในช่วงปลายยุค (60)    	nai chûang bplaai yúk (hòk-sìp)	 in the late (60s)	low-advanced
87-4.	ในช่วงต้นยุค (60)    	nai chûang dtôn yúk (hòk-sìp)	 in the early (60s)	low-advanced
