sentence	en	da	no	sv	is
35	Sorry to hear that	Det er jeg ked af at høre	Jeg beklager å høre	Jag beklagar	Mér þykir leitt að heyra
36	I need to concentrate	Jeg bliver nød til at koncentrere mig	Jeg må konsentrere meg	Jag måste koncentrera mig	Ég verð að einbeita mér
37	He'll be back in 20 minutes	Han kommer tilbage om 20 minutter	Han er tilbake om 20 minutter	Han kommer tillbaka om 20 minuter	Hann kemur aftur eftir 20 mínútur
38	The door is locked	Døren er låst	Døren er låst	Dörren är låst	Hurðin er lokuð
39	I'll take you to the bus stop	Jeg følger dig til busstoppestedet	Jeg følger deg til bussholdeplassen	Jag tar dig till busshållplatsen	Ég mun fylgja þér að strætóskýlinu
40	I'll have the same thing	Jeg vil gerne bede om det samme	Jeg vil gjerne be om det samme	Jag tar samma sak	Mig langar að biðja um það sama
41	Would you take me home?	Vil du følge mig hjem?	Vil du følge meg hjem?	Vill du ta mig hem?	Ætlarðu að fylgja mér heim?
42	At what time did it happen?	Hvad tid skete det?	Når skjedde det?	Vid vilken tidpunkt hände det?	Hvenær gerðist það?
43	What time does the kitchen close?	Hvad tid lukker køkkenet?	Når stenger kjøkkenet?	Vilken tid stänger köket?	Hvenær lokar eldhúsið?
44	I like spicy food	Jeg kan godt lide krydret mad	Jeg liker krydret mat	Jag gillar kryddig mat	Ég elska sterkan mat
45	The advert was dishonest	Annoncen var uærlig	Annonsen var uærlig	Annonsen var oärlig	Auglýsingin var óheiðarleg
46	I ate too much	Jeg spiste for meget	Jeg spiste for mye	Jag åt för mycket	Ég borðaði of mikið
47	Long time no see	Lang tid siden	Lenge siden	Det var länge sedan	Fyrir löngu síðan
48	It was a draw	Det blev uafgjort	Det ble uavgjort	Det blev oavgjort	Það var jafntefli
49	The outcome was bad	Resultatet var dårligt	Resultatet ble dårlig	Utfallet var dåligt	Niðurstaðan var slæm
50	What does this say	Hvad betyder det her?	Hva betyr dette?	Vad betyder detta?	Hvað þýðir þetta?
51	Where did I leave my keys?	Hvor lagde jeg mine nøgler?	Hvor la jeg nøklene mine?	Var lade jag mina nycklar?	Hvar setti ég lyklana?
52	Is it cold outside?	Er det koldt udenfor?	Er det kaldt ute?	Är det kallt ute?	Er kalt úti?
53	You look great	Du ser godt ud	Du ser bra ut	Du ser bra ut	Þú lítur vel út
54	You're beautiful	Du er smuk	Du er vakker	Du är vacker	Þú ert falleg
55	I am bisexual	Jeg er biseksuel	Jeg er bifil	Jag är bisexuell	Ég er tvíkynhneigður
56	Can I try it on?	Må jeg prøve den på?	Kan jeg prøve den på?	Kan jag prova den?	Má ég máta?
57	I'm staying in tonight	Jeg bliver hjemme i aften	Jeg blir hjemme i kveld	Jag stannar hemma ikväll	Ég verð heima í kvöld
58	It's not too far	Det er ikke så langt væk	Det er ikke så langt unna	Det är inte alltför långt	Það er ekki svo langt í burtu
59	It is a gift	Det er en gave	Det er en gave	Den är en gåva	Það er gjöf
60	The roads are slippery	Vejene er glatte	Veiene er glatte	Vägarna är hala	Vegirnir eru greiðfærir
61	I need to study	Jeg bliver nød til at studere	Jeg skal studere	Jag behöver plugga	Ég verð að læra
62	The sea is very rough	Havet er meget oprørt	Sjøen er veldig grov	Det är hård sjö	Sjórinn er mjög úfinn
63	What time did you wake up?	Hvad tid vågnede du?	Når våkner du?	Vilken tid vaknade du?	Hvenær vaknaðir þú?
64	I've been made redundant	Jeg er blevet overflødiggjort	Jeg er blitt overflødig	Jag har gjorts överflödig	Mér hefur verið sagt upp
65	I don't mind	Jeg har ikke noget imod det	Jeg har ingenting i mot det	Jag har inget emot det	Ég hef ekkert á móti því
66	Is your son here?	Er din søn her?	Er sønnen din her?	Är din son här?	Er sonur þinn hér?
67	I'd love to	Det vil jeg rigtig gerne	Jeg vil veldig gjerne	Jättegärna	Ég myndi alveg vilja
68	I miss you	Jeg savner dig	Jeg savner deg	Jag saknar dig	ég sakna þín
69	Do you play chess?	Spiller du skak?	Spiller du sjakk?	Spelar du schack?	Spilar þú skák?
70	I need you	Jeg har brug for dig	jeg trenger deg	Jag behöver dig	ég þarfnast þín
71	Would anyone like coffee?	Er der nogen, der vil have kaffe?	Er det noen som vil ha kaffe?	Skulle någon vilja ha kaffe?	Vill einhver kaffi?
72	Don't do that	Lad være med at gøre det	Ikke gjør det	Gör inte det	Ekki gera það
73	The plate is hot	Tallerkenen er varm	Platen er varm	Tallriken är varm	Platan er heit
74	Do you have a girlfriend?	Har du en kæreste?	Har du en kjæreste?	Har du en flickvän?	Áttu kærustu?
75	The previous week	Den foregående uge	Forrige uke	Föregående vecka	Vikan á undan
76	What time will you arrive?	Hvad tid ankommer du?	Når ankommer du?	Vilken tid anländer du?	Hvenær kemurðu?
77	I need a towel	Jeg har brug for et håndklæde	Jeg trenger et håndkle	Jag behöver en handduk	Mig vantar handklæði
78	Take it outside	Tag det udenfor	Ta den utenfor	Ta det utanför	Farðu með það út
79	Could I use your phone?	Må jeg låne din telefon?	Kan jeg låne telefonen din?	Kan jag få låna din telefon?	Má ég fá símann þinn lánaðan?
80	You are very handsome	Du er meget flot	Du er veldig vakker	Du är väldigt snygg	Þú ert mjög falleg
81	He has a strong opinion	Han har en stærk mening	Han har en sterk mening	Han har en stark åsikt	Hann hefur sterka skoðun
82	How does it taste?	Hvordan smager det?	Hvordan smaker det?	Hur smakar det?	Hvernig bragðast það?
83	Do you play any sports?	Dyrker du sport?	Driver du med idrett?	Spelar du någon sport?	Spilarðu Íþróttir?
84	Will you marry me?	Vil du gifte dig med mig?	Vil du gifte deg med meg?	Vill du gifta dig med mig?	Viltu giftast mér?
85	She is pretty	Hun er køn	Hun er pen	Hon är söt	Hún er falleg
86	I give up	Jeg giver op	jeg gir opp	Jag ger upp	ég gefst upp
87	Please take off your shoes.	Vær venlig at tage skoene af	Ta av deg skoene	Vänligen ta av dina skor	Endilega farið úr skónum
88	I did not touch it	Jeg rørte det ikke	Jeg rørte den ikke	Jag rörde den inte	Ég snerti það ekki
89	Recently	For nylig	Nylig	Nyligen	Nýlega
90	She lacks confidence	Hun mangler selvtillid	Hun mangler selvtillit	Hon saknar självförtroende	Hún skortir sjálfstraust
91	He's not in right now	Han er ikke til stede lige nu	Han er ikke til stede akkurat nå	Han är inte här just nu	Hann er ekki viðstaddur núna
92	I've got too much work to do	Jeg har for meget arbejde, jeg skal gøre	Jeg har for mye arbeid å gjøre	Jag har för mycket arbete att göra	Ég hef of mikið að gera
93	Is it risky?	Er det risikabelt?	Er det risikabelt?	Är det riskabelt?	Er það áhættusamt?
94	How do you pronounce this word?	Hvordan udtaler man det ord?	Hvordan uttaler du det ordet?	Hur uttalar man det här ordet?	Hvernig berðu þetta orð fram?
95	Tonight	I aften	I kveld	I kväll	Í kvöld
96	Please pass the salt	Vil du række mig saltet?	Vil du gi meg saltet?	Skulle du vilja skicka mig saltet?	Viltu gefa mér saltið?
97	I enjoy spending time with you	Jeg kan godt lide at være sammen med dig	Jeg liker å være med dig	Jag tycker om att umgås med dig	Mér finnst gaman að vera með þér
98	Is this your first time here?	Er det første gang, du er her?	Er dette din første gang her?	Är det första gången du är här?	Er þetta í fyrsta skipti sem þú kemur hingað?
99	How much do I owe you?	Hvor meget skylder jeg dig?	Hvor mye skylder jeg deg?	Hur mycket är jag skyldig dig?	Hversu mikið skulda ég þér?
100	Can you confirm the date?	Kan du bekræfte datoen?	Kan du bekrefte datoen?	Kan du bekräfta datumet?	Geturðu staðfest dagsetninguna?
101	There was a shift in opinion	Der var et holdningsskifte	Det ble en holdningsendring	Opinionen ändrades	Það varð viðhorfsbreyting
102	Someone does that for me	Der er nogen, der gør det for mig	Noen gjør det for meg	Någon gör det åt mig	Einhver gerir það fyrir mig
103	I am from [country]	Jeg er fra [land]	jeg er fra [land]	Jag kommer från [land]	ég er frá [landi]
104	I don't like pubs	Jeg bryder mig ikke om værtshuse	Jeg liker ikke puber	Jag tycker inte om pubar	Mér líkar ekki krár
105	I'm fine, thanks	Jeg har det godt, tak	Jeg har det bra takk	Jag mår bra tack	Mér líður vel, þakka þér fyrir
106	It's really hot	Det er meget varmt	Det er veldig varmt	Det är riktigt varmt	Það er mjög heitt
107	Are you ready to eat now?	Er du klar til at spise nu?	Er du klar til å spise nå?	Är du redo att äta nu?	Ertu tilbúinn að borða núna?
108	I don't want to bother you	Jeg vil ikke forstyrre dig	jeg skal ikke forstyrre deg	Jag vill inte störa dig	Ég mun ekki trufla þig
109	I am on holiday	Jeg er på ferie	Jeg er på ferie	Jag är på semester	ég er í fríi
110	I work in sales	Jeg arbejder i salgsafdelingen	Jeg jobber i salgsavdelingen	Jag arbetar som säljare	Ég vinn í söludeild
111	What is your name?	Hvad hedder du?	Hva heter du?	Vad heter du?	Hvað heitir þú?
112	I came with my family	Jeg kom her med min familie	Jeg kom hit med familien min	Jag kom med min familj	Ég kom hingað með fjölskyldu minni
113	The whole day	Hele dagen	Hele dagen	Hela dagen	Allan daginn
114	How much does this cost?	Hvor meget koster det her?	Hvor mye koster denne?	Hur mycket kostar den här?	Hvað kostar þetta mikið?
115	There's a good film on later	Der bliver sendt en god film senere	En god film vil bli sendt senere	En bra film visas senare	Góð mynd verður sýnd síðar
116	That was stressful	Det var stressende	Det var stressende	Det var ansträngande	Það var stressandi
117	I work here	Jeg arbejder her	jeg jobber her	Jag jobbar här	Ég vinn hér
118	jernbaneskinner	Du kommer til at gå over nogle	Du kommer til å kjøre over noen	Du korsar några järnvägsspår	Þú ætlar að keyra yfir suma
119	There are many people here	Der er mange mennesker her	Det er mange mennesker her	Det finns många människor här	Hér er margt fólk
120	I wanted to live abroad	Jeg ville gerne bo i udlandet	Jeg vil gjerne bo i utlandet	Jag ville bo utomlands	Ég myndi vilja búa erlendis
121	We have plenty of time	Vi har masser af tid	Vi har god tid	Vi har gott om tid	Við höfum nægan tíma
122	That is practical	Det er praktisk	Det er praktisk	Det där är praktiskt	Það er hagnýtt
123	That was lucky	Det var heldigt	Det var heldig	Det var tur	Það var heppni
124	Have you got any jump leads?	Har du et startkabel?	Har du startkabel?	Har du några startkablar?	Ertu með jumper snúru?
125	Where did you go to school?	Hvor gik du i skole?	Hvor gikk du på skole?	Vart gick du i skolan?	Hvar fórstu í skóla?
126	How many sugars do you take?	Hvor meget sukker bruger du?	Hvor mye sukker bruker du?	Hur mycket socker tar du?	Hversu mikinn sykur notarðu?
127	Come here	Kom her	Kom hit	Kom hit	Komdu hingað
128	Sorry for the delay	Beklager forsinkelsen	Beklager forsinkelsen	Ledsen för förseningen	Afsakið töfina
129	You look well	Du ser godt ud	Du ser bra ut	Du ser bra ut	Þú lítur vel út
130	In an hour	Om en time	Om en time	Om en timme	Innan við klukkutíma
131	Do you play basketball?	Spiller du basket?	Spiller du Basketball?	Spelar du basket?	Spilar þú körfubolta?
132	I'll pay for the tickets	Jeg betaler for billetterne	Jeg betaler for billettene	Jag betalar för biljetterna	Ég borga fyrir miðana
133	Do you study English?	Studerer du engelsk?	Studerer du engelsk?	Studerar du engelska?	Ertu að læra ensku?
134	Keep the change	Behold byttepengene	Behold vekslepengene	Behåll växeln	Eigðu afganginn
135	They have nothing in common	De har intet til fælles	De har ingenting til felles	De har ingenting gemensamt	Þeir eiga ekkert sameiginlegt
136	How serious is it?	Hvor slemt er det?	Hvor ille er det?	Hur allvarligt är det?	Hversu slæmt er það?
137	What line of work are you in?	Hvad arbejder du med?	Hva jobber du med?	Vilken typ av arbete jobbar du med?	Við hvað vinnur þú?
138	What did you say?	Hvad sagde du?	Hva sa du?	Vad sa du?	Hvað sagðirðu?
139	Would you like some wine?	Kunne du tænke dig noget vin?	Vil du ha litt vin?	Skulle du vilja ha lite vin?	Langar þig í vín?
140	Beware of the dog!	Pas på hunden!	Pass på hunden!	Varning för hunden!	Passaðu þig á hundinum!
141	He has a nice car	Han har en fin bil	Han har en fin bil	Han har en fin bil	Hann á fínan bíl
142	Go that way	Gå den vej	Gå den veien	Gå den vägen	Farðu þá leið
143	Put the ovan on	Tænd ovnen	Slå på ovnen	Sätt på ugnen	Kveiktu á ofninum
144	What did you study?	Hvad studerede du?	Hva studerte du?	Vad studerade du?	Hvað lærðir þú?
145	Not at all	Slet ikke	Ikke i det hele tatt	Inte alls	Alls ekki
146	Do you have any snacks?	Har du nogle snacks?	Har du noe snacks?	Har du något tilltugg?	Áttu eitthvað nesti?
147	Here's my booking reference	Her er mit bookingnummer	Her er bestillingsnummeret mitt	Här är mitt boknungsnummer	Hér er bókunarnúmerið mitt
148	I am ambitious	Jeg er ambitiøs	Jeg er ambisiøs	Jag är ambitiös	Ég er metnaðarfullur
149	This doesn't work	Det her virker ikke	Dette fungerer ikke	Detta fungerar inte	Þetta gengur ekki
150	That was a coincidence	Det var et tilfælde	Det var en tilfeldighet	Det var en tillfällighet	Það var tilviljun
151	What is wrong?	Hvad er der galt?	Hva er galt?	Hur är det fatt?	Hvað er að?
152	He needs new clothes	Han har brug for nyt tøj	Han trenger nye klær	Han behöver nya kläder	Hann þarf ný föt
153	I sing in a choir	Jeg synger i et kor	Jeg synger i kor	Jag sjunger i kör	Ég syng í kór
154	Are you still serving food?	Serverer du stadig mad?	Serverer du fortsatt mat?	Serverar du fortfarande mat?	Ertu ennþá með mat?
155	Sorry we're late	Beklager, vi er sent på den	Beklager at vi er sent ute med det	Ursäkta att vi är sena	Því miður komumst við seint með það
156	I ate already	Jeg har allerede spist	jeg har allerede spist	Jag åt redan	Ég hef þegar borðað
157	I have jet-lag	Jeg har jetlag	Jeg har jetlag	Jag har jetlag	Ég er með jetlag
158	It is time to reflect	Det er på tide at tænke sig om	Det er på tide å tenke på det	Det är dags att reflektera	Það er kominn tími til að hugsa málið
159	What do you want to do?	Hvad har du lyst til at lave?	Hva har du lyst til å gjøre?	Vad vill du göra?	Hvað viltu gera?
160	It must be a mistake	Det må være en fejltagelse	Det må være en feil	Det måste vara ett misstag	Það hljóta að vera mistök
161	He cheated on her	Han var hende utro	Han var utro mot henne	Han var otrogen	Hann var að halda framhjá henni
162	Thank you very much	Mange tak	Takk skal du ha	Tack så mycket	Þakka þér fyrir
163	That's life!	Sådan er livet!	Det er livet!	Sånt är livet!	Það er lífið!
164	It's very cold today	Det er meget koldt idag	Det er veldig kaldt i dag	Det är väldigt kallt idag	Það er mjög kalt í dag
165	I have never done that before	Det har jeg aldrig gjort før	Det har jeg aldri gjort før	Jag har aldrig gjort det förut	Ég hef aldrei gert það áður
166	Steady on!	Rolig nu!	Stille nå!	Fortsätt så!	Rólegt núna!
167	I'm just kidding	Jeg laver bare sjov	jeg bare tuller	Jag skojar bara	ég er bara að grínast
168	I'm in a good mood	Jeg er i godt humør	Jeg er i godt humør	Jag är på gott humör	Ég er í góðu skapi
169	Do you play any instruments?	Spiller du et instrument?	Spiller du et instrument?	Spelar du några instrument?	Spilar þú á hljóðfæri?
170	Don't talk rubbish	Lad være med at ævle	Slutt å vafle	Prata inte strunt	Hættu að væla
171	I work for myself	Jeg arbejder som selvstændig	Jeg jobber som frilanser	Jag är egenföretagare	Ég vinn sem sjálfstæður
172	Can I borrow your pen?	Må jeg låne din kuglepen?	Kan jeg låne pennen din?	Kan jag låna din penna?	Má ég fá lánaðan pennann þinn?
173	I have a problem	Jeg har et problem	Jeg har et problem	Jag har ett problem	ég er með vandamál
174	What did you do yesterday?	Hvad lavede du igår?	Hva gjorde du i går?	Vad gjorde du igår?	Hvað gerðir þú í gær?
175	I'm a housewife	Jeg er hjemmegående	Jeg er hjemmeværende	Jag är en hemmafru	Ég er heimavinnandi
176	It's starting to rain	Det begynder at regne	Det begynner å regne	Det börjar regna	Það er farið að rigna
177	I'm 32	Jeg er 32	jeg er 32	Jag är 32	ég er 32
178	A year ago	For et år siden	Et år siden	Ett år sedan	Fyrir ári
179	I'm training to be an engineer	Jeg er ved at uddanne mig til ingeniør	Jeg utdanner meg til ingeniør	Jag tränar för att bli ingenjör	Ég er að læra að verða verkfræðingur
180	I'm a member of a gym	Jeg er medlem af et motionscenter	Jeg er medlem av et treningsstudio	Jag är medlem på ett gym	Ég er meðlimur í líkamsræktarstöð
181	This morning	I morges	Denne morgenen	Den här morgonen	Í morgun
182	This is very important	Det her er meget vigtigt	Dette er veldig viktig	Det här är väldigt viktigt	Þetta er mjög mikilvægt
183	I have spent it all	Jeg har brugt det hele	Jeg har brukt alt	Jag har spenderat allt	Ég hef notað þetta allt
184	I should leave	Jeg bør gå	jeg bør gå	Jag borde gå	ég ætti að fara
185	I'm a trainee	Jeg er praktikant	Jeg er praktikant	Jag är en praktikant	Ég er nemi
186	What street is it?	Hvilken gade er det?	Hvilken gate er det?	Vilken gata är det?	Hvaða gata er það?
187	For how many days?	I hvor mange dage?	For hvor mange dager?	För hur många dagar?	Í hversu marga daga?
188	My car won't start	Min bil vil ikke starte	Bilen min vil ikke starte	Min bil startar inte	Bíllinn minn fer ekki í gang
189	See you soon!	Vi ses snart!	Ser deg snart!	Ses snart!	Sjáumst bráðlega!
190	I like to meditate	Jeg kan godt lide at meditere	Jeg liker å meditere	Jag tycker om att meditera	Mér finnst gaman að hugleiða
191	They'll be right back	De kommer tilbage om lidt	De kommer tilbake om litt	De kommer snart tillbaka	Þeir koma aftur eftir smá
192	My watch has been stolen	Mit ur er blevet stjålet	Klokken min er stjålet	Min klocka har stulits	Úrinu mínu hefur verið stolið
193	That was my invention	Det var min opfindelse	Det var min oppfinnelse	Det var min uppfinning	Það var mín uppfinning
194	Likewise	Ligesådan	Bare sånn	Detsamma	Bara si svona
195	Would you please repeat that?	Er du sød at gentage det?	Vil du gjenta det?	Vill du upprepa det?	Værirðu til í að endurtaka það?
196	How many people?	Hvor mange mennesker?	Hvor mange folk?	Hur många personer?	Hversu margir?
197	I love the cinema	Jeg elsker at gå i biografen	Jeg elsker å gå på kino	Jag älskar bio	Ég elska að fara í bíó
198	Are you OK?	Er du ok?	Er du ok?	Mår du bra?	Er allt í lagi?
199	It did not last long	Det varede ikke længe	Det varte ikke lenge	Det dröjde inte länge	Það stóð ekki lengi
200	I don't smoke	Jeg ryger ikke	jeg røyker ikke	Jag röker inte	ég reyki ekki
201	I'm a partner in a law firm	Jeg er partner i et advokatfirma	Jeg er partner i et advokatfirma	Jag är delägare i en advokatbyrå	Ég er meðeigandi á lögfræðistofu
202	That was very delicious	Det var lækkert	Det var nydelig	Den där var delikat	Þetta var ljúffengt
203	Pleased to meet you	Godt at møde dig	Godt å møte deg	Trevligt att träffas	Gaman að kynnast þér
204	I don't have enough money	Jeg har ikke nok penge	Jeg har ikke nok penger	Jag har inte tillräckligt med pengar	Ég á ekki nægan pening
205	Maybe	Måske	Kan være	Kanske	Kannski
206	I understand now	Nu forstår jeg	Nå forstår jeg	Jag förstår nu	Nú skil ég
207	Can I have your attention, please?	Må jeg bede om opmærksomheden?	Kan jeg be om din oppmerksomhet?	Kan jag få din uppmärksamhet,	Má ég biðja um athygli þína?
208	What are you doing tonight?	Hvad skal du lave i aften?	Hva gjør du i kveld?	Vad gör du ikväll?	Hvað ert þú að gera í kvöld?
209	The book is on top of the table	Bogen er på bordet	Boken er på bordet	Boken ligger på bordet	Bókin er á borðinu
210	What are the chances?	Hvad er chancen?	Hva er sjansen?	Vad är chanserna?	Hver er möguleikinn?
211	Never give up	Giv aldrig op	aldri gi opp	Ge aldrig upp	aldrei gefast upp
212	What is your preference?	Hvad foretrækker du?	Hva foretrekker du?	Vad önskar du?	Hvað kýst þú?
213	Where do you come from?	Hvor kommer du fra?	Hvor er du fra?	Var kommer du ifrån?	Hvaðan ertu?
214	I'm getting off here	Jeg skal af her	Jeg må ut herfra	Det här är min hållplats	Ég verð að komast héðan
215	Start the car	Start bilen	Start bilen	Starta bilen	Ræstu bílinn
216	It's up to you	Det er op til dig	Det er opp til deg	Det är upp till dig	Þú ræður
217	Can I buy a ticket on the bus?	Kan jeg købe en billet i bussen?	Kan jeg kjøpe billett på bussen?	Kan jag köpa en biljett på bussen?	Get ég keypt miða í strætó?
218	Well done!	Godt gået!	Bra gjort!	Bra gjort!	Vel gert!
219	I burnt myself	Jeg har brændt mig	Jeg har brent meg	Jag har bränt mig	Ég hef brennt mig
220	It's supposed to rain tomorrow	Det skulle blive regn i morgen	Det skulle regne i morgen	Det ska regna imorgon	Það átti að rigna á morgun
221	I fear the worst	Jeg frygter det værste	Jeg frykter det verste	Jag fruktar det värsta	Ég óttast það versta
222	What a terrible day!	Sikke en forfærdelig dag!	For en forferdelig dag!	Vilken fruktansvärd dag!	Hvílíkur dagur!
223	I'm in my final year	Jeg er på sidste studieår	Jeg er i mitt siste studieår	Jag är på mitt sista år	Ég er á síðasta ári í námi
224	What school did you go to?	Hvilken skole gik du på?	Hvilken skole gikk du på?	Vilken skola gick du i?	Í hvaða skóla fórstu?
225	That makes me sad	Det gør mig ked af det	Det gjør meg trist	Det gör mig ledsen	Það veldur mér sorg
226	I love the theatre	Jeg elsker at gå i teatret	Jeg elsker å gå på teater	Jag älskar teater	Ég elska að fara í leikhús
227	I work for a bank	Jeg arbejder i en bank	Jeg jobber i en bank	Jag arbetar för en bank	Ég vinn í banka
228	How many children do you have?	Hvor mange børn har du?	Hvor mange barn har du?	Hur många barn har du?	Hversu mörg börn áttu?
229	Sorry, you're not my type	Beklager, du er ikke min type	Beklager, du er ikke min type	Tyvärr, du är inte min typ	Því miður, þú ert ekki mín týpa
230	I like jogging	Jeg kan godt lide at jogge	Jeg liker jogging	Jag gillar att springa	Mér finnst gaman að skokka
231	Bless you! [after a sneeze]	Prosit!	Velsigne deg!	Prosit! [Efter en nysning]	Blessi þig!
232	I find him too self-confident	Jeg synes, han har for meget selvtillid	Jeg tror han har for mye selvtillit	J a g fi n n e r h o n o m a l l t f ö r	Mér finnst hann hafa of mikið sjálfstraust
233	Is the bank far?	Er banken langt herfra?	Er banken langt unna her?	Ligger banken långt bort?	Er bankinn langt héðan?
234	In two months	Om to måneder	Om to måneder	Om två månader	Á tveimur mánuðum
235	What should I wear?	Hvad skal jeg tage på?	Hva burde jeg ha på meg?	Vad ska jag ha på mig?	Hvað ætti ég að klæðast?
236	I'll tell him you called	Jeg siger til ham, du ringede	Jeg forteller ham at du ringte	Jag ska tala om för honom vad du	Ég segi honum að þú hafir hringt
237	We need to tidy up	Vi bliver nød til at rydde op	Vi skal rydde opp	Vi måste snygga till oss	Við verðum að þrífa
238	Who's driving tonight?	Hvem kører i aften?	Hvem kjører i kveld?	Vem kör i kväll?	Hver keyrir í kvöld?
239	We went to the same university	Vi gik på det samme universitet	Vi gikk på samme universitet	Vi gick på samma universitet	Við fórum í sama háskóla
240	Sorry, I didn't understand	Beklager, jeg forstod ikke [objekt]	Beklager, jeg for	Tyvärr, jag förstod inte	Því miður,
241	It's not serious	Det er ikke slemt	Det er ikke dårlig	Det är inte allvarligt	Það er ekki slæmt
242	I'm not busy	Jeg har ikke travlt	Jeg har ikke hastverk	Jag är inte upptagen	Ég er ekkert að flýta mér
243	It's going to freeze tonight	Det bliver frost i aften	Det blir frost i natt	Det kommer att frysa i kväll	Það verður frost í nótt
244	Please write it down	Vær venlig at skrive det ned	Skriv det ned	Skriv ned det	Vinsamlegast skrifaðu það niður
245	We have two boys	Vi har to drenge	Vi har to gutter	Vi har två pojkar	Við eigum tvo stráka
246	That smells bad	Det lugter dårligt	Det lukter dårlig	Det luktar illa	Það er vond lykt
247	Too much stress	For meget stress	For mye stress	För mycket stress	Of mikið stress
248	Where is ...?	Hvor er...?	Hvor er...?	Var ligger ...?	Hvar er...?
249	I'm in a band	Jeg spiller i et band	Jeg spiller i et band	Jag spelar i ett band	Ég spila í hljómsveit
250	I am upset	Jeg er oprevet	Jeg er opprørt	Jag är upprörd	Ég er pirruð
251	I don't want that...	Jeg vil ikke have det...	Jeg vil ikke ha det...	Jag vill inte att...	Ég vil það ekki...
252	We've had an accident	Vi har haft en ulykke	Vi har hatt en ulykke	Vi har haft en olycka	Við höfum lent í slysi
253	How was the meeting?	Hvordan gik mødet?	Hvordan gikk møtet?	Hur var mötet?	Hvernig fór fundurinn?
254	I lost my wallet	Jeg har mistet min pung	Jeg har mistet lommeboken min	Jag tappade bort min plånbok	Ég hef týnt veskinu mínu
